#Mon Feb 17 17:03:42 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           70.71           30.76
               1          -21.65           26.07
               2          -20.14           23.01
               3          -31.56            23.5
               4          -125.7           9.454
               5           -45.8           8.174
               6          -22.23           10.78
               7           32.37           8.319
               8          -69.06           7.324
               9          -17.05           8.061
              10           19.86           8.089
              11           52.37           8.156
              12          -49.77           8.135
              13           3.504           7.924
              14           20.96           7.709
              15           73.55           8.308
              16           3.608           8.072
              17          -34.86           6.687
              18           -15.5           11.58
              19           4.215           6.954
              20          -39.65           7.679
              21          -20.98           6.889
              22            7.02             7.7
              23           56.17           6.763
              24          -59.91           7.034
              25           -19.5           7.134
              26           4.065           7.054
              27           52.94           7.233
              28           -50.5           6.697
              29          -24.16           8.372
              30           21.51           6.742
              31           79.14           7.773
              32          -37.04           8.077
              33          -30.41           7.319
              34           17.27           8.144
              35           41.19           8.001
              36          -54.16           7.673
              37          -23.74           6.964
              38          0.8471           8.197
              39           48.46           7.909
              40          -49.03           7.796
              41          -6.268            7.19
              42           20.91           8.732
              43           65.43           8.222
              44          -52.09           7.655
              45          -13.26           8.923
              46           5.797           7.158
              47           83.42           8.618
              48           -26.7           7.982
              49          -23.73           6.775
              50           7.734             9.8
              51           24.48           6.796
              52          -54.12           7.413
              53           -31.2           6.927
              54           8.472           7.431
              55           40.41           6.798
              56          -58.36           6.941
              57          -5.193           7.672
              58           7.036           6.927
              59           47.66           7.255
              60          -45.11           6.598
              61          -23.68           9.293
              62           4.841           6.635
              63           83.02             8.3
              64          -31.52           7.981
              65          -10.66           7.863
              66           5.765            10.1
              67           29.28           8.058
              68          -53.39           7.666
              69          -14.47            7.38
              70           13.63           8.953
              71           61.58           7.764
              72          -52.98           7.537
              73          -21.97           6.962
              74           10.68           7.774
              75           50.67           7.902
              76           -46.3           7.179
              77          -13.74           6.907
              78           18.14           7.182
              79            93.3           8.687
              80          -27.88           8.005
              81          -29.86           6.671
              82          -12.49           8.545
              83            42.5           6.676
              84          -61.06           7.647
              85          -20.92           6.625
              86           10.54           7.147
              87           62.41           6.712
              88          -55.66           6.793
              89          -7.098           7.084
              90           3.959           6.645
              91           66.23           7.429
              92          -36.87           6.574
              93          -11.31           8.281
              94           18.55           6.399
              95           99.46           8.319
              96          -38.33           7.673
              97          -30.87           6.641
              98           9.704           9.548
              99           35.87           8.535
             100          -56.72           7.459
             101          -18.84           6.624
             102          -11.21           7.936
             103           59.14           7.692
             104          -60.72           7.696
             105           5.063            9.13
             106           12.07           7.589
             107           67.37           8.133
             108          -20.61           7.077
             109          -9.219           7.662
             110           19.49           7.718
             111           83.94           8.966
             112          -50.34           7.688
             113          -49.78           6.518
             114           7.752           8.069
             115           30.12           6.673
             116           -62.1           7.159
             117          -4.327           6.577
             118           11.17           6.862
             119           50.14           6.735
             120          -57.88           6.812
             121          -20.87           6.976
             122           37.76            6.59
             123           58.62             7.6
             124          -24.68           6.525
             125          -12.69           9.606
             126           19.27           6.423
             127           136.7           9.117
APV               58              11               0               1
               0           66.24           30.75
               1          -30.51           26.88
               2           14.89           24.39
               3           3.848           24.42
               4          -163.8           9.432
               5          -64.77           8.379
               6          -12.71           11.12
               7           46.04           9.021
               8          -66.84           7.745
               9          -36.29           8.487
              10            16.7           8.258
              11              66           8.858
              12          -64.93           8.525
              13          -23.84           7.939
              14           21.94            8.03
              15            57.2           8.897
              16          -30.42           8.517
              17          -42.77           7.006
              18          -11.82           13.73
              19           10.03           7.318
              20           -64.7           7.932
              21          -34.18           7.228
              22           15.95           8.699
              23           47.72           7.138
              24          -72.24           7.394
              25          -36.03           7.447
              26           27.69           7.648
              27            46.9            7.61
              28           -49.5           7.046
              29          -22.42           8.544
              30           27.56           7.263
              31           77.05           8.204
              32          -53.13            8.56
              33          -47.63           7.648
              34            13.2           8.419
              35           47.46           8.569
              36          -68.39           7.988
              37          -36.88           7.463
              38           36.32           8.681
              39           75.63           8.562
              40          -69.13           7.952
              41          -31.77           7.445
              42            38.6           9.005
              43           75.73           8.859
              44          -56.68           8.159
              45           2.544           9.329
              46            16.9           7.642
              47           79.04           9.325
              48          -81.13           8.353
              49          -20.87           7.118
              50           3.362           11.17
              51           54.25           7.252
              52          -84.43           7.616
              53          -32.38             7.2
              54           30.57           8.297
              55           58.49           7.201
              56          -63.84           7.328
              57           -19.3           7.752
              58           36.57           7.465
              59           57.13           7.601
              60           -53.5           6.849
              61          -16.27           9.225
              62           33.48           7.029
              63           93.95           8.759
              64          -60.34            8.16
              65          -26.32           8.079
              66           13.79           10.73
              67           67.72           8.615
              68          -78.97           7.975
              69          -42.41             7.7
              70           35.91           9.569
              71           60.25           8.236
              72          -79.51           7.912
              73          -19.59           7.471
              74           43.16           8.325
              75           60.21           8.396
              76          -46.38           7.622
              77          -6.899           7.706
              78           52.15           7.804
              79           95.33           9.225
              80          -37.45           8.583
              81          -53.31           7.014
              82          -8.572           9.525
              83           35.02           6.866
              84          -61.38           8.076
              85          -40.47           7.136
              86           34.99           7.739
              87           53.88            6.84
              88          -68.93           7.247
              89          -37.49           7.677
              90           26.21           7.102
              91           70.47           7.702
              92          -51.47           6.929
              93          -16.07           9.268
              94           51.26           6.892
              95           123.4           8.941
              96          -65.13           8.131
              97          -36.72           7.289
              98           10.17           10.02
              99           51.41           9.224
             100          -60.38           8.023
             101          -28.45           7.257
             102           29.89             8.7
             103           66.85           8.234
             104          -77.67           8.158
             105          -10.81           9.612
             106           28.74           8.046
             107           64.27           8.733
             108          -52.92           7.281
             109          -17.38           8.589
             110           33.37           8.326
             111           134.5           9.788
             112          -49.11           8.279
             113          -32.25           6.939
             114           20.86           8.933
             115            44.6            6.98
             116          -69.61            7.62
             117          -38.51           7.022
             118           11.76           7.402
             119           71.53           7.063
             120          -63.01           7.107
             121          -7.438           7.702
             122           38.41           7.055
             123           67.76           7.929
             124           -37.8           6.917
             125           1.426           10.74
             126           42.11           6.865
             127           105.8           9.739
APV               58              11               0               2
               0           24.29           28.36
               1          -5.003           24.59
               2           40.12           22.44
               3          -18.62           21.87
               4            -159            9.04
               5          -47.59           8.461
               6           19.02           11.52
               7           20.86           8.706
               8          -56.41           7.653
               9            11.6            8.63
              10           38.78           8.444
              11           37.41           8.592
              12          -25.34           9.441
              13          -11.76           8.051
              14           21.44           8.281
              15           26.95           8.391
              16          -61.14           8.212
              17          -12.09             7.1
              18              19            13.1
              19         -0.4465           7.135
              20          -74.66           7.873
              21          -28.12           7.089
              22           15.14           8.503
              23            23.1           6.896
              24          -42.79           7.495
              25          -13.37           7.391
              26           43.54            7.57
              27           37.22           7.503
