#Thu Feb 20 16:47:22 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           69.56           30.99
               1          -21.49           25.95
               2          -16.22           23.04
               3          -28.29           23.55
               4          -125.9           9.454
               5           -44.2           8.167
               6          -19.25           11.17
               7           35.16           8.328
               8          -71.64           7.279
               9          -20.71           8.008
              10           22.85           8.209
              11           53.62           8.204
              12          -54.21           8.106
              13          -2.501           8.024
              14           23.52           7.818
              15           74.77           8.396
              16           3.071           8.136
              17           -33.1            6.75
              18          -11.09           12.21
              19           7.834           6.902
              20          -40.27           7.831
              21          -19.54            6.96
              22           10.11           7.931
              23           59.02           6.756
              24          -63.39           7.107
              25          -24.31           7.326
              26           6.646           7.174
              27           54.51           7.354
              28          -54.02           6.762
              29          -28.25           8.603
              30           24.25           6.774
              31           80.49           7.903
              32          -37.99           8.201
              33          -29.33           7.339
              34           21.11           8.279
              35           44.34           8.159
              36          -55.81           7.661
              37          -24.05           7.015
              38           3.422           8.434
              39           50.77           8.006
              40          -52.65           7.698
              41          -12.14           7.245
              42           23.24           8.885
              43           66.95           8.219
              44          -53.91           7.759
              45          -14.97           8.909
              46           8.844           7.263
              47           84.01           8.688
              48          -27.68           8.152
              49          -21.37           6.826
              50           12.05           10.17
              51           27.59           6.841
              52          -55.55            7.35
              53          -32.96           6.953
              54           11.21           7.594
              55            42.4           6.727
              56          -61.95           6.923
              57           -10.3           7.675
              58           9.793           7.049
              59           48.89           7.389
              60          -45.94           6.596
              61          -22.48           9.613
              62            8.47           6.633
              63           84.28            8.25
              64          -33.55           7.948
              65          -12.42           7.811
              66           5.765           10.49
              67           30.31            8.19
              68          -56.37            7.68
              69          -17.02           7.255
              70           13.03           9.208
              71           62.09            7.78
              72          -54.76            7.58
              73          -23.81           6.961
              74           11.06           7.915
              75           51.33           7.882
              76           -47.6           7.182
              77          -14.23           6.902
              78           19.07           7.271
              79           94.79            8.64
              80          -29.74            8.21
              81           -32.1           6.603
              82           -13.1           8.785
              83           43.03           6.631
              84          -64.05           7.615
              85          -22.59           6.652
              86           10.55           7.174
              87           63.44           6.696
              88          -56.55           6.867
              89          -7.759           7.187
              90           4.925           6.722
              91           67.44           7.457
              92          -37.44           6.616
              93          -11.64           8.445
              94           20.05           6.516
              95           100.2           8.369
              96          -41.68           7.651
              97           -32.7           6.682
              98           9.528            9.85
              99           36.69            8.65
             100          -59.52           7.495
             101          -21.22            6.68
             102          -11.26           8.093
             103           59.74           7.675
             104           -61.9           7.655
             105           4.246           8.888
             106           13.31           7.662
             107           68.33           8.131
             108          -21.63           7.069
             109          -9.907           7.732
             110           20.92           7.982
             111           84.71           8.959
             112          -53.03           7.802
             113          -51.58           6.482
             114               8           8.162
             115           31.46            6.71
             116          -64.42           7.259
             117          -6.155           6.567
             118            11.1           6.919
             119           51.59           6.708
             120          -58.35            6.76
             121          -21.37           7.069
             122           38.83           6.592
             123           59.77           7.624
             124          -25.84           6.544
             125          -12.95           9.973
             126           20.73           6.529
             127           137.4           9.222
APV               58              11               0               1
               0           69.12           31.03
               1          -26.65            26.9
               2           12.86           24.47
               3          0.5537            24.6
               4          -160.6           9.393
               5          -61.29           8.482
               6          -14.09            11.6
               7            43.9           9.132
               8          -63.56           7.854
               9          -33.73           8.445
              10           14.46           8.488
              11           63.94           8.892
              12          -61.47           8.558
              13          -22.17           8.178
              14           19.43           8.318
              15           54.87            8.89
              16          -27.79            8.69
              17          -40.48           7.052
              18          -13.22           14.71
              19           7.431           7.371
              20          -61.84           8.081
              21          -31.51            7.27
              22           14.93           8.888
              23           45.29           7.109
              24          -69.22           7.494
              25          -33.88           7.566
              26           25.13           7.783
              27           44.33           7.642
              28          -46.81           7.012
              29          -21.32           8.787
              30           24.09           7.261
              31           74.33           8.219
              32          -50.57           8.558
              33          -44.14            7.82
              34           11.75           8.733
              35           45.39           8.776
              36          -65.09           8.048
              37          -33.46           7.667
              38           34.66           8.987
              39           73.71            8.76
              40          -65.56           8.105
              41          -29.01           7.508
              42           35.46            9.38
              43           73.19           8.985
              44          -53.57           8.255
              45           2.997           9.415
              46           14.28           7.808
              47           76.72           9.318
