#Sat Feb 22 10:20:18 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           68.95           30.74
               1          -22.21           25.98
               2          -16.54           23.08
               3          -28.37            23.6
               4          -126.2           9.498
               5          -43.92           8.224
               6          -19.95           11.03
               7           34.39           8.253
               8          -71.18           7.343
               9          -19.72           7.973
              10           21.84           8.088
              11           53.33           8.206
              12             -53           8.082
              13          -1.395           7.934
              14           22.82           7.746
              15           74.17           8.392
              16           2.871           8.165
              17          -33.62           6.705
              18          -11.19           11.92
              19           7.411           6.925
              20          -39.65           7.853
              21          -19.45            6.89
              22           9.618           7.861
              23           58.96           6.744
              24          -62.23           7.122
              25          -22.75           7.228
              26             6.2           7.028
              27           54.31           7.268
              28          -53.09           6.659
              29          -28.06           8.466
              30           23.16           6.747
              31           79.83           7.806
              32          -38.23           8.157
              33          -29.49            7.33
              34              21           8.259
              35           44.04           8.055
              36          -55.26           7.702
              37          -23.19            6.94
              38            3.23           8.306
              39           50.14           8.019
              40          -51.88           7.673
              41             -11           7.196
              42           22.53           8.719
              43           66.41           8.178
              44          -54.35           7.728
              45          -15.92           8.937
              46           8.378           7.275
              47           84.19           8.596
              48          -27.02           8.114
              49          -21.72            6.82
              50           11.28           9.879
              51           27.21           6.813
              52          -55.39           7.383
              53          -31.44           6.967
              54           10.99           7.559
              55           42.61           6.734
              56          -60.85           6.951
              57          -9.376           7.734
              58            9.75           6.971
              59            48.8           7.344
              60          -46.16           6.595
              61          -23.56           9.471
              62           7.988           6.592
              63           84.21           8.248
              64          -33.61           7.904
              65          -12.39           7.862
              66           5.409           10.39
              67           30.29           8.196
              68          -56.16            7.68
              69          -16.37           7.286
              70           12.64            9.09
              71           61.83           7.766
              72          -54.46           7.601
              73          -23.48           7.028
              74           10.82           7.935
              75           51.43            7.97
              76          -47.48            7.17
              77          -13.78           6.915
              78            18.9           7.228
              79           94.03           8.713
              80          -30.11           8.067
              81          -31.31           6.666
              82          -12.47           8.638
              83           43.59           6.569
              84          -63.64           7.603
              85           -22.4           6.599
              86           10.29           7.163
              87           62.97           6.716
              88          -56.46            6.91
              89           -7.17           7.209
              90           4.887           6.697
              91           67.19           7.397
              92           -37.1           6.555
              93          -11.48           8.364
              94           19.67            6.46
              95           100.1           8.354
              96          -41.19           7.663
              97          -32.31           6.663
              98           9.643           9.692
              99           36.02           8.574
             100          -60.12           7.513
             101          -20.81           6.685
             102          -11.44            8.13
             103           59.49           7.605
             104          -61.47           7.652
             105           4.388           8.947
             106           12.98           7.631
             107            67.8           8.115
             108          -21.94           7.067
             109          -9.999           7.647
             110           20.52           7.907
             111           84.16           9.017
             112          -53.13           7.737
             113          -51.05           6.511
             114           7.915           8.114
             115           31.07           6.644
             116          -63.48           7.273
             117          -5.096            6.55
             118           11.76           6.898
             119           51.11           6.747
             120          -58.28           6.875
             121          -21.39           7.008
             122           38.63             6.6
             123           59.45           7.611
             124          -25.52           6.554
             125          -12.68           9.745
             126           20.62           6.478
             127           137.1           9.109
APV               58              11               0               1
               0           68.95            30.8
               1          -26.55            26.9
               2            12.8           24.47
               3           1.017           24.48
               4          -160.4           9.391
               5          -61.14           8.386
               6          -14.36           11.29
               7           43.76           9.021
               8          -63.22           7.845
               9           -33.4           8.493
              10           14.17           8.349
              11            63.6           8.876
              12          -61.01            8.62
              13          -21.97           8.054
              14           18.42           8.149
              15           54.25           8.828
              16          -27.85           8.602
              17          -40.34            7.05
              18          -12.94           14.24
              19           7.457           7.319
              20          -61.54           8.129
              21           -31.3           7.233
              22           14.95           8.837
              23           45.19           7.093
              24          -69.13           7.554
              25          -33.49           7.516
              26           25.11            7.73
              27           43.64           7.632
              28          -46.52           7.086
              29          -20.64           8.611
              30           24.11           7.215
              31            73.9           8.257
              32          -50.06           8.597
              33          -44.33           7.736
              34           11.64           8.531
              35           45.36            8.57
              36          -64.87           7.963
              37          -33.48           7.465
              38           34.26           8.777
              39           73.43           8.682
              40           -65.4           8.074
              41           -28.5           7.504
              42           35.26           9.131
              43           73.02           8.938
              44          -53.04           8.278
              45           3.561           9.409
              46           14.16           7.667
              47           76.42           9.357
              48           -78.5           8.466
              49          -18.11           7.122
              50           2.065           11.54
              51           51.88           7.194
              52          -81.13           7.616
              53          -29.09           7.282
              54           28.58           8.415
              55           56.24           7.224
              56          -60.98           7.299
              57          -17.47           7.766
              58           33.25           7.576
              59           54.08           7.665
              60          -50.36           6.891
              61          -14.76           9.424
              62           29.96           7.099
              63           90.96           8.748
              64           -57.5           8.246
              65          -24.09           8.185
              66           12.79           11.06
              67           65.52           8.795
              68          -75.84           8.014
              69          -40.78           7.633
              70           34.23           9.758
              71           57.76           8.249
              72          -76.46           8.069
              73          -18.06           7.485
              74           40.99           8.455
              75           57.27           8.541
              76          -43.54           7.577
              77          -6.907           7.874
              78           49.65           7.856
              79           92.72           9.231
              80          -34.75           8.655
              81          -51.45           7.086
              82          -9.147           9.659
              83           32.64           7.015
              84          -58.48            8.11
              85          -39.14           7.161
              86           33.71           7.865
              87            51.2           6.995
              88          -66.27            7.33
              89          -37.14            7.74
              90           23.86           7.153
              91           68.06           7.731
              92          -49.22           6.917
              93          -15.84           9.384
              94           49.04           6.905
              95           120.8           8.876
              96          -62.28           8.079
              97          -35.33           7.346
              98           8.537           10.15
              99           48.99           9.242
             100          -57.51           8.068
             101          -27.13           7.331
             102           27.95           8.795
             103           64.46           8.294
             104          -75.29           8.168
             105           -10.5           9.611
             106           26.48           8.096
             107           61.09           8.649
             108          -50.31           7.347
             109          -17.65           8.618
             110           30.89            8.45
             111           131.8           9.721
             112          -46.54           8.355
             113           -30.7           6.969
             114           19.65           9.024
             115            42.6           6.946
             116          -66.96           7.581
             117           -37.8           7.024
             118           10.17            7.55
             119           69.23           7.026
             120          -60.67           7.069
             121          -6.931           7.786
             122           36.33           7.029
             123           64.68           7.849
             124          -35.86           6.944
             125           1.289            11.1
             126           39.79           6.896
             127           103.2           9.705
APV               58              11               0               2
               0           22.06           28.43
               1          -6.152           24.59
               2           40.26           22.55
               3           -17.2           22.04
               4          -160.3           9.047
               5          -48.48           8.459
               6           17.69           11.73
               7           21.23           8.806
               8          -58.11           7.615
               9           8.854             8.4
              10           39.52           8.502
