#Tue Feb 25 14:22:17 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           68.12           30.72
               1          -21.84           25.96
               2             -17           22.97
               3          -28.96           23.54
               4            -126           9.403
               5          -43.35           8.186
               6           -20.2           11.17
               7           33.76            8.36
               8          -70.67           7.264
               9          -18.56           8.036
              10           21.12           8.144
              11           53.04            8.16
              12          -52.12           8.078
              13         -0.4845           8.127
              14           22.44           7.757
              15           73.77           8.302
              16           2.875           8.079
              17          -33.62           6.776
              18          -11.54           12.05
              19           7.024           6.868
              20          -39.96            7.79
              21          -19.15           6.901
              22           9.431           7.838
              23           58.12           6.757
              24          -61.82           7.109
              25          -22.02           7.238
              26           5.982           7.037
              27            53.5           7.234
              28          -52.83           6.694
              29          -27.45           8.587
              30           23.69           6.853
              31           79.54            7.86
              32          -37.78           8.135
              33          -28.79           7.375
              34           20.19           8.362
              35           42.81           8.111
              36          -55.28           7.707
              37          -22.23           6.952
              38           3.285           8.372
              39           49.77            8.08
              40          -51.27           7.739
              41          -9.733           7.319
              42           22.28           8.799
              43           65.72           8.205
              44          -53.67            7.76
              45          -15.55           9.049
              46            8.22           7.323
              47            83.6           8.559
              48           -27.4           8.085
              49          -21.67           6.801
              50           11.22           10.04
              51           26.66           6.844
              52           -54.9           7.416
              53          -31.21           6.942
              54           10.85           7.544
              55           41.97            6.77
              56          -60.52            6.93
              57          -8.573           7.785
              58           9.476           6.941
              59           47.99           7.267
              60          -45.65           6.585
              61          -23.07           9.686
              62           7.529           6.548
              63           83.24           8.211
              64           -33.5           8.019
              65          -11.84           7.764
              66           5.578           10.36
              67           29.99           8.199
              68          -55.46           7.663
              69          -16.28           7.244
              70           12.29           9.183
              71           61.14           7.756
              72          -54.24           7.498
              73          -22.92           7.023
              74           10.79           7.876
              75           50.89           7.921
              76          -46.74           7.281
              77          -13.73           6.904
              78           18.64           7.158
              79            93.6           8.502
              80          -29.98           8.072
              81          -31.19           6.609
              82          -12.49           8.692
              83           43.22           6.647
              84          -63.15           7.627
              85          -22.15           6.618
              86           10.26           7.228
              87           62.62           6.713
              88          -56.34            6.93
              89          -7.336           7.201
              90           4.789           6.669
              91            66.3           7.382
              92          -37.03           6.596
              93          -10.91           8.442
              94           19.83           6.512
              95            99.7           8.327
              96          -40.76           7.675
              97          -31.91           6.678
              98            9.25           9.718
              99           35.78           8.634
             100          -58.92            7.56
             101          -20.18           6.692
             102          -11.11           8.126
             103           59.22           7.727
             104          -61.68           7.647
             105           3.634           8.818
             106           12.16            7.67
             107           67.35           8.112
             108          -21.06           7.104
             109          -9.195           7.625
             110           20.11           7.892
             111           83.96           8.936
             112          -52.98           7.734
             113          -50.69            6.54
             114           8.137           8.161
             115           30.68           6.629
             116          -63.33           7.199
             117          -5.132           6.574
             118           11.46            6.99
             119            50.6           6.698
             120          -58.11           6.832
             121          -21.02            6.94
             122           38.67           6.545
             123           59.01            7.58
             124          -25.17            6.53
             125          -12.47           9.845
             126           20.38           6.556
             127           136.6           9.115
APV               58              11               0               1
               0           68.54            30.8
               1          -27.35           26.82
               2           12.69           24.52
               3          0.8145           24.49
               4          -160.6           9.463
               5           -62.3           8.447
               6           -14.4           11.58
               7           43.98           9.135
               8          -63.58           7.805
               9          -33.23           8.549
              10           14.52           8.508
              11              64           8.829
              12          -61.52           8.522
              13          -21.79           8.129
              14           19.19           8.264
              15           54.75           8.886
              16          -27.81           8.663
              17          -40.52           7.071
              18          -13.06           14.61
              19           7.713           7.285
              20          -62.06           8.077
              21          -31.54           7.251
              22           14.86           8.837
              23           45.31           7.031
              24          -69.29           7.474
              25          -34.03           7.549
              26           25.17           7.775
              27           44.26           7.592
              28          -46.68           7.038
              29          -21.22           8.778
              30           24.15           7.314
              31           74.31            8.23
              32          -50.76           8.586
              33          -44.49           7.844
              34           11.91            8.73
              35           45.46           8.725
              36          -64.96            7.94
              37           -33.4           7.677
              38           34.71           8.978
              39           73.86           8.679
              40          -65.46            7.96
              41          -28.25           7.619
              42           35.93            9.25
              43           73.52            8.84
              44          -53.01           8.304
              45           3.467           9.416
              46           14.23           7.828
              47           76.94           9.261
              48          -78.55           8.547
              49          -18.31           7.152
              50           2.072           11.75
              51           52.12           7.274
              52          -81.76           7.698
              53          -29.49           7.263
              54           28.73           8.523
              55           56.52           7.207
              56          -61.15           7.363
              57          -17.85           7.874
              58           33.13           7.585
              59           54.37           7.783
              60          -50.95           6.926
              61          -15.13           9.691
              62           30.51           7.082
              63           91.48           8.705
              64          -57.67           8.257
              65           -24.2           7.976
              66           12.92            11.3
              67           65.12            8.79
              68           -75.7            7.99
              69          -40.82           7.692
              70           34.61           9.962
              71           57.99            8.31
              72          -76.68           8.037
              73          -17.91            7.49
              74           40.95           8.574
              75           57.96           8.478
              76           -43.7            7.74
              77          -6.705           7.901
              78            50.1           7.954
              79           93.36             9.3
              80          -34.97           8.713
              81          -51.65           7.004
              82          -9.677           9.899
              83           32.49           6.943
              84          -58.83           8.171
              85          -39.34           7.144
              86            33.6           7.952
              87           51.23            6.94
              88          -66.58           7.301
              89          -37.16           7.813
              90           24.03           7.235
              91           68.33           7.664
              92          -49.51           6.928
              93          -16.17           9.656
              94           48.76           6.945
              95           121.4           8.828
              96          -62.28           8.178
              97          -35.26           7.338
              98           8.813           10.37
              99            49.2           9.318
             100          -57.82           8.037
             101          -27.17           7.454
             102           27.52           8.923
             103           64.52           8.273
             104          -75.28           8.142
             105          -10.85           9.539
             106           26.25           8.278
             107           61.91           8.701
             108           -49.9           7.402
             109          -17.25           8.617
             110           31.16           8.522
             111           132.5           9.702
             112           -46.8            8.43
             113          -31.02           6.912
             114           19.49           9.202
             115           42.59           6.952
             116          -67.22           7.672
             117          -37.78           6.978
             118           10.03           7.577
             119           69.14           7.053
             120          -60.94            7.17
             121          -7.245           7.838
             122           36.42           7.063
             123           65.17           7.928
             124          -36.45           6.889
             125           1.047           11.43
             126           39.79           6.969
             127           103.8           9.799
APV               58              11               0               2
               0           22.18           28.49
               1          -6.743           24.43
               2           39.78           22.66
               3          -17.01           22.05
               4          -160.2           8.985
               5          -48.83           8.417
               6           17.55           12.01
               7           21.19           8.936
               8          -57.99           7.694
               9           8.694           8.583
              10           39.05           8.652
              11           38.75           8.627
              12          -27.09           9.432
              13          -14.63            8.19
              14           22.12           8.625
              15           28.59           8.544
              16          -62.79           8.317
              17          -13.85           6.999
              18           20.18           14.04
              19           0.604           7.118
              20          -76.39           7.944
              21          -29.63           7.135
              22           15.17           8.921
              23           23.96           6.938
              24          -44.79           7.564
              25          -15.49           7.426
              26           44.89           7.716
              27            38.7           7.507
              28          -27.61           7.394
              29          -4.655           8.716
              30           25.36           7.232
              31           48.93           8.072
              32          -75.13            8.27
              33          -14.22           8.174
              34           30.97           11.54
              35           7.655           8.244
              36          -85.85           7.902
              37          -25.51           7.739
              38           44.18           9.162
              39           23.28             8.7
              40          -43.16           7.919
              41          -2.219           7.536
              42              23           9.493
              43           17.55           8.658
              44          -33.76           8.705
              45           3.175           8.674
              46            26.6           7.985
              47            35.8            8.89
              48          -46.59           8.757
              49          -23.08           7.029
              50            22.7           11.27
              51           9.729           7.047
              52          -64.21           7.772
              53           10.75           7.207
              54           16.38           8.512
              55            44.5           7.157
              56          -35.34           7.398
              57          -29.74           7.764
              58              24            7.55
              59           27.73           7.534
              60          -30.88           6.827
              61           6.434           9.852
              62           36.18           6.996
              63           49.21           8.493
              64          -72.94               8
              65          -27.97           8.099
              66           49.32           11.84
              67            39.5           8.789
              68          -57.08           7.792
              69          -6.103           7.895
              70           43.17           10.12
              71           38.94           8.186
              72          -41.06           7.986
              73           4.307           7.673
              74           33.57            8.73
              75           31.22           8.284
              76          -43.11           7.881
              77           4.544           7.608
              78           16.75            7.84
              79           39.53           8.866
              80          -77.25           8.446
              81          -29.82           6.949
              82           31.71           9.895
              83            21.4           6.878
              84          -55.03           8.061
              85          -13.48           7.014
              86            30.6           7.846
              87           32.17           6.882
              88          -41.69           7.344
              89           14.23           7.963
              90           34.94           7.166
              91           36.17           7.575
              92          -24.77           7.076
              93           14.56           9.862
              94           14.62           6.858
              95           43.25           8.546
              96           -76.1           7.893
              97          -8.476           7.568
              98           41.18           10.85
              99           14.42            9.17
             100          -77.81           7.742
             101          -12.42            7.57
             102              40            9.23
             103           26.69           8.114
             104          -57.69           8.285
             105          -14.68           8.952
             106           38.69           8.451
             107           45.82           8.492
             108          -33.73           7.775
             109           27.96           8.183
             110           37.58           8.626
             111           63.97           9.381
             112          -55.67           8.405
             113          -9.214           6.978
             114           38.39           9.169
             115           25.81           6.852
             116          -56.22           7.691
             117          -2.487           6.893
             118           19.79           7.521
             119           21.54           6.917
             120          -17.88           7.289
             121           1.921           7.878
             122           15.84            6.95
             123           17.16           7.665
             124          -23.43           6.855
             125          -16.09            11.9
             126           37.15           6.893
             127           66.41           9.442
APV               58              11               0               3
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7               0               0
               8               0               0
               9               0               0
              10               0               0
              11               0               0
              12               0               0
              13               0               0
              14               0               0
              15               0               0
              16               0               0
              17               0               0
              18               0               0
              19               0               0
              20               0               0
              21               0               0
              22               0               0
              23               0               0
              24               0               0
              25               0               0
              26               0               0
              27               0               0
              28               0               0
              29               0               0
              30               0               0
              31               0               0
              32               0               0
              33               0               0
              34               0               0
              35               0               0
              36               0               0
              37               0               0
              38               0               0
              39               0               0
