#Fri Feb 28 15:24:03 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           70.45           30.65
               1          -22.27           25.87
               2          -16.81           22.79
               3          -28.14           23.53
               4          -126.1           9.432
               5          -44.78           8.223
               6          -19.72           11.05
               7           34.46           8.305
               8          -71.08           7.239
               9          -19.64           8.042
              10           21.85           8.129
              11           53.94            8.14
              12          -52.71           8.014
              13          -1.272            8.15
              14           23.02           7.807
              15           74.64           8.337
              16           2.853           8.072
              17          -34.11           6.745
              18          -11.34           12.07
              19           7.458           6.878
              20           -40.2           7.769
              21          -20.22           6.868
              22            9.48           7.783
              23           58.57           6.639
              24          -62.26           6.998
              25          -23.45           7.198
              26           6.254           7.007
              27           54.49           7.115
              28          -53.01           6.615
              29           -27.5           8.671
              30           23.99           6.759
              31           80.32           7.939
              32          -37.73           8.114
              33          -29.34           7.474
              34           21.08           8.309
              35           43.95           8.189
              36          -55.42           7.534
              37          -23.99           7.059
              38           2.868            8.38
              39           49.82            7.94
              40          -51.83           7.664
              41          -10.58           7.341
              42           22.41            8.76
              43           66.74           8.107
              44          -53.85           7.724
              45          -15.73           9.035
              46           8.421           7.287
              47           84.23            8.65
              48          -27.26           7.996
              49           -22.4           6.828
              50           10.98           9.992
              51           27.11           6.798
              52          -54.87           7.428
              53          -32.06           6.931
              54           10.66           7.534
              55           42.71           6.805
              56          -60.85           6.889
              57          -9.001             7.7
              58           9.489           6.914
              59           48.77           7.272
              60          -46.37           6.629
              61          -23.27           9.849
              62           7.941           6.635
              63           84.45           8.254
              64           -33.3           7.996
              65          -12.15           7.905
              66           5.482           10.33
              67           29.86           8.149
              68           -55.4           7.659
              69          -16.28           7.338
              70           12.67           9.076
              71           61.64           7.749
              72          -54.51            7.51
              73          -23.69           7.015
              74           10.89           7.902
              75            51.3           7.995
              76          -47.12             7.2
              77          -14.22            6.82
              78           18.83           7.232
              79            94.4            8.69
              80          -29.66           8.006
              81          -31.41           6.616
              82           -12.5            8.67
              83           43.52           6.699
              84          -63.38           7.618
              85           -22.7           6.609
              86           10.01           7.102
              87           62.86           6.708
              88          -56.64           6.786
              89          -7.695           7.144
              90           4.512           6.632
              91           67.31           7.445
              92          -37.21           6.596
              93          -11.41           8.446
              94           19.64           6.476
              95           100.1           8.361
              96          -40.82           7.595
              97           -32.2           6.663
              98           9.653            9.77
              99           36.67            8.63
             100          -58.82           7.451
             101          -20.63           6.681
             102          -11.64            8.08
             103           59.76           7.716
             104          -61.22           7.644
             105           3.908           8.859
             106            12.2           7.629
             107            67.7           8.145
             108          -21.74           7.103
             109          -9.948           7.654
             110           20.39           7.916
             111           84.71           8.891
