#Fri Mar  7 21:56:05 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           65.71            29.8
               1          -15.95           25.14
               2           17.23           22.22
               3          -21.39           22.73
               4          -159.1           9.179
               5          -71.28           7.939
               6          -2.228           9.668
               7           32.41           8.087
               8          -71.12           7.282
               9          -12.16           7.845
              10           24.09           7.533
              11           65.29           8.067
              12          -39.61           8.111
              13          -14.18            7.65
              14           47.57           7.368
              15           73.87           8.064
              16          -64.92           7.657
              17          -44.04           6.596
              18          0.8169           10.18
              19           16.56           6.692
              20          -79.05           7.394
              21          -24.47           6.738
              22           17.49           7.217
              23           43.27            6.58
              24           -68.6               7
              25          -8.148           6.945
              26            23.3           6.693
              27           47.31           7.117
              28          -61.71           6.597
              29          -17.55           7.976
              30           35.21           6.617
              31           73.49           7.558
              32          -62.34           7.846
              33          -36.46           7.112
              34           12.92           7.632
              35           40.33            7.56
              36          -73.31           7.412
              37           -31.4           6.736
              38           31.29           7.645
              39              66           7.862
              40          -43.83           7.712
              41          -10.05           7.061
              42           19.65           7.998
              43           51.91           7.976
              44          -70.04           7.301
              45           3.981           9.283
              46            34.7             7.1
              47           81.23           8.357
              48          -69.94           7.611
              49          -44.12           6.617
              50           6.163           8.757
              51           22.23            6.59
              52          -73.44           7.154
              53          -16.64           6.762
              54           9.115           7.062
              55           40.57            6.72
              56          -65.59           6.868
              57          -15.99           7.237
              58           17.59           6.659
              59           43.16           7.207
              60           -39.8           6.616
              61          -28.68           8.808
              62           41.76           6.451
              63           97.33           8.011
              64          -71.58           7.717
              65          -34.08           7.537
              66           20.72           9.067
              67           39.88           7.497
              68           -60.9            7.61
              69          -1.227           7.231
              70           22.47           8.137
              71           56.03           7.533
              72          -67.89           7.455
              73          -19.04           7.069
              74           41.36           7.506
              75           71.16           7.777
              76          -39.36           7.047
              77          -24.93           6.969
              78           42.85           6.974
              79           92.76           8.468
              80          -87.46           7.631
              81          -29.59           6.517
              82           16.31           7.771
              83           22.92            6.39
              84          -64.97           7.474
              85          -19.24           6.556
              86           26.04           6.851
              87           57.47           6.607
              88          -52.33           8.404
              89          -6.593            6.96
              90           15.16           6.333
              91           66.41            7.19
              92          -33.92            6.56
              93           15.83           7.701
              94           27.84             6.2
              95           106.5           8.148
              96          -56.21           7.577
              97           -41.9           6.457
              98           1.651           8.513
              99           28.11           8.084
             100          -67.13            7.55
             101          -8.747           6.565
             102           46.07           7.661
             103            61.6           7.498
             104          -71.85           7.645
             105            11.4           9.082
             106           19.44           7.173
             107           81.66           7.959
             108          -49.52           6.827
             109          -2.583           7.949
             110           39.97           7.242
             111           114.6           8.854
             112          -65.88           7.562
             113          -19.22           6.629
             114          -10.67           7.378
             115            22.3           6.434
             116          -59.09           7.215
             117          -23.38           6.387
             118           15.67           6.568
             119           54.07           6.625
             120          -59.87           7.247
             121          -27.69            6.78
             122           18.17           6.349
             123           40.66           7.445
             124          -38.47           6.476
             125          -14.41           8.519
             126           36.67           6.349
             127           149.7           8.877
APV               58              11               0               1
               0           54.67            31.6
               1          0.6022           30.49
               2          -1.254           25.25
               3          -21.43            25.3
               4          -145.4           9.345
               5          -45.94           8.095
               6         -0.5703           12.69
               7           43.52           9.012
               8          -60.73           7.619
               9           -30.8           7.836
              10           22.77           8.875
              11           37.61           8.835
              12          -45.17           8.499
              13          -17.23           7.619
              14           20.32           8.518
              15           49.38           9.161
              16          -55.68           8.508
              17          -30.99            6.84
              18          -3.525           14.11
              19           25.68           7.234
              20           -57.1           8.099
              21          -19.84           6.902
              22           17.98           8.654
              23           37.41           6.916
              24          -63.29           7.498
              25          -41.71           7.121
              26           26.41           7.549
              27           42.59           7.647
              28          -53.07           7.119
              29          -28.05           8.227
              30           37.53            7.16
              31           66.67           8.922
              32           -55.4           8.546
              33          -19.85           7.591
              34           3.764           9.058
              35           17.19           8.745
              36          -57.69           7.987
              37          -18.16           7.202
              38            33.5           9.498
              39           46.58           8.653
              40          -39.71           7.882
              41          -12.76           7.091
              42           41.89           9.846
              43           44.87           8.975
              44          -9.848           14.89
              45          -12.24           8.696
              46            37.4           8.002
              47           72.57           16.02
              48          -60.33           8.697
              49          -40.87           6.854
              50            2.17           11.71
              51           25.68           7.071
              52          -45.33           7.848
              53          -18.96           6.899
              54            6.39           8.194
              55           40.93           7.039
              56          -48.67           7.266
              57          -22.28           7.461
              58           20.29           7.434
              59           45.43           7.767
              60          -25.66             7.3
              61          -15.07           9.122
              62           17.72           6.928
              63            80.2           16.98
              64          -43.32           8.261
              65          -25.19           7.872
              66           17.19           11.73
              67           15.55           8.907
              68          -68.54           8.022
              69          -47.57           7.334
              70           33.96           10.52
              71           38.16           8.322
              72          -56.78           7.954
              73          -24.72           7.163
              74           41.31           9.038
              75           36.57           8.472
              76          -39.06           7.663
              77          -18.21           7.219
              78           16.98           8.147
              79           83.04            9.28
              80          -40.06           8.746
              81          -34.21           6.832
              82            7.38           9.808
              83           22.48           6.791
              84          -44.82           8.114
              85          -18.59           6.887
              86           15.27           7.799
              87           65.84           7.018
              88          -48.41           7.191
              89          -24.57           7.558
              90           35.53           7.183
              91           50.62           7.711
              92          -38.54           6.818
              93          -23.53           9.346
              94           18.22           6.767
              95            77.2           8.912
              96          -44.23           8.065
              97          -25.54           7.112
              98           22.88           10.97
              99           46.57           9.528
             100          -60.93            7.89
             101          -2.323           7.046
             102           16.61           9.179
             103           42.16            8.33
             104          -46.69            8.09
             105          -8.949           8.632
             106           26.71           8.716
             107           59.46            8.69
             108          -34.43           7.452
             109          -7.974           8.031
             110            41.6           9.087
             111           77.41           9.814
             112           -40.8           8.561
             113          -34.85           6.715
             114           27.99            9.05
             115           42.42           6.903
             116          -46.21           7.654
             117          -27.08           6.762
             118            23.6           7.488
             119           45.35           7.064
             120          -42.02           7.112
             121          -25.28           7.428
             122           44.96           6.938
             123           63.86           8.009
             124          -56.14           6.714
             125          -8.692           11.18
             126           39.36           6.893
             127           117.4           10.64
APV               58              11               0               2
               0            49.9           28.25
               1          -2.643           24.23
               2           12.11           21.84
               3          -16.47           21.52
               4          -143.7           8.539
               5           -54.4           7.953
               6          -3.871           10.44
               7            31.3           8.022
               8          -74.08            7.08
               9           -23.1           7.486
              10           18.74           7.679
              11           45.02            7.73
              12          -59.27           8.582
              13          -9.569           6.955
              14          -4.365           7.336
              15           35.92           7.773
              16          -43.83           7.688
              17          -25.67           6.551
              18          -16.16           11.66
              19           22.39           6.662
              20          -63.13           7.219
              21          -19.89            6.55
              22           19.27           7.612
              23            40.1           6.472
              24          -56.37           6.815
              25          -7.677           6.771
              26           1.201           6.764
              27           31.11           6.941
              28          -36.25            6.83
              29           4.714           7.522
              30           21.66           6.517
              31           78.58           7.511
              32          -12.01           7.668
              33          -28.94           7.457
              34           10.24           9.289
              35           18.39           7.301
              36          -55.32            7.29
              37          -36.35           6.874
              38           30.14           8.058
              39           54.53           7.874
              40          -60.15           7.282
              41          -21.45           6.692
              42           13.25           8.165
              43           49.88           7.931
              44           -55.9           7.737
              45           3.759           7.653
              46           13.01           6.989
              47           68.17           8.322
              48          -48.26            7.76
              49        0.008533            6.61
              50          -6.282           9.594
              51           21.81           6.442
              52          -31.97           7.222
              53          -10.52           6.517
              54           11.22           7.362
              55           47.06           6.569
              56          -39.54           6.774
              57          -13.64           7.005
              58           6.419           6.756
              59           61.73           7.041
              60          -48.72           6.342
              61          -29.33           8.287
              62           13.48           6.372
              63           48.69           7.951
              64          -58.11           7.324
              65          -27.98           7.773
              66           8.483           9.838
              67           40.77           7.799
              68          -55.09           7.238
              69          -30.49           7.306
              70           2.359           8.717
              71           56.95           7.567
              72           -46.1           7.209
              73          -2.215           7.087
              74           31.28           7.807
              75           66.27           7.718
              76          -62.85           7.226
              77           1.733           6.612
              78           36.56           7.071
              79           76.58           8.497
              80          -33.11           7.649
              81          -5.887           6.514
              82           31.04           8.541
              83           45.91            6.51
              84          -58.31           7.324
              85          0.5846           6.558
              86           26.61           6.928
              87           44.66           6.524
              88          -49.36           6.713
              89          -4.741           7.042
              90           10.47           6.491
              91           45.74           7.126
              92          -62.79           6.425
              93          -6.276           8.269
              94           37.61           6.328
              95           76.41           8.213
              96          -44.37           7.209
              97          -30.13           6.779
              98           -12.7           9.105
              99           24.81           8.286
             100          -71.48           7.104
             101          -7.375           6.703
             102            16.5           8.045
             103           55.06           7.482
             104          -38.25           7.633
             105          -3.133           7.988
             106           23.67           7.472
             107           58.79           7.903
             108          -56.66           7.085
             109         -0.1341           7.114
             110            31.5            7.56
             111           86.68           8.924
             112          -38.18           7.538
             113          -22.37           6.391
             114           18.42           7.913
             115           41.21           6.439
             116          -29.35           7.045
             117          -11.23            6.44
             118           11.62           6.703
             119           53.53           6.526
             120          -45.53           6.621
             121           1.426           6.934
             122           13.27           6.365
             123            56.1            7.51
             124          -50.02           6.233
             125          -14.21           9.784
             126           17.08            6.23
             127           104.2           9.026
APV               58              11               0               3
               0           45.53           28.07
               1          -17.42           23.46
               2          -12.47           20.53
               3           24.85           20.79
               4            -157           8.519
               5          -75.81           7.867
               6          -11.58           9.783
               7           38.06           8.038
               8          -74.84           6.898
               9          -32.38           7.504
              10            28.5           7.532
              11           55.08           7.985
              12           -72.9           7.629
              13          -9.313           7.136
              14           28.39            7.22
              15           59.86           7.989
              16          -54.63           7.421
              17          -48.72           6.554
              18           15.67           11.97
              19              43           6.605
              20          -75.99           7.107
              21          -49.32           6.599
              22          -1.425           7.835
              23           52.38           6.442
              24          -39.36           6.822
              25          -14.65           6.829
              26           10.13           6.883
              27           67.67           6.991
              28          -37.89           6.392
              29          0.8796           7.686
              30            42.4           6.576
              31            71.4           7.512
              32          -72.22           7.331
              33          -41.01           7.241
              34           5.397           7.354
              35           45.02           7.668
              36          -70.73           7.022
              37          -46.59           6.797
              38           35.48           7.701
              39           58.64           7.783
              40          -59.19           7.082
              41           -19.8           6.614
              42           27.15           8.163
              43           55.15           8.047
              44           -52.9           7.565
              45          -4.539            7.78
              46           38.05           6.954
              47           62.65           8.347
              48          -54.42            7.56
              49          -34.78           6.534
              50          -7.739            9.93
              51           45.59           6.473
              52          -63.63           6.872
              53          -30.16           6.566
              54           22.91            7.46
              55           57.18           6.369
              56          -51.24            6.65
              57          -27.23           6.909
              58           25.31           6.745
              59           72.89           7.026
              60          -32.54           6.437
              61          -7.898           8.323
              62           25.39           6.378
              63           78.72           7.908
              64          -57.88           7.113
              65          -52.47           7.442
              66          -5.157           8.954
              67           63.76           7.753
              68          -60.25           6.978
              69          -29.13           7.601
              70           20.37           8.249
              71           71.42            7.57
              72          -64.29           6.943
              73          -21.63            6.89
              74           19.25           7.458
              75           67.69           7.827
              76          -54.58           6.943
              77           2.499           6.796
              78           52.68           7.047
              79           83.75           8.408
              80          -73.66            7.46
              81          -47.97           6.367
              82           5.594           8.588
              83           53.23           6.259
              84           -71.2           7.101
              85          -42.12            6.38
              86           8.927           7.035
              87           70.66            6.37
              88          -54.16           6.506
              89          -30.96           6.889
              90           18.22           6.571
              91           58.19           6.977
              92          -45.39           6.267
              93           7.494           8.311
              94           42.48           6.298
              95           84.17           8.126
              96          -75.63           7.009
              97          -38.71           6.662
              98           15.39           8.495
              99           47.54           8.123
             100          -82.16           6.879
             101          -27.86           6.671
             102           33.34           7.577
             103           68.67            7.53
             104          -67.98            7.21
             105          -2.868           8.561
             106           26.21           7.313
             107           61.86           7.905
             108          -68.18           6.655
             109              12           7.498
             110           54.32            7.49
             111           111.5            8.73
             112          -63.01           7.333
             113          -43.71           6.979
             114           11.61           8.001
             115           52.05            6.31
             116           -59.9           6.777
             117          -46.03            6.32
             118           24.86           6.698
             119           71.98           6.451
             120          -56.87           6.335
             121          -4.246           6.891
             122           51.81           6.393
             123           75.96           7.345
             124          -37.82           6.183
             125          -2.184           9.845
             126           47.22           6.333
             127           114.8            8.88
APV               58              11               0               4
               0           61.04           29.68
               1          -30.79            25.6
               2          -28.97           23.05
               3           13.28           22.57
               4          -136.8           9.441
               5          -59.62           8.415
               6          -16.41           10.99
               7           22.84           8.493
               8          -61.75           7.844
               9             -28            8.04
              10            2.94           8.262
              11           57.18           8.475
              12          -47.45           8.737
              13          -28.58           7.778
              14           11.02           8.132
              15           62.44           8.415
              16          -29.38           8.577
              17          -27.31            7.23
              18          -27.77           12.87
              19           39.29           7.528
              20          -64.71           8.041
              21          -10.91           7.283
              22          -25.91           8.461
              23           50.07           7.216
              24          -51.51           7.704
              25          -28.17           7.447
              26           17.55           7.605
              27           63.66           7.583
              28          -41.69           7.193
              29          -30.94           8.242
              30            10.8           7.444
              31           83.56           7.991
              32          -37.45           8.335
