#Mon Mar 10 17:47:07 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           65.61           30.04
               1          -17.61           25.37
               2            15.9           22.45
               3           -22.3           22.76
               4          -158.5           9.198
               5          -73.39            8.09
               6          -3.095           9.673
               7           31.09           8.076
               8          -69.64           7.336
               9          -12.28           8.007
              10           23.85           7.533
              11           63.86           8.013
              12          -37.98           8.157
              13          -13.48           7.743
              14           47.57           7.467
              15           72.51           8.009
              16          -63.62           7.825
              17           -45.5           6.655
              18       -0.007667           10.28
              19           15.29            6.78
              20          -78.24           7.485
              21          -26.68           6.648
              22            17.3           7.207
              23            42.4           6.643
              24          -67.22           7.088
              25          -7.639           7.021
              26           23.53           6.778
              27           45.81           7.113
              28           -60.5           6.714
              29          -17.66           7.959
              30           34.56            6.64
              31           72.19           7.688
              32          -61.48            7.88
              33          -38.02           7.007
              34           11.34           7.713
              35           39.09           7.646
              36          -72.22           7.457
              37           -32.6           6.677
              38           30.75           7.715
              39           64.99           7.943
              40          -41.66           7.676
              41          -9.146           7.091
              42           19.88           8.057
              43           50.54           7.973
              44          -68.97           7.352
              45           2.611            9.43
              46           33.62           7.124
              47           79.41           8.406
              48          -69.09           7.709
              49          -46.45           6.595
              50            4.92           8.833
              51           20.52           6.685
              52          -72.16           7.162
              53           -17.6           6.762
              54           8.986           7.016
              55           39.17           6.775
              56          -64.39            6.88
              57           -15.2           7.277
              58           17.66           6.742
              59           41.85           7.212
              60          -39.46           6.609
              61          -31.61           8.779
              62              41           6.517
              63           95.81           7.994
              64          -70.28           7.707
              65             -33            7.71
              66           21.12           9.195
              67           39.55           7.481
              68          -59.21           7.679
              69          0.8315           7.316
              70           23.36           8.195
              71           55.44           7.526
              72           -66.9           7.529
              73          -17.49           7.242
              74           41.55           7.499
              75           70.09           7.825
              76          -38.59           7.116
              77          -24.07           6.961
              78           42.89           6.848
              79           91.12            8.48
              80          -85.76           7.839
              81          -28.57           6.665
              82            16.8           7.892
              83            22.2            6.49
              84          -62.75            7.52
              85          -17.92           6.593
              86           27.13           6.858
              87           56.64           6.579
              88          -51.14           8.602
              89          -6.224           6.858
              90           15.27           6.474
              91           64.56           7.242
              92          -33.33           6.635
              93           16.44           7.652
              94           27.55           6.309
              95             105           8.209
              96          -54.46           7.649
              97          -40.59           6.462
              98           2.244           8.642
              99           27.74           8.077
             100          -65.05           7.657
             101          -6.707           6.538
             102            46.6           7.656
             103           60.65           7.535
             104          -70.55           7.565
             105           12.35           9.314
             106           19.16           7.303
             107           80.12           7.991
             108          -48.36           6.849
             109          -1.675           7.888
             110           39.93           7.371
             111           113.3           8.786
             112          -63.52            7.61
             113          -18.12           6.642
             114          -10.04           7.545
             115           21.42           6.467
             116          -57.13           7.195
             117          -21.83           6.409
             118              16           6.538
             119           53.01           6.666
             120          -58.96           7.038
             121          -26.65           6.732
             122           17.74           6.416
             123           39.16           7.436
             124           -37.2           6.458
             125          -13.74           8.584
             126           36.19           6.328
             127           148.5           8.962
APV               58              11               0               1
               0           49.35           31.81
               1          -1.472           30.58
               2           1.659           25.31
               3          -18.25           25.36
               4          -148.4           9.461
               5          -47.77           8.088
               6           1.911            12.8
               7           45.64            9.18
               8          -63.86           7.692
               9          -31.17           7.963
              10           25.68           8.962
              11           38.97           8.976
              12          -47.41           8.537
              13          -16.44            7.62
              14           23.85           8.562
              15           50.13           9.186
              16          -58.31           8.666
              17          -32.22           6.813
              18         -0.6697           14.33
              19           28.49           7.217
              20          -59.58           8.128
              21          -21.16           6.903
              22           20.76           8.804
              23           39.38           6.887
              24           -65.6            7.46
              25          -41.68           7.084
              26            29.7           7.593
              27           43.93           7.607
              28          -55.19           7.124
              29           -27.5            8.28
              30           41.53           7.285
              31           67.71           8.899
              32          -58.74           8.677
              33          -21.82           7.539
              34           7.177           9.064
              35           19.88           8.839
              36          -60.43           8.043
              37          -19.74             7.2
              38           36.15           9.419
              39           47.87           8.638
              40          -42.67           7.909
              41          -13.19           7.182
              42            45.1           9.946
              43           45.67           8.907
              44          -10.66           15.14
              45          -10.89           8.744
              46           41.42           8.092
              47           72.07           16.28
              48          -63.36            8.83
              49           -42.6           6.857
              50           5.348           11.84
              51           28.05           7.137
              52          -48.02           7.926
              53          -19.69           6.876
              54           9.393           8.213
              55           43.17           7.023
              56          -50.81           7.382
              57          -21.53           7.451
              58           23.28           7.464
              59           46.78           7.757
              60          -27.49           7.237
              61           -13.7           9.144
              62            21.2           6.929
              63           79.84           17.26
              64          -46.57           8.329
              65          -27.32           7.985
              66            17.8           11.81
              67           16.55           8.992
              68          -71.91           8.113
              69          -49.24           7.334
              70           35.26           10.56
              71           38.99           8.459
              72          -59.97           7.871
              73           -25.7           7.262
              74           43.23           9.106
              75           36.68           8.429
              76          -41.45           7.665
              77           -18.6           7.181
              78           18.71           8.224
              79           83.67           9.256
              80          -42.84           8.895
              81           -35.7           6.821
              82            8.15           9.881
              83           23.48           6.904
              84          -48.02           8.241
              85          -20.07            6.83
              86              16           7.783
              87           66.82           7.051
              88          -50.98           7.233
              89          -24.81           7.538
              90           37.36           7.209
              91           51.45           7.692
              92          -40.86           6.913
              93          -23.47           9.365
              94           20.21           6.882
              95           77.87           8.811
              96          -47.79           8.186
              97          -26.94           7.131
              98            23.9           11.14
              99           47.97           9.469
             100          -64.47           7.906
             101          -3.576           7.056
             102           17.68           9.258
             103           42.85            8.24
             104          -49.48           8.048
             105          -9.006           8.908
             106            28.6           8.757
             107           59.96           8.755
             108          -36.59           7.407
             109          -8.242           8.064
             110           43.46           9.131
             111           78.02           9.708
             112          -43.67           8.607
             113          -36.23           6.728
             114           29.01           9.136
             115           43.52            6.92
             116          -48.79           7.733
             117          -28.09           6.737
             118           25.21           7.533
             119           46.24           7.041
             120          -44.29           7.088
             121           -25.6           7.421
             122           46.63            6.96
             123           64.65           7.977
             124          -58.34           6.743
             125          -8.487           11.24
             126           41.13           6.898
             127           117.9           10.55
APV               58              11               0               2
               0           49.74           28.26
               1         -0.7922           24.38
               2           11.31           22.01
               3          -18.62           21.49
               4          -142.4           8.628
               5          -51.58           8.076
               6          -3.311           10.52
               7           29.28           8.076
               8          -71.73            7.02
               9          -20.07           7.598
              10           17.75           7.677
              11           43.07           7.765
              12          -56.74           8.566
              13          -7.061           7.025
              14           -6.45           7.323
              15           34.07           7.773
              16          -42.93           7.712
              17          -23.61           6.569
              18          -16.52           11.64
              19           20.79           6.613
              20          -61.45           7.375
              21          -17.98           6.614
              22           19.21           7.673
              23           38.42           6.509
              24          -53.96           6.998
              25          -5.366           6.777
              26        -0.03873           6.812
              27            29.1           6.967
              28          -33.97           6.903
              29           6.254           7.555
              30           19.21            6.55
              31           76.85           7.463
              32          -10.34           7.798
              33          -26.68           7.379
              34           10.46           9.411
              35           17.31           7.355
              36          -53.49           7.304
              37           -33.5           6.811
              38           30.23           8.004
              39           53.53            7.89
              40          -57.36           7.263
              41          -18.06           6.698
              42           11.56           8.303
              43           48.02           7.839
              44          -53.77           7.778
              45           5.572           7.602
              46           10.62           6.983
              47           66.69           8.387
              48          -47.32            7.81
              49           1.858           6.608
              50          -6.298           9.597
              51           20.05           6.453
              52          -30.24           7.185
              53          -8.147           6.546
              54           10.89           7.433
              55            45.9           6.535
              56          -37.33           6.739
              57          -11.76           6.899
              58           4.467           6.734
              59           59.24           7.016
              60          -46.98           6.372
              61          -28.83           8.287
              62           11.15            6.39
              63           47.44           7.967
              64          -56.72           7.355
              65          -26.43           7.895
              66           8.133           9.943
              67           39.01           7.839
              68          -53.28           7.212
              69          -29.09           7.457
              70           2.133           8.803
              71           54.73           7.528
              72          -44.45           7.272
              73          -1.012           7.064
              74           29.86           7.791
              75           64.66           7.678
              76          -61.17           7.225
              77           2.533           6.641
              78           35.03           7.042
              79           74.98           8.384
              80          -31.86           7.796
              81          -5.229           6.531
              82           30.54           8.557
              83           43.74           6.405
              84          -56.97           7.394
              85          0.9291           6.502
              86           25.22           7.081
              87            42.9           6.558
              88          -48.46           6.669
              89          -4.937           7.039
              90           9.149           6.411
              91           43.76           7.113
              92          -62.17            6.43
              93          -6.383           8.233
              94           35.66           6.348
              95           74.61           8.235
              96          -43.29           7.286
              97          -28.56           6.841
              98          -13.14           9.196
              99           22.88           8.304
             100          -69.74           7.235
             101          -6.379            6.71
             102           15.32           8.007
             103           53.24           7.532
             104          -37.23           7.644
             105          -2.127           7.992
             106           21.89           7.545
             107           57.09           7.988
             108          -55.49           7.153
             109          0.3511           7.017
             110           29.48           7.522
             111           85.02           8.836
             112          -36.99           7.577
             113          -21.95             6.4
             114           17.48           7.984
             115           39.04           6.471
             116          -27.85            7.08
             117          -10.81           6.503
             118           10.12           6.764
             119           51.73           6.643
             120          -44.66           6.706
             121           1.362            6.93
             122           11.73           6.378
             123           53.49           7.527
             124          -49.39           6.262
             125          -14.65           9.726
             126           14.87           6.194
             127             103           9.086
APV               58              11               0               3
               0           44.33           28.08
               1           -19.3           23.55
               2          -14.24           20.54
               3           24.43           20.75
               4          -156.9            8.52
               5          -75.95           7.896
               6          -12.63           9.677
               7           37.64           7.987
               8          -74.98           6.959
               9          -32.98           7.505
              10            28.7           7.422
              11           54.54           7.975
              12          -73.49           7.614
              13          -10.89           7.174
              14           27.96           7.155
              15           59.53            7.96
              16          -54.42            7.44
              17          -49.11           6.453
              18           15.37              12
              19           43.25           6.662
              20          -75.78           7.276
              21          -49.41           6.618
              22           -1.66           7.863
              23           52.15           6.493
              24          -39.45           6.932
              25          -15.73           6.818
              26           9.728           6.905
              27           67.88           7.008
              28          -38.41           6.465
              29         -0.8707           7.621
              30           42.57           6.659
              31           70.64           7.422
              32          -71.79           7.369
              33          -41.15           7.134
              34           4.518           7.243
              35           44.61           7.663
              36          -70.38           7.112
              37          -46.97           6.754
              38           34.61           7.614
              39           58.17             7.8
              40          -59.32           7.047
              41          -20.73           6.645
              42           26.57           8.143
              43           54.87           7.972
              44          -53.33           7.567
              45          -6.486           7.836
              46            37.5            6.99
              47              62            8.35
              48          -54.24             7.6
              49          -34.85           6.525
              50          -8.403           10.02
              51            45.7           6.454
              52          -63.27           6.883
              53          -30.32           6.556
              54           22.85           7.493
              55           56.74           6.449
              56          -51.72           6.682
              57          -28.58           6.957
              58           25.25           6.794
              59           72.38           7.042
              60           -32.8            6.42
              61          -9.188           8.198
              62           25.45           6.467
              63           78.37           7.983
              64          -57.75           7.242
              65          -51.88           7.499
              66          -4.765           8.991
              67           64.43           7.776
              68          -59.18           7.043
              69          -28.18           7.656
              70           20.44           8.185
              71           71.79           7.571
              72          -63.55           7.035
              73          -21.77           7.049
              74            19.7           7.435
              75           67.75           7.765
              76           -53.5           6.915
              77            2.79           6.825
              78           53.39           7.033
              79           83.58           8.396
              80          -73.29           7.549
              81          -47.52            6.33
              82           6.063           8.527
              83           53.76           6.289
              84           -70.8           7.173
              85          -41.74           6.386
              86           9.464           6.993
              87           70.94           6.421
              88          -53.74           6.574
              89          -30.58           6.918
              90           19.08           6.607
              91            58.3           7.008
              92          -44.65           6.223
              93           8.465           8.319
              94           43.06           6.373
              95           84.01           8.006
              96          -75.18           7.118
              97          -37.94           6.657
              98           15.35           8.553
              99           48.27           8.136
             100          -81.58           6.955
             101          -27.57           6.656
             102           33.66           7.664
             103            69.2           7.483
             104           -66.8           7.213
             105          -2.779           8.688
             106            27.1           7.212
             107           61.73            7.92
             108          -67.64            6.66
             109           12.35           7.521
             110           54.73           7.601
             111           111.5           8.789
             112          -62.78           7.372
             113          -43.68           6.958
             114           12.33           7.873
             115           52.34           6.284
             116          -59.59           6.827
             117          -45.76           6.284
             118           25.86             6.7
             119           72.03           6.473
             120          -56.18           6.375
             121          -3.721           6.909
             122           52.59           6.456
             123           76.09           7.335
             124          -37.37            6.15
             125         -0.8689           9.826
             126           47.82           6.362
             127           114.2           8.883
APV               58              11               0               4
               0           59.84            29.8
               1          -31.56           25.66
               2          -30.12           23.19
               3           13.61           22.62
               4          -137.2           9.503
               5          -59.76           8.464
               6          -16.33           11.03
               7           23.67           8.435
               8          -61.67           7.884
               9          -27.64           8.124
              10           2.664           8.352
              11           57.37           8.418
              12          -47.44            8.78
              13           -27.1           7.825
              14           11.08           8.045
              15           63.24           8.453
              16          -29.54           8.612
              17          -27.98           7.224
              18          -29.13           13.14
              19            38.8           7.577
              20          -64.91           8.168
              21           -10.9           7.264
              22          -26.73           8.562
              23           50.09           7.216
              24           -51.5            7.84
              25          -27.56           7.463
              26           17.32           7.714
              27           64.21           7.635
              28          -41.51           7.305
              29          -29.85           8.289
              30           10.64           7.563
              31           84.33           8.054
              32          -37.53           8.536
              33          -33.75           8.099
              34          -12.53            8.36
              35           34.93           8.187
              36          -56.96           7.937
              37          -43.79           7.465
              38           21.59           8.707
              39           64.17           8.217
              40          -31.04           8.146
              41          -14.36           7.367
              42           17.11           8.877
              43           63.69           8.541
              44          -36.48           8.765
              45          -5.622           8.752
              46           12.91           7.822
              47           90.45           8.985
              48          -40.41           8.727
              49          -40.87           7.086
              50          -14.69           11.02
              51            12.2           7.194
              52           -46.8           8.006
              53          -51.73           7.076
              54          -14.19           8.329
              55           58.61           7.161
              56          -34.91            7.65
              57          -9.951            7.69
              58           25.98           7.827
              59           68.96           7.741
              60          -42.07           7.091
              61          -32.85           9.071
              62           29.26           7.356
              63            84.2           8.524
              64          -39.57           8.215
              65          -54.73           8.307
              66           9.792           10.77
              67           37.11           8.814
              68          -47.38           8.035
              69           -15.5           7.828
              70          -2.053           9.531
              71            32.9           8.069
              72          -19.84           8.151
              73          -28.94           7.511
              74           14.71           8.514
              75           69.95           8.483
              76          -38.34           8.102
              77          -15.47           7.518
              78           11.39           7.761
              79           102.8           9.082
              80          -54.08            8.71
              81          -47.56           6.975
              82           1.637           9.347
              83           34.78           7.209
              84          -58.51           8.178
              85          -33.96           7.004
              86           1.474           7.846
              87           48.48           7.237
              88           -58.7           7.392
              89          -21.41           7.685
              90           33.95           7.292
              91            72.7           7.758
              92          -29.25           6.997
              93          -35.65            9.15
              94           42.83           7.141
              95             103           8.742
              96          -38.06           8.181
              97          -45.11           7.372
              98           14.95           10.19
              99           48.52           9.003
             100          -41.64           7.926
             101          -38.94           7.335
             102           2.937           8.721
             103           78.66           8.111
             104           -35.6           8.395
             105          -17.47            9.13
             106           19.15           8.278
             107           71.78           8.641
             108           -48.5           7.842
             109          -18.85           8.141
             110           36.99           8.442
             111           118.2           9.535
             112          -46.37           8.469
             113          -31.98           7.012
             114          -1.469           8.785
             115              56           7.271
             116           -40.2            7.79
             117          -24.38           6.935
             118           13.76           7.547
             119           69.48           7.154
             120          -30.27           7.382
             121          -17.92           7.714
             122           34.66           7.211
             123           62.28           7.999
             124          -44.05           6.962
             125          -22.86           11.17
             126           35.17           7.595
             127           162.9           9.651
APV               58              11               0               5
               0            36.8           31.14
               1          -24.51           27.01
               2           6.164           24.78
               3           17.38           24.26
               4          -188.6           9.557
               5          -45.24           8.533
               6           5.709           11.56
               7           23.23            8.87
               8          -113.2           7.665
               9          -31.62           8.096
              10           62.16           8.772
              11           70.72           8.615
              12          -82.74           8.702
              13          0.9085           7.962
              14           54.81           8.579
              15           50.25           8.729
              16          -76.02           8.448
              17          -57.74           7.177
              18           17.48           14.33
              19           33.79           7.594
              20          -91.74           8.127
              21          -41.54            7.24
              22          0.7381           8.627
              23           63.16           7.401
              24          -103.8           7.545
              25          -17.34           7.432
              26           35.24           7.722
              27           53.59           7.722
              28          -88.14           7.083
              29          -2.828           8.214
              30           48.24           7.614
              31           67.93           8.187
              32          -59.93            8.53
              33          -53.21           8.038
              34           19.87           8.848
              35           59.19           8.575
              36          -108.7           7.919
              37          -24.43           7.476
              38           29.64           9.049
              39           84.79            8.62
              40            -104            8.11
              41          -5.955           7.423
              42           60.37           9.414
              43           66.82           8.688
              44          -98.07           8.573
              45           25.34           8.668
              46           62.67           8.037
              47           69.45           9.029
              48          -84.57           8.373
              49          -61.27           7.083
              50           11.53           11.02
              51           73.33           7.405
              52          -94.13           7.782
              53          -34.87           7.202
              54            21.6           8.404
              55           72.65           7.231
              56          -79.74           7.411
              57          -6.794           7.648
              58           46.89           7.951
              59           63.54           7.702
              60          -73.46           6.937
              61           26.82           9.076
              62            49.8           7.302
              63           90.39           8.748
              64          -90.71           8.027
              65          -45.87           8.442
              66           28.01           11.26
              67           62.86           8.926
              68          -106.7           7.896
              69           -27.8            7.79
              70           44.84           10.03
              71           59.31           8.569
              72          -88.33           7.958
              73         -0.2079           7.738
              74           71.06           9.003
              75           86.73           8.728
              76          -58.25           8.048
              77            13.3           7.588
              78           65.32           8.282
              79           69.93           9.725
              80          -86.72           8.377
              81          -30.49           7.103
              82           21.71            9.43
              83           36.37           7.237
              84          -85.93           8.193
              85           -25.8           7.101
              86           9.847           7.735
              87           61.07           7.277
              88          -81.59           7.299
              89          -17.28           7.829
              90           50.46           7.296
              91           65.16           7.914
              92          -77.41           6.998
              93           14.35           9.355
              94           59.83           7.084
              95           99.53           9.478
              96          -101.1           7.927
              97          -49.75           7.353
              98           29.03           10.57
              99           62.01           9.184
             100          -100.7           7.834
             101           -21.1           7.242
             102           54.14            9.11
             103           60.48           8.498
             104          -80.66            8.39
             105           2.036           9.233
             106            60.1           8.662
             107           77.31           8.972
             108          -77.98           7.679
             109            16.7           8.112
             110           60.04           8.764
             111           100.8            9.59
             112          -92.92           8.155
             113          -35.42           6.934
             114           22.17           8.824
             115           52.64           7.225
             116          -114.3           7.606
             117          -37.53           7.021
             118           29.76           7.478
             119           64.26           7.193
             120          -87.55           7.294
             121          -8.269           7.643
             122           61.49            7.18
             123           59.61           8.227
             124          -54.29           6.929
             125           9.665            10.8
             126           77.86           7.617
             127           136.4           9.771
APV               58              11               0               6
               0           88.31           32.55
               1           8.384           27.43
               2          -4.512           24.64
               3          -12.39           23.93
               4          -143.9           9.817
               5          -38.24           8.868
               6          -17.05           10.47
               7           19.77            8.73
               8          -35.32           7.991
               9           6.885           8.218
              10          -2.401           8.349
              11           50.26           8.583
              12           -33.6             8.9
              13           -13.7           7.808
              14            1.23           8.098
              15           49.53           9.077
              16          -42.35           8.564
              17          -17.92           7.364
              18          -7.976            12.3
              19           18.21           7.542
              20          -45.51           8.332
              21          -23.35           7.389
              22           -3.95           8.282
              23            24.7           7.274
              24          -51.56           7.915
              25          -13.42            7.49
              26          -1.403           7.511
              27           29.94           7.678
              28          -31.71           7.475
              29          -11.77           7.939
              30           29.14           7.431
              31           65.59            13.3
              32          -42.02           8.456
              33          -19.22           8.441
              34           6.682           8.012
              35           19.63           8.218
              36          -17.24           8.203
              37          -30.11            7.46
              38           4.905           8.434
              39            46.9           8.637
              40          -44.38           8.326
              41           -20.3           7.554
              42           10.34           8.718
              43           52.66           8.652
              44          -24.78           8.749
              45           4.886            8.36
              46           17.01           7.845
              47           65.72            9.61
              48          -22.44           8.904
              49          -6.338           7.323
              50          -24.22           10.22
              51           29.19           7.258
              52          -23.63           8.208
              53          -16.16           7.274
              54          -3.714           7.973
              55           38.58           7.232
              56          -39.74           7.731
              57          -22.02           7.583
              58           24.77           7.641
              59           43.37           7.891
              60          -21.28            7.29
              61          -13.74           8.676
              62            7.33           7.166
              63           68.86           8.964
              64          -43.76           8.395
              65          -9.143           8.706
              66           7.838           10.01
              67           31.61           8.554
              68          -27.64           8.114
              69          -9.842           8.016
              70         -0.1973           9.162
              71           40.09           8.444
              72          -54.96           8.139
              73          -33.62           7.615
              74           7.964           8.399
              75           51.23           8.566
              76          -34.78           8.188
              77           4.654           7.531
              78           12.96           7.777
              79           80.07           9.571
              80          -27.28           8.767
              81          -43.45           7.271
              82          -23.18           8.694
              83           7.829            7.23
              84          -24.82           8.309
              85           -13.2           7.289
              86           2.359           7.373
              87           60.54           7.358
              88          -41.36           7.756
              89          -21.34           7.628
              90           17.26           7.036
              91           40.43           7.732
              92          -44.63           7.167
              93          -16.18           8.739
              94           11.68           7.015
              95           68.49            9.08
              96          -22.01           8.275
              97          -18.31           7.722
              98           2.701           9.388
              99           24.41           9.062
             100          -23.65           8.096
             101          -11.63           7.391
             102           20.48           8.567
             103           29.53           8.417
             104          -47.24           8.438
             105          -4.762           9.151
             106          -8.884           8.592
             107           52.47           8.783
             108          -40.56           7.991
             109          0.6687           7.654
             110           32.98           8.306
             111           97.54           9.936
             112          -29.73           8.476
             113          -14.59           7.268
             114          -4.919           8.213
             115           16.74           7.154
             116          -59.72           7.883
             117          -23.92           7.094
             118           4.663           7.238
             119           55.04           7.386
             120          -31.93           7.518
             121          -19.16           7.475
             122         -0.2823           7.064
             123           59.12           8.207
             124          -28.97           7.075
             125          -23.12           10.11
             126           35.51           7.534
             127           116.9           10.08
APV               58              11               0               7
               0           86.62           33.69
               1          -13.88           29.17
               2          -19.27           26.27
               3           9.692           24.93
               4          -172.9            13.2
               5          -42.87           8.206
               6          -21.11           10.21
               7           32.98            9.62
               8          -57.02           8.483
               9          -41.33           8.992
              10           8.117           7.919
              11           56.62           9.178
              12          -46.77           8.611
