#Thu Nov  7 16:24:52 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               24              11               0               0
               0           6.506           31.18
               1          -7.744           26.78
               2           11.79           23.78
               3           12.88           23.78
               4          -181.6           9.914
               5          -61.33           8.384
               6          -15.87           11.17
               7           39.25           9.023
               8          -96.78           8.171
               9          -11.41           7.808
              10           21.05            8.53
              11           69.05           8.869
              12           -63.8           9.004
              13           24.52           8.287
              14           37.29           8.158
              15            48.2           8.971
              16          -98.52           8.671
              17          -23.19           7.638
              18           9.864           12.73
              19           35.26           7.659
              20          -103.5           8.531
              21          -32.18           7.541
              22           13.11           8.414
              23           62.16           7.595
              24          -92.25           7.998
              25           -25.8           7.828
              26           33.66           7.621
              27           61.56           8.066
              28          -76.35           7.475
              29          -1.449           9.273
              30           38.61           7.584
              31           70.31           8.464
              32          -93.79           8.659
              33          -25.57           8.536
              34           21.07           8.657
              35           67.82            8.43
              36           -80.3           15.23
              37          -15.63           7.803
              38           18.74           8.772
              39            49.8           8.681
              40          -66.75           8.588
              41           3.482           7.906
              42           39.88           9.096
              43           94.28           9.059
              44          -59.28           9.084
              45           2.205           8.987
              46            34.5           7.893
              47           72.45           9.339
              48          -91.23           8.824
              49          -26.55           7.473
              50         -0.2122            10.3
              51           58.82           7.445
              52          -88.79           13.65
              53          -27.84           7.704
              54           7.425           8.065
              55           55.09           7.424
              56          -79.09           7.848
              57          -23.05            8.21
              58           47.92           7.867
              59           50.41           8.082
              60          -54.61           7.337
              61          -17.96           10.12
              62           46.35           7.352
              63           85.85           9.047
              64          -92.18            8.53
              65          -29.69           7.955
              66           19.32           10.64
              67           73.69           8.791
              68          -81.94           8.124
              69          -31.44           7.212
              70           24.89            9.53
              71           54.46           8.627
              72          -70.19           8.311
              73          -8.626           7.072
              74           36.16            8.56
              75           68.08           8.824
              76          -61.33           8.454
              77           10.54           7.394
              78           39.29           7.866
              79           87.66           9.594
              80          -83.66            8.79
              81          -32.54           7.415
              82           5.147           9.094
              83           61.54           7.422
              84           -86.3           8.582
              85           -42.9           7.235
              86           22.95           7.663
              87           70.31           7.529
              88          -81.83           7.657
              89          -5.928            7.68
              90           40.42           7.369
              91           76.95           8.194
              92          -29.63           7.334
              93          0.3745           8.799
              94            58.7           7.178
              95           115.1             9.4
              96          -103.7           8.383
