#Fri Nov  8 19:02:09 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               24              11               0               0
               0           7.061           31.24
               1           -8.07            26.7
               2           11.66           23.66
               3           13.05           23.92
               4            -181           10.01
               5          -61.67           8.331
               6          -15.97           11.09
               7           39.41           9.003
               8          -96.27           8.112
               9          -11.64           7.815
              10           21.19           8.474
              11           69.07           8.943
              12          -63.88           8.979
              13           24.27           8.177
              14           37.53           8.121
              15            48.2            9.12
              16          -98.31           8.554
              17          -23.62           7.618
              18           9.821           12.53
              19           35.28           7.627
              20          -103.6           8.595
              21          -31.83           7.579
              22            13.4           8.254
              23            62.2           7.512
              24          -92.56           8.014
              25          -25.77           7.802
              26           33.79           7.614
              27           61.43           8.069
              28          -76.61           7.412
              29           -2.09           9.191
              30           38.56            7.63
              31           70.47           8.531
              32          -94.18           8.646
              33          -25.94           8.519
              34           21.17           8.558
              35           68.11           8.378
              36          -80.83           15.42
              37          -15.85           7.748
              38           18.74           8.706
              39           49.71           8.759
              40          -67.05           8.542
              41           3.324           7.845
              42           39.81           9.009
              43           94.21           9.069
              44          -59.38           9.036
              45           2.458           8.879
              46           34.62           7.771
              47           72.99           9.407
              48          -91.33            8.76
              49          -26.65           7.482
              50         -0.2555           10.15
              51           58.56           7.387
              52             -89           13.47
              53          -27.61           7.524
              54           7.733           8.134
              55           55.08           7.484
              56          -79.11           7.815
              57          -23.21           8.165
              58           47.54           7.845
              59           51.08           8.263
              60          -54.38           7.513
              61          -18.53            10.1
              62           46.34            7.38
              63           85.89           8.931
              64          -92.18            8.53
              65          -30.28           7.874
              66            19.2           10.47
              67           73.36           8.816
              68          -81.47           8.046
              69          -31.46           7.377
              70           24.88           9.573
              71           54.51           8.595
              72          -70.46           8.295
              73          -8.611           7.422
              74           36.08           8.564
              75           68.46           8.915
              76          -61.31           8.397
              77           10.68           7.362
              78           39.37           7.831
              79            88.1           9.574
              80          -83.55           8.888
              81           -32.4           7.351
              82           5.488           8.997
              83           61.41           7.461
              84          -86.41           8.426
              85          -43.26           7.605
              86           23.06           7.616
              87           70.05           7.488
              88          -81.74           7.678
              89          -6.133           8.019
              90           40.71           7.296
              91           76.78           8.165
              92          -29.94           7.376
              93          0.3417           8.931
              94            58.9           7.198
              95             115           9.393
              96          -103.7            8.33
              97          -16.42           7.751
              98           19.58           9.876
              99           57.04           9.278
             100          -73.24           8.258
             101          -24.33           7.557
             102            40.4           8.803
             103           66.98           8.632
             104          -69.79           8.604
             105           5.198           8.039
             106           39.36            8.26
             107           73.34           8.965
             108          -53.79           8.201
             109           6.655           7.866
             110           46.83           8.306
             111           118.2           10.11
             112          -110.1           8.581
             113          -43.38           7.237
             114           10.81           8.577
             115           46.75           7.463
             116          -85.14           8.132
             117          -11.57           7.384
             118           24.06           7.425
             119           75.11           7.675
             120          -75.96           7.625
             121          -16.49           7.552
             122           38.31           7.324
             123            76.3           8.416
             124          -66.51           7.216
             125          -11.87           9.951
             126           71.46           7.689
             127           111.2           10.26
APV               24              11               0               1
               0           33.38           32.08
               1          -8.292           27.95
               2          -9.722           25.56
               3          -35.42           25.51
               4          -174.2           10.35
               5          -51.46           8.542
               6          0.5471           13.46
               7           28.78           9.732
               8          -77.97            8.64
               9           5.945           8.725
              10            6.63           9.782
              11            43.6           9.591
              12          -33.69           9.687
              13           22.45           8.735
              14         -0.9444           9.372
              15           67.56           9.788
              16          -68.75           9.421
              17          -21.64            7.88
              18           24.23           15.22
              19           47.36           8.072
              20          -85.38           8.934
              21          -2.004           7.977
              22            31.5           9.434
              23           51.18           7.735
              24          -56.19           8.497
              25            5.51           8.098
              26           21.93           8.235
              27           56.68            8.32
              28          -45.32           7.851
              29           17.36           9.319
              30           3.165           7.958
              31           61.31           9.161
              32          -92.07           9.668
              33           -36.4           8.445
              34           11.85           9.746
              35           22.93            9.61
              36          -84.43           8.899
              37          -4.244           8.216
              38           9.211           10.05
              39           46.19           9.496
              40          -60.76            8.87
              41           31.18           8.163
              42         -0.8143           10.61
              43           56.52           9.745
              44          -49.46           9.142
              45           30.14           10.16
              46          -4.445            8.92
              47              78           11.03
              48          -83.12           9.581
              49          -42.99           7.701
              50           17.89           12.41
              51           12.63           7.735
              52          -85.61           8.714
              53           9.435           8.046
              54           7.011           8.966
              55           70.58           7.666
              56           -77.2           8.047
              57            15.3           8.422
              58           25.08           8.298
              59           49.01           8.279
              60          -44.07           7.795
              61           3.274           10.26
              62              15           7.615
              63           103.9           18.48
              64          -78.03            9.23
              65          -4.825           8.045
              66           24.08           12.75
              67           20.12           9.837
              68           -81.2           8.757
              69           2.409           7.808
              70           21.62           11.41
              71              55           9.457
              72          -77.37           8.732
              73           33.81           7.858
              74           19.49           9.918
              75           68.44           9.692
              76          -37.28           8.753
              77           29.92           8.924
              78          -7.268           8.745
              79           82.69           10.64
              80          -100.5           9.198
              81          -20.43           7.658
              82           17.79           10.59
              83           41.91           7.631
              84          -106.1           8.847
              85            2.47           7.739
              86           21.95           8.329
              87           76.75           7.822
              88          -72.41           7.987
              89           17.39           8.447
              90          -11.45           7.616
              91           57.99           8.655
              92          -39.42           7.861
              93           7.259           10.37
              94         -0.3623            7.39
              95           88.75           10.68
              96          -82.97           8.987
              97          -32.06           7.882
              98           29.59           12.26
              99           40.48           10.29
             100          -91.39            8.79
             101           -3.65           8.253
             102           12.51           10.34
             103           60.47           9.431
             104          -58.82           8.996
             105           28.18           10.04
             106           15.74           9.793
             107           67.13           10.04
             108          -31.64            8.07
             109           27.81           10.12
             110           11.09           9.725
             111           102.7            17.7
             112          -75.89           9.241
             113          0.5689           7.858
             114            22.8           9.861
             115           33.77           7.519
             116          -82.23           8.473
             117           12.23           7.559
             118           20.38           7.939
             119            54.4           8.064
             120          -67.12           8.243
             121           11.75           8.405
             122             6.3            7.48
             123           49.04            9.03
             124          -32.03           7.611
             125          -20.14           12.41
             126            18.2           7.999
             127           91.66           12.53
APV               24              11               0               2
               0          -4.869           28.93
               1          -11.26            24.9
               2          -8.639           22.73
               3            16.5           22.17
               4          -169.4           9.553
               5          -56.03            8.02
               6           6.554           12.31
               7           33.51           8.911
               8          -67.62           7.872
               9          0.4842           7.731
              10           19.67           8.768
              11           46.16           8.469
              12          -65.59            9.72
              13          0.7145           7.874
              14           48.17           8.631
              15           51.86           8.676
              16          -95.26           8.901
              17          -33.24            7.37
              18           10.24           14.28
              19           53.72           7.378
              20          -93.62           8.664
              21           -43.9           7.281
              22           8.603             8.8
              23           65.01           7.071
              24          -54.13           7.885
              25          -2.703           7.471
              26           45.75           7.702
              27           62.43           7.416
              28          -49.82            7.65
              29           6.395           8.548
              30           37.81           7.284
              31           53.19           7.985
              32          -96.36           8.851
              33          -37.15           8.189
              34           10.37           12.34
              35           43.85           8.371
              36          -87.73           8.274
              37          -31.96           7.673
              38           19.77           9.387
              39           66.29           8.918
              40          -58.92           8.186
              41           14.05           7.374
              42           30.21           9.513
              43           43.95           8.593
              44          -64.76           8.738
              45           9.803           8.224
              46           32.82           8.013
              47           57.32           9.152
              48          -91.22           9.171
              49          -37.83            7.16
              50           2.023           11.33
              51           37.44             7.1
              52          -92.81           8.163
              53          -19.41           7.323
              54            14.6           8.403
              55           68.43            6.98
              56          -52.44           7.663
              57          -2.866           7.759
              58           42.06           7.683
              59           39.56           7.429
              60           -40.7           7.073
              61           -15.7           9.482
              62           37.07           7.014
              63           58.54           8.645
              64          -88.82           8.422
              65             -15           7.444
              66           10.88            11.8
              67           50.03           9.235
              68           -78.4           8.019
              69          -4.258           7.149
              70           40.27           10.54
              71           57.47           8.282
              72           -72.1           7.929
              73           10.16           7.105
              74           35.75           8.911
              75           57.21            8.91
              76          -41.47           7.973
              77           5.854           7.602
              78           55.27           8.162
              79            62.6           9.206
              80          -109.9           9.546
              81          -22.85           7.014
              82          -1.122           9.995
              83           30.88           7.058
              84          -65.98            8.22
              85          -4.257            7.02
              86           33.69           7.932
              87           45.04           6.931
              88          -53.18           7.406
              89          0.9135           7.751
              90           34.53           7.159
              91           50.88           7.805
              92          -43.38           7.117
              93          -19.57           9.384
              94           28.78           6.914
              95           56.62           8.899
              96          -113.9           8.798
              97          -1.955            7.61
              98           15.77              11
              99           51.63           9.469
             100          -66.76           7.927
             101          -7.191           7.325
             102           27.27           9.297
             103           61.56           8.207
             104          -51.64           8.323
             105          -12.34           7.967
             106           37.22           8.528
             107           38.71            8.73
             108          -30.72            7.87
             109          -7.094            7.91
             110           62.03           8.921
             111           81.88           9.729
             112          -89.66           8.776
             113          -19.31           6.983
             114           19.58           9.137
             115           62.78           7.052
             116          -59.77           7.853
             117          -12.65           6.873
             118           18.16           7.636
             119           60.52           7.056
             120          -46.45           7.188
             121           13.82           7.613
             122           29.16           7.029
             123           53.68           8.064
             124          -27.84           6.834
             125           6.843           11.86
             126            57.3           7.446
             127           92.97           9.799
APV               24              11               0               3
               0           109.4           29.24
               1           22.31           24.27
               2           15.96           21.86
               3          -7.177           21.79
               4          -127.6           9.803
               5           -43.8           8.472
               6          -14.22           12.26
               7          -3.215           9.031
               8          -50.89           8.103
               9          -2.006            8.09
              10           4.367           9.156
              11           1.732           8.866
              12          -45.98           9.009
              13          -22.13           8.121
              14           21.62           8.787
              15            33.2           8.955
              16          -23.45           8.878
              17          -7.317           7.319
              18           7.576              15
              19           11.29           7.537
