#Fri Mar 21 12:17:10 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           65.06           30.19
               1          -15.82           25.48
               2            17.6           22.55
               3          -21.83           23.01
               4          -157.6           9.282
               5          -70.14           8.115
               6          -2.151           10.28
               7           32.17           8.252
               8          -69.94           7.322
               9           -10.5           8.143
              10           24.22            7.78
              11            64.3            8.25
              12           -39.3           8.249
              13          -13.05           8.178
              14           47.63           7.601
              15           73.04           8.189
              16          -63.58           8.046
              17           -43.6           6.767
              18          0.1561           11.05
              19           15.77            6.78
              20           -77.9           7.707
              21          -23.45            6.88
              22           17.58           7.515
              23           43.02           6.707
              24          -67.68           7.201
              25          -7.337           7.222
              26            23.3           6.798
              27           45.78           7.227
              28          -61.44           6.791
              29          -17.26           8.508
              30           34.96           6.691
              31           72.81            7.67
              32          -60.95           8.088
              33          -35.84           7.179
              34           12.86           8.047
              35           40.08           7.888
              36           -71.9           7.598
              37           -29.9           7.045
              38           31.34           8.012
              39           65.79           8.065
              40          -42.49           7.868
              41          -9.134           7.357
              42           19.31           8.417
              43           50.39           8.154
              44          -70.15           7.537
              45           4.868           9.738
              46           34.49           7.265
              47           80.53           8.452
              48          -68.33           8.025
              49          -43.82           6.627
              50           5.893           9.367
              51           21.08           6.687
              52          -71.94           7.379
              53          -15.63            6.88
              54           8.773           7.287
              55           39.55           6.767
              56          -65.18           7.036
              57          -15.35           7.587
              58           17.08           6.838
              59           41.55           7.314
              60             -39           6.701
              61          -28.85           9.563
              62           41.84           6.565
              63           97.17           8.133
              64          -70.43           7.909
              65          -34.49           7.805
              66           21.02           9.776
              67           39.38           7.711
              68          -60.34           7.764
              69          -0.959           7.385
              70           22.48           8.624
              71           55.17           7.684
              72          -68.22           7.697
              73          -19.01           7.225
              74           41.63           7.849
              75           70.18           7.835
              76          -39.51           7.245
              77          -25.58           7.061
              78           42.91           7.109
              79           92.22           8.529
              80          -86.68           7.953
              81          -29.72           6.681
              82           16.06           8.165
              83           22.05           6.492
              84          -63.92           7.677
              85          -19.77           6.632
              86           26.55            7.02
              87           56.86           6.594
              88          -52.53           8.591
              89          -7.561           7.011
              90              15           6.517
              91           65.18           7.232
              92          -34.13           6.663
              93           15.05            8.01
              94              28           6.374
              95             106             8.4
              96          -55.38           7.731
              97          -42.54           6.573
              98           1.588           9.079
              99           27.56            8.32
             100          -66.24           7.717
             101          -8.659           6.665
             102           46.26            7.94
             103           60.52           7.671
             104          -72.03           7.749
             105           11.93           9.382
             106           19.35           7.515
             107           81.07           8.053
             108          -49.72           6.983
             109          -2.965           8.115
             110            40.2           7.542
             111           114.2           8.911
             112          -64.73           7.879
             113          -19.66           6.632
             114          -10.99           7.715
             115           21.55           6.495
             116          -58.22           7.398
             117          -24.16           6.415
             118           15.34           6.742
             119           52.89           6.765
             120          -58.96           7.064
