#Tue Mar 25 15:43:59 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           65.87           30.26
               1          -17.48           25.28
               2           18.36           22.47
               3          -21.22           22.86
               4            -159           9.193
               5          -71.32           7.396
               6          -1.286           9.866
               7           33.04           8.159
               8          -71.11           7.411
               9          -12.23           7.403
              10           24.65            7.67
              11           64.98           8.071
              12          -39.98           8.278
              13           -14.2           7.695
              14           48.54           7.521
              15           74.02            8.15
              16          -63.75           7.999
              17          -44.12           6.673
              18          0.7553           10.59
              19           16.54           6.811
              20          -78.23           7.555
              21          -24.89           6.852
              22           18.35           7.322
              23           43.68           6.717
              24          -68.62           7.171
              25          -8.874           7.043
              26           23.92           6.736
              27           46.75            7.24
              28           -61.9           6.655
              29          -17.51            8.16
              30           35.97           6.657
              31           73.89           7.704
              32          -61.41           8.062
              33          -36.65           7.094
              34           13.87           7.873
              35           40.33           7.746
              36          -73.01           7.625
              37          -31.61            6.85
              38           32.29           7.862
              39           66.37           7.961
              40          -43.74           7.866
              41          -10.58           7.144
              42           20.48           8.176
              43           51.19           8.012
              44          -70.47           7.406
              45           5.078           9.304
              46           35.32           7.219
              47            81.5           8.474
              48          -68.45           7.899
              49          -44.19           6.632
              50           6.226           9.036
              51           21.97           6.655
              52          -73.06           7.343
              53          -16.85           6.844
              54           9.379           7.118
              55           40.06           6.775
              56          -65.66           7.003
              57          -16.08           7.407
              58           17.96           6.728
              59            42.4           7.242
              60           -39.4           6.722
              61          -28.77           9.019
              62           42.49           6.582
              63           98.23           8.156
              64          -70.93           7.872
              65          -35.03           6.779
              66           20.98           9.356
              67           39.81            7.61
              68          -61.23           7.786
              69          -1.377           6.447
              70            22.5           8.344
              71           55.83           7.548
              72          -68.64           7.615
              73          -19.59           6.507
              74           41.53           7.639
              75           71.12           7.941
              76          -40.32           7.199
              77          -25.74            7.06
              78           43.05           7.025
              79           93.07           8.481
              80          -87.07           7.943
              81          -30.19           6.732
              82           15.98           7.941
              83           22.55           6.489
              84          -64.34            7.69
              85          -19.94           6.578
              86           26.29            6.93
              87           57.35           6.639
              88           -52.2           8.506
              89           -7.62           7.046
              90           15.14           6.537
              91            65.9           7.309
              92          -34.27            6.63
              93           14.74           7.761
              94           27.98           6.323
              95           107.4           8.293
              96          -55.52           7.736
              97          -42.68           6.531
              98           1.444           8.837
              99           27.79           8.166
             100          -66.98           7.717
             101          -8.933           6.623
             102           46.46           7.822
             103            60.9             7.6
             104          -72.18            7.66
             105           11.72           8.077
             106           19.49           7.358
             107           81.62           8.047
             108          -50.34           6.964
             109          -3.337           7.998
             110           40.58           7.434
             111             115           8.913
             112           -65.1           7.726
             113          -19.94           6.628
             114          -11.23           7.561
             115           21.85           6.492
             116           -58.8           7.352
             117          -24.02            6.49
             118           15.27           6.617
             119           53.56           6.753
             120          -60.05           7.044
             121          -28.87           6.852
             122           17.92           6.436
             123           40.12           7.414
             124          -38.82           6.506
             125          -15.71           8.751
             126              37           6.402
             127             151           9.009
APV               58              11               0               1
               0           50.86           32.14
               1         0.09627           31.03
               2           0.863           25.39
               3          -21.81           25.59
               4          -147.8           9.469
               5          -44.17           7.705
               6           1.226           13.13
               7           43.37           9.265
               8           -63.2           7.699
               9          -29.16           7.608
              10            23.9           9.134
              11            36.1           9.061
              12          -45.96           8.621
              13          -15.18           7.576
              14           20.63           8.736
              15            46.3           9.222
              16          -56.47           8.721
              17          -30.05           6.916
              18          -1.973           14.72
              19           25.26           7.264
              20          -58.29           8.222
              21          -18.26           6.975
              22           20.27           8.907
              23           36.79           6.987
              24          -65.17           7.595
              25          -40.15            7.33
              26           27.43           7.702
              27           40.78            7.81
              28          -53.79           7.126
              29          -26.64           8.485
              30           37.64           7.287
              31           63.79           9.062
              32          -56.74           8.843
              33          -18.92           7.618
              34           6.032           9.401
              35           16.19           9.077
              36          -59.28            8.06
              37          -16.65           7.339
              38           35.55           9.698
              39           45.44           8.757
              40          -41.25            8.09
              41          -10.79           7.234
              42           42.53           10.07
              43           42.69            9.04
              44          -10.32           15.77
              45           -9.91            8.72
              46           37.49           8.091
              47           69.65           16.93
              48          -61.74           8.953
              49          -40.15           6.958
              50           4.186           12.15
              51           25.46           7.132
              52          -46.96           7.972
              53          -17.35           6.907
              54           8.011           8.404
              55           40.52           7.117
              56          -49.77           7.412
              57           -20.7           7.529
              58           20.63           7.611
              59           43.26           7.838
              60          -25.56           7.379
              61          -13.35           9.333
              62           17.68           7.045
              63           77.58           17.98
              64          -44.84           8.495
              65           -23.8            7.39
