#Wed Mar 26 11:37:57 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           66.57            30.2
               1          -16.96           25.45
               2            18.4           22.65
               3          -21.59           23.02
               4          -158.6           9.284
               5          -70.77           7.991
               6          -1.651           10.03
               7           32.98           8.186
               8          -70.97           7.313
               9          -12.38           8.041
              10           24.41           7.716
              11           65.26           8.142
              12          -40.16           8.254
              13          -14.39            7.97
              14           48.05           7.565
              15           74.08            8.16
              16          -63.36           7.961
              17          -43.69           6.732
              18          0.1331           10.71
              19           16.52           6.784
              20          -78.03           7.622
              21          -24.57           6.756
              22           17.76           7.377
              23           43.44           6.662
              24          -69.15           7.121
              25          -9.115           7.136
              26           23.36           6.813
              27           46.86            7.25
              28          -61.86            6.75
              29          -17.91           8.376
              30           35.62           6.623
              31           73.74           7.649
              32          -61.08           8.026
              33          -36.11           7.188
              34           13.28           7.907
              35           40.89           7.717
              36          -72.74            7.64
              37          -31.77           6.969
              38           32.28           7.812
              39           66.51           8.049
              40          -43.77           7.806
              41           -10.8           7.256
              42           20.06           8.229
              43           51.21           8.038
              44          -70.95           7.442
              45           5.201           9.595
              46           35.16           7.188
              47           82.06            8.55
              48          -68.24           8.021
              49          -44.11           6.659
              50           5.846           9.081
              51           21.88           6.739
              52          -72.85           7.336
              53          -17.08            6.89
              54           9.048           7.174
              55           39.85            6.78
              56          -65.85           6.981
              57           -16.9           7.473
              58           17.52           6.774
              59           42.14           7.281
              60          -39.53           6.678
              61           -28.7           9.337
              62           42.06           6.529
              63            98.4           8.155
              64          -70.35           7.931
              65          -34.72           7.641
              66           21.08           9.505
              67            39.7           7.692
              68           -60.7           7.801
              69          -1.565           7.197
              70            22.4           8.345
              71           55.87           7.637
              72          -68.76           7.632
              73          -19.34           7.133
              74            41.7           7.745
              75           71.34           7.843
              76          -40.04           7.308
              77          -25.64           7.056
              78           43.06           6.944
              79           93.61           8.421
              80          -87.11           7.919
              81           -30.3            6.68
              82           15.62           8.046
              83           22.52           6.508
              84          -64.29           7.727
              85          -20.19           6.604
              86            26.1           6.964
              87           57.62           6.611
              88          -52.21           8.554
              89           -7.54           7.079
              90           14.71           6.593
              91           66.11           7.277
              92          -34.19           6.671
              93           14.65           7.929
              94           27.85           6.385
              95           107.4           8.375
              96          -55.81           7.817
              97          -42.86           6.608
              98            1.66           8.918
              99           27.94           8.146
             100          -67.12           7.717
             101           -8.78           6.641
             102           46.61           7.843
             103           60.87           7.616
             104          -72.32           7.703
             105           11.91           9.248
             106           19.44           7.339
             107           82.01           8.144
             108          -50.04            6.97
             109          -3.268            8.04
             110           40.55           7.439
             111           115.9           8.891
             112          -64.79           7.739
             113          -20.39           6.643
             114          -11.58           7.639
             115           21.78           6.496
             116          -58.74           7.311
             117           -24.3           6.444
             118           15.28           6.648
             119            53.7           6.747
             120          -59.41           7.065
             121          -28.79           6.923
             122           17.75           6.491
             123           40.15           7.456
             124          -38.89            6.56
             125           -15.8           8.854
             126            36.7           6.462
             127           151.4           8.983
APV               58              11               0               1
               0           50.84           31.96
               1          0.0666           31.37
               2           1.514           25.54
               3           -21.4           25.69
