#Thu Apr  3 11:51:45 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           65.89           30.14
               1          -17.07           25.13
               2           17.69           22.62
               3           -21.3           22.96
               4          -158.3           9.219
               5          -71.94           7.455
               6          -1.754           10.18
               7            33.2           8.151
               8          -71.23           7.358
               9          -13.38            7.45
              10           24.34           7.749
              11           65.41           8.161
              12          -40.08           8.237
              13          -14.53           7.856
              14           48.21           7.569
              15           74.73            8.16
              16          -62.84           7.977
              17          -43.84            6.66
              18         -0.3694           10.87
              19           16.41           6.837
              20          -78.18            7.65
              21          -25.14           6.763
              22           17.39           7.459
              23           43.53           6.775
              24          -68.91           7.138
              25          -9.394           7.094
              26           23.01           6.844
              27           47.12           7.281
              28          -61.78           6.674
              29          -17.97           8.469
              30           35.17           6.673
              31           74.38           7.701
              32          -60.86           8.183
              33          -36.82           7.214
              34           12.94           8.014
              35           40.79           7.848
              36          -72.83           7.669
              37          -32.38           6.913
              38              32           7.959
              39           66.35           8.037
              40          -43.27           7.912
              41          -11.15           7.309
              42            20.3           8.225
              43           52.01           8.165
              44          -70.81           7.538
              45           5.096           9.469
              46           34.83           7.238
              47           82.08           8.447
              48          -68.36           7.972
              49          -44.22           6.695
              50           5.444            9.29
              51            21.8           6.693
              52          -72.89           7.386
              53          -17.68           6.891
              54           8.621           7.255
              55           39.96           6.753
              56          -66.08           6.971
              57          -16.77           7.535
              58           17.12           6.791
              59           42.56            7.23
              60          -39.47            6.72
              61          -28.68           9.514
              62           42.01           6.539
              63           98.94           8.044
              64          -69.83           7.851
              65          -34.81           6.835
              66           21.35           9.611
              67           40.18           7.671
              68          -60.71           7.714
              69          -1.511            6.49
              70           22.39           8.513
              71           56.12           7.662
              72          -68.74           7.614
              73          -19.53           6.503
              74           41.72           7.823
              75           71.66           7.872
              76          -40.14           7.219
              77          -25.78           7.048
              78            43.2           7.026
              79           93.93           8.432
              80          -86.54           8.055
              81          -30.02            6.72
              82           15.51           8.084
              83           22.64           6.514
              84          -63.85           7.745
              85          -19.87           6.639
              86           25.73           6.901
              87           57.76           6.644
              88          -52.16           8.581
              89          -7.885           7.039
              90           14.55           6.571
              91           66.75           7.289
              92          -34.25           6.673
              93           14.51           7.884
              94           27.59           6.327
              95           107.9           8.217
              96          -55.23           7.871
              97          -43.25           6.573
              98           1.829           9.061
              99           28.19            8.18
             100          -66.63           7.672
             101          -9.064           6.657
             102           46.74           7.857
             103           61.63           7.544
             104          -72.39           7.748
             105           11.79           8.071
             106            19.5           7.394
             107           82.46           8.074
             108          -50.39           6.968
             109          -3.271            8.03
             110           40.42           7.548
             111           116.3           8.872
             112          -64.35           7.825
             113          -20.01           6.663
             114          -11.73           7.704
             115           22.07           6.501
             116          -58.45           7.394
             117          -24.23           6.439
             118           15.16           6.713
             119           53.85           6.707
             120             -60           6.984
             121          -29.07           6.832
             122           17.55           6.486
             123           40.73           7.481
             124          -39.01           6.517
             125          -16.13           8.959
             126           36.66            6.37
             127             152           8.987
APV               58              11               0               1
               0           48.82           32.11
               1         -0.3232           31.48
               2           1.296           25.54
               3          -20.52           25.68
               4          -148.4           9.618
               5          -45.04           7.849
               6           2.042           13.46
               7           43.79           9.385
               8          -63.73           7.809
               9          -29.72           7.641
              10           24.33           9.292
              11            36.7           9.158
              12          -46.55           8.618
              13          -16.02           7.713
              14           21.29           8.914
              15           46.63           9.285
              16          -57.31           8.825
              17          -30.94           7.041
              18          -1.976           15.26
              19           25.61           7.316
              20          -58.79           8.227
              21          -19.08            7.06
              22           20.52           9.095
              23           37.33           7.028
              24          -65.61           7.557
              25          -41.26             7.3
              26           27.64           7.783
              27           41.14            7.85
              28          -54.11           7.215
              29          -27.64           8.656
              30           38.27            7.33
              31           64.28           9.051
              32          -57.33           8.892
              33          -19.71           7.762
              34           6.558            9.55
              35           16.98           9.172
              36          -59.75           8.117
              37          -17.61           7.471
              38           35.99           9.907
              39           45.99           8.847
              40          -42.15           8.033
              41          -11.55           7.365
              42           43.86           10.35
              43           43.43           9.077
              44          -11.14           16.45
              45          -10.23           8.696
              46           38.15           8.315
              47           68.85           17.73
              48          -62.62           9.069
              49          -40.75           6.999
              50           4.392           12.47
              51           25.44           7.149
              52          -47.66           8.059
              53          -18.05           7.031
              54           8.285           8.517
              55           40.91           7.072
              56          -50.65           7.461
              57          -21.54           7.703
              58           21.22           7.625
              59           43.63           7.826
              60          -26.01           7.299
              61          -14.32           9.578
              62           17.86           7.066
              63           76.95           18.78
              64          -45.25           8.447
              65          -24.13           7.399
              66           20.18           12.41
              67            15.9           9.272
              68          -70.87            8.21
              69           -46.2           6.819
              70           36.87           11.09
              71           37.82            8.67
              72          -59.45           7.953
              73          -22.79           6.772
              74           43.11           9.445
              75           34.75           8.701
              76          -39.31           7.761
              77          -15.91           7.376
              78           17.48           8.463
              79           80.67           9.435
              80          -41.52           9.187
              81          -33.14           6.982
              82           9.666           10.38
              83           22.31           6.977
              84          -46.47           8.385
              85          -16.67           6.916
              86           16.99           7.964
              87           66.08            7.05
              88          -49.93           7.349
              89          -22.53           7.776
              90           37.06           7.258
              91           49.03           7.871
              92          -38.35           7.014
              93          -21.66           9.847
              94            18.5           6.956
              95           74.31           8.952
              96          -46.65            8.28
              97          -24.23           7.236
              98           25.78           11.69
              99           47.14           9.864
             100          -63.29            8.09
             101         0.04933           7.385
             102           18.22           9.564
             103           41.77           8.417
             104           -48.1           8.269
             105          -5.999           8.089
             106           27.93           9.024
