#Tue Apr  8 12:50:51 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           69.36            30.2
               1          -15.64           25.41
               2            17.6           22.48
               3          -22.46           22.95
               4          -157.7           9.161
               5          -70.72            8.34
               6          -2.864           10.11
               7           31.91            8.22
               8           -70.6           7.434
               9          -12.46           8.344
              10           23.37           7.728
              11           64.83           8.179
              12           -39.3           8.253
              13          -13.71           8.117
              14            47.1           7.594
              15           73.96           8.174
              16          -62.29           8.021
              17          -43.25           6.726
              18         -0.7043           10.92
              19           15.21           6.796
              20          -77.35           7.686
              21          -24.57           6.812
              22           16.86           7.425
              23           42.65           6.729
              24          -68.36           7.155
              25           -9.03           7.112
              26           22.47           6.827
              27           46.24           7.236
              28          -61.02            6.65
              29          -17.26           8.469
              30           34.19           6.773
              31           73.92           7.713
              32          -60.03           8.061
              33          -35.32           7.194
              34           12.59            7.94
              35           39.25           7.799
              36           -72.5           7.597
              37          -31.45           6.921
              38           30.88           7.929
              39           65.56           8.082
              40          -42.67           7.837
              41          -10.52           7.242
              42           18.96           8.328
              43           51.09           8.126
              44          -69.65           7.475
              45           5.719           9.795
              46           34.14           7.227
              47           81.89           8.598
              48          -67.69           8.025
              49          -43.92           6.686
              50            5.13           9.203
              51           20.81           6.639
              52          -72.63           7.388
              53          -17.48           6.867
              54             7.6           7.204
              55           39.06           6.773
              56          -65.28           6.978
              57          -16.31           7.519
              58           16.65           6.839
              59           42.14            7.28
              60          -38.66           6.775
              61          -27.91           9.437
              62           40.89           6.575
              63           98.34            8.09
              64          -69.39           7.927
              65          -34.28           7.933
              66              21           9.554
              67           39.35           7.734
              68          -59.92           7.743
              69          -1.137           7.597
              70           22.31           8.515
              71           55.47           7.636
              72          -68.17           7.572
              73          -19.09           7.411
              74           41.13           7.821
              75           70.78           7.847
              76          -39.28           7.245
              77           -25.2           7.082
              78           42.65           7.059
              79           93.33           8.461
              80          -85.93           7.929
              81          -29.73           6.692
              82           15.91           8.159
              83           21.74           6.531
              84          -63.94           7.763
              85           -19.8           6.619
              86           25.81           6.994
              87           57.02           6.665
              88          -51.61           8.559
              89           -7.36           7.095
              90           14.31           6.543
              91           66.23           7.346
              92          -33.88           6.646
              93           14.89           7.908
              94           27.42           6.329
              95           107.5           8.384
              96          -54.65           7.858
              97          -42.36           6.627
              98           1.689           8.993
              99            27.4           8.165
             100          -66.56           7.664
             101          -8.482           6.704
             102           46.22           7.923
             103           60.82           7.625
             104          -71.84           7.739
             105           11.97           9.666
             106           19.16           7.483
             107           81.94            8.13
             108          -49.56           6.937
             109          -2.781           8.047
             110           39.88           7.498
             111           115.8           8.887
             112          -63.98           7.859
             113          -19.87           6.667
             114          -11.63           7.669
             115           21.35            6.52
             116          -58.27            7.37
             117          -23.96           6.488
             118           14.85           6.642
             119           53.39           6.704
             120          -59.45           7.033
             121          -28.88           6.891
             122           17.22           6.491
             123           40.08           7.497
             124          -38.34           6.592
             125          -15.47           9.003
             126           36.18           6.448
             127           151.5           9.059
APV               58              11               0               1
               0           50.95           32.04
               1         -0.1476           31.54
               2           1.892           25.43
               3          -20.21           25.71
               4          -149.2            9.56
               5          -45.29           8.424
               6           2.554           13.52
               7           44.43           9.369
               8          -64.44           7.801
               9          -29.97           8.272
              10           24.95           9.273
              11           37.26           9.163
              12          -47.39           8.638
              13          -15.35           7.993
              14           21.43           8.933
              15           47.69           9.265
              16          -58.13           8.869
              17          -31.19           6.989
              18          -2.016           15.35
              19           25.95           7.361
              20          -59.71           8.245
              21           -18.9           7.047
              22           20.54           9.162
              23           37.75           7.017
              24          -66.45           7.686
              25          -40.76           7.345
              26           28.42           7.756
              27            42.1           7.803
              28          -54.96           7.191
              29          -27.03           8.727
              30           38.54            7.34
              31            65.1           9.219
              32          -58.32           8.887
              33          -20.38           7.792
              34           6.676            9.65
              35           17.06           9.275
              36          -61.11           8.103
              37          -17.76           7.564
              38           36.63           9.919
              39           46.78           8.841
              40          -43.09           8.039
              41          -11.55           7.366
              42           44.12           10.43
              43           44.14           9.212
              44          -11.58           16.52
              45          -9.775           9.037
              46           38.51           8.326
              47            70.2           17.77
              48          -63.27           9.095
              49          -41.11               7
              50           4.251            12.6
              51           25.95           7.208
              52          -48.35           8.132
              53          -18.26            7.06
              54           8.355           8.496
              55           41.22           7.152
              56          -51.28           7.466
              57          -21.24           7.716
              58           21.53           7.631
              59           44.49           7.937
              60          -26.43           7.337
              61          -13.54           9.585
              62           18.31           7.044
              63           77.78           18.91
              64           -46.3           8.522
              65          -25.12           8.271
              66           20.32            12.5
              67           15.71           9.335
              68          -72.05           8.236
              69          -46.67            7.66
              70           37.45           11.16
              71           38.53           8.538
              72          -60.13           8.026
              73          -22.69           7.535
              74           43.45            9.49
              75           35.77           8.746
              76          -40.59           7.896
              77          -16.27           7.429
              78            17.7           8.392
              79           81.52           9.455
              80           -42.2           9.069
              81          -33.44           6.966
              82           9.525           10.42
              83           22.71               7
              84          -47.34           8.451
              85          -17.17           7.055
              86           16.82            8.03
              87           66.29           7.105
              88          -50.76           7.407
              89          -22.94            7.87
              90           37.23           7.318
