#Wed Apr  9 14:02:01 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           68.48           30.15
               1          -15.15           25.27
               2           16.47           22.51
               3          -22.45           22.87
               4            -158           9.267
               5          -70.93           7.427
               6          -2.263           9.935
               7           32.08           8.139
               8          -70.77           7.333
               9          -13.03           7.446
              10           23.91            7.69
              11           64.54           8.143
              12          -39.21           8.172
              13          -13.59           7.808
              14           47.37           7.522
              15            73.1           8.143
              16          -62.24           7.945
              17          -42.77           6.716
              18         -0.0216           10.71
              19           15.54           6.785
              20          -77.38           7.623
              21           -24.8           6.758
              22           17.08           7.438
              23           42.75           6.616
              24          -68.43           7.072
              25          -9.467           7.093
              26           22.58           6.858
              27           46.24           7.174
              28          -60.87           6.728
              29          -16.18           8.346
              30           34.69           6.695
              31            73.1           7.579
              32           -60.2            8.03
              33          -35.63            7.11
              34           12.77           7.759
              35           39.68           7.767
              36           -72.3           7.619
              37          -31.82           6.872
              38           31.21           7.894
              39            65.6            7.99
              40          -42.94           7.884
              41          -10.81           7.273
              42           19.32           8.162
              43           50.86           7.979
              44           -69.1           7.432
              45           6.459           9.383
              46           34.63           7.228
              47           80.64           8.496
              48          -67.87           7.847
              49          -43.51           6.658
              50           5.035           9.139
              51           20.97           6.614
              52          -72.63           7.363
              53           -17.6           6.837
              54           8.422           7.093
              55           39.46           6.673
              56          -65.09           6.975
              57          -16.04           7.436
              58           17.01           6.704
              59           41.83            7.22
              60          -38.31           6.697
              61           -26.9           9.333
              62            41.4            6.51
              63           97.25           8.092
              64          -69.43           7.812
              65          -34.18           6.796
              66           21.22           9.436
              67           39.33           7.652
              68          -60.25           7.577
              69          -1.213           6.447
              70           22.78           8.425
              71           55.17           7.587
              72          -68.38           7.588
              73           -19.2           6.441
              74           41.42           7.734
              75            70.5           7.779
              76          -39.32           7.216
              77           -25.1            6.99
              78           42.84           7.047
              79           92.28           8.427
              80          -85.85           7.897
              81           -29.8           6.618
              82           15.91           8.011
              83           22.08           6.518
              84          -63.38           7.685
              85          -19.74           6.587
              86           25.75           6.927
              87           57.05           6.626
              88          -51.74           8.505
              89          -7.442           7.017
              90            14.7           6.534
              91           65.48           7.234
              92          -33.81            6.63
              93           14.82           7.826
              94           27.69           6.415
              95           106.5           8.261
              96          -54.85           7.741
              97          -42.32           6.535
