#Thu Apr 10 09:34:06 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           67.55           30.12
               1           -15.6           25.18
               2           17.19           22.46
               3          -21.88           22.86
               4          -157.7           9.169
               5          -70.89           7.434
               6          -1.649           9.972
               7           32.33           8.199
               8           -70.8           7.406
               9          -12.88           7.445
              10           24.38           7.697
              11           64.66           8.093
              12           -39.3           8.245
              13          -13.13           7.873
              14           47.78            7.58
              15           73.36           8.049
              16           -62.4           7.898
              17          -42.94           6.738
              18         -0.2494           10.78
              19              16            6.75
              20           -77.7           7.639
              21          -24.58           6.712
              22           17.39           7.394
              23           42.91           6.691
              24          -68.51           7.158
              25          -9.192           7.162
              26           22.93           6.813
              27           46.37           7.166
              28          -60.83           6.718
              29          -16.21            8.48
              30           34.73           6.639
              31           73.12           7.681
              32          -60.36           8.054
              33          -35.71           7.138
              34           13.19           7.931
              35           40.32           7.766
              36          -72.12           7.538
              37          -32.11           6.886
              38           31.66           7.967
              39           66.04           8.027
              40          -42.96            7.87
              41           -10.4           7.229
              42           19.97           8.217
              43           50.92           8.029
              44          -69.32           7.408
              45           6.787           9.369
              46           34.64           7.217
              47           80.82           8.499
              48          -67.82           7.892
              49          -43.48            6.64
              50           5.459           9.171
              51           21.46           6.644
              52          -72.55            7.29
              53           -17.7            6.81
              54            8.53           7.165
              55            39.4           6.807
              56          -65.03           6.973
              57          -15.83           7.462
              58           17.27           6.778
              59           42.09           7.224
              60          -38.31           6.662
              61          -26.46           9.387
              62           41.94           6.511
              63           97.03           7.992
              64           -69.6           7.878
              65          -34.81            6.77
              66           21.14           9.511
              67           39.54           7.637
              68          -60.24           7.757
              69          -1.773           6.477
              70            22.6           8.438
              71           55.65           7.662
              72          -68.18           7.599
              73          -19.48           6.432
              74           41.74           7.745
              75           70.66           7.777
              76          -39.82           7.096
              77          -25.41           7.044
              78           42.94           7.062
              79           92.23           8.444
              80          -85.82           7.882
              81          -30.33           6.605
              82           15.68           8.039
              83           22.23           6.481
              84          -63.73           7.619
              85          -19.84           6.564
              86           25.84           6.908
              87           56.96           6.552
              88          -52.17           8.525
              89          -7.743           7.029
              90           14.75           6.559
              91           65.53           7.186
              92          -34.15           6.659
              93              15           7.853
              94           27.68           6.391
              95           106.2           8.251
              96          -55.23           7.785
