#Tue Apr 15 08:46:28 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           66.51           29.99
               1           -16.7           25.12
               2           18.27           22.26
               3           -20.5           22.73
               4          -158.2           9.118
               5          -71.17           7.365
               6          -1.291            9.86
               7           32.93            8.11
               8          -71.52           7.294
               9          -13.64           7.285
              10           24.74           7.602
              11           65.19           8.073
              12          -40.03           8.107
              13          -14.61           7.756
              14           48.29           7.526
              15           74.05           8.078
              16          -63.05           7.842
              17          -43.89           6.592
              18          0.8688           10.63
              19           16.76           6.764
              20          -78.24           7.522
              21          -25.09           6.742
              22           17.94           7.278
              23           43.46           6.689
              24          -69.04           7.069
              25          -9.827           7.074
              26           23.56           6.707
              27           46.86           7.124
              28          -61.84           6.673
              29          -17.82           8.223
              30           35.57             6.6
              31           73.59           7.582
              32          -60.92           7.939
              33          -36.48           7.087
              34           13.97           7.852
              35           40.77           7.682
              36          -72.94           7.501
              37          -32.04           6.788
              38           32.14           7.723
              39           65.91            7.84
              40           -44.1           7.733
              41          -11.46           7.208
              42           20.54           7.994
              43           51.65           8.043
              44           -70.1           7.276
              45           5.027           9.179
              46           35.44           7.183
              47           81.15           8.401
              48          -68.33           7.782
              49          -44.07           6.639
              50           6.194            8.99
              51           22.01           6.626
              52          -73.06           7.195
              53          -17.78           6.762
              54            9.52           7.131
              55           40.48           6.696
              56          -65.74           6.882
              57          -17.04           7.344
              58           17.95           6.696
              59           42.94           7.122
              60          -39.33           6.673
              61          -27.66           9.171
              62           42.51           6.505
              63           97.79           8.019
              64          -70.11           7.679
              65           -34.6           6.712
              66           20.74           9.342
              67           39.91           7.546
              68          -60.86           7.642
              69          -1.854           6.336
              70           22.56           8.379
              71           56.03           7.518
              72           -68.7           7.464
              73          -19.76           6.381
              74           41.46            7.54
              75           71.04           7.691
              76          -40.02           7.134
              77          -25.73           6.893
              78           42.98           7.033
              79           93.13           8.418
              80           -86.7           7.762
              81          -30.32           6.648
              82           15.76           7.922
              83           22.68           6.424
              84          -64.45           7.497
              85          -20.18           6.561
              86           25.76           6.811
              87           57.41           6.602
              88          -52.41           8.416
              89          -7.465           7.006
              90           14.81           6.458
              91           65.91           7.223
              92          -34.38           6.558
              93           14.81           7.714
              94           28.19           6.257
              95           107.1           8.129
              96          -55.66           7.655
              97          -42.74            6.48
              98            1.89           8.702
              99           28.06           8.079
             100          -67.08           7.565
             101          -9.199           6.561
             102              46           7.784
             103            61.2           7.496
             104          -71.85           7.567
             105           11.59           7.868
             106           19.96           7.335
             107           81.76           7.984
             108          -50.09           6.862
             109          -2.972           7.921
             110            40.6           7.382
             111           114.8           8.797
             112          -64.91           7.757
             113          -20.02           6.598
             114          -11.15           7.503
             115           21.88           6.499
             116          -58.92           7.226
             117          -24.16           6.429
             118           15.32           6.547
             119           53.63            6.63
             120          -59.95           7.047
             121          -28.28           6.772
             122           17.87           6.365
             123           40.67           7.376
             124          -38.86           6.425
             125          -15.21           8.747
             126           36.53           6.324
             127           150.1           8.881
APV               58              11               0               1
               0           51.37           31.87
               1         -0.6611           30.62
               2           1.221           25.26
               3          -20.16           25.26
               4          -147.1           9.415
               5          -45.07           7.775
               6           1.697           12.88
               7            43.6           9.186
               8          -62.67           7.595
               9          -30.16           7.538
              10           24.26            9.02
              11           36.72           8.989
              12          -46.06           8.485
              13          -16.28           7.644
              14           20.79           8.605
              15           47.13           9.147
              16          -57.37            8.57
              17          -31.23           6.903
              18          -1.405            14.6
              19            26.1           7.238
              20          -58.65           8.062
              21          -19.62           6.918
              22            20.6           8.824
              23            37.2           6.943
              24          -64.98           7.487
              25          -41.57           7.191
              26              28           7.587
              27           41.39           7.689
              28          -54.33           7.027
              29          -27.85           8.367
              30           38.62           7.192
              31           64.59           9.047
              32           -57.4           8.699
              33           -20.2           7.641
              34           5.814           9.178
              35           17.42           8.892
              36          -59.32           8.008
              37          -17.78           7.316
              38           35.08           9.559
              39           45.94           8.639
              40          -41.41           7.886
              41          -12.24           7.169
              42            42.9           9.928
              43           43.53           8.942
              44          -11.24           15.59
              45          -11.49           8.608
              46           37.99           8.037
              47           69.52           16.83
              48           -62.3           8.764
              49          -41.28           6.838
              50           4.796           11.98
              51           26.17           7.047
              52          -47.39            7.91
              53          -18.66           6.892
              54            8.29           8.275
              55           40.81           7.026
              56          -50.21           7.361
              57          -22.13           7.556
              58           21.66           7.511
              59           44.28           7.755
              60          -26.21           7.119
              61          -14.54           9.211
              62           18.61           6.903
              63           77.31           17.89
              64          -45.21            8.33
              65          -24.36           7.278
              66           19.23           11.95
              67           15.77           9.027
              68          -70.29           8.025
              69          -46.12           6.741
              70           35.83            10.7
              71           37.72            8.32
              72          -58.21           7.857
              73          -22.74           6.724
              74           42.13           9.079
              75           35.13           8.507
              76          -38.94           7.692
              77          -16.37           7.197
              78           17.51           8.209
              79           80.85           9.277
              80          -41.49           8.848
              81          -33.44           6.839
              82           9.456           9.992
              83            22.4           6.891
              84          -46.38           8.193
              85          -17.29           6.879
              86           16.77           7.819
              87           65.64           7.032
              88          -49.46           7.244
              89           -22.6           7.579
              90           36.69           7.142
              91           49.11           7.728
              92           -38.6           6.816
              93          -21.37            9.52
              94           18.58           6.843
              95           74.88           8.832
              96          -46.14           8.132
              97          -24.31            7.09
              98           24.98           11.17
              99           46.68           9.597
             100          -62.31           7.858
             101         -0.7707             7.1
             102           18.01           9.324
             103           41.43           8.311
             104          -47.65           8.092
             105          -6.984           7.863
             106            27.5           8.785
             107           57.86           8.793
             108          -34.42            7.46
             109          -5.637           8.088
             110           42.07           9.216
             111           74.94           9.811
             112          -42.62           8.551
             113          -33.87            6.78
             114           29.64           9.197
             115           42.45           6.892
             116          -47.47           7.721
             117          -25.72           6.808
             118           25.33           7.551
             119           44.75           6.987
             120          -42.96            7.03
             121             -23           7.515
             122           45.78            6.96
             123           61.74           8.101
             124          -56.05           6.703
             125          -6.445           11.44
             126           39.85           6.878
             127           114.7           10.63
APV               58              11               0               2
               0           48.71           28.31
               1          -2.719           24.08
               2            13.3           21.79
               3          -16.74           21.54
               4          -143.7           8.638
               5          -53.21           7.415
               6            -3.4           10.82
               7           30.25           8.062
               8          -73.76           7.031
               9          -21.57           6.979
              10           19.18           7.855
              11           43.93           7.739
              12           -58.9           8.511
              13          -8.086           6.989
              14          -4.343           7.522
              15           34.29           7.899
              16          -44.18           7.711
              17          -24.99           6.619
              18          -15.79           12.33
              19           21.97           6.598
              20          -62.92           7.371
              21          -18.65           6.547
              22           19.71           7.886
              23           39.03           6.523
              24          -56.03           6.824
              25          -6.448           6.919
              26           1.447           6.886
              27           29.39           6.973
              28          -36.21           6.839
              29           6.091           7.756
              30           21.73           6.498
              31           76.56           7.502
              32          -11.97           7.769
              33          -28.23           7.507
              34           11.32           10.06
              35           17.89           7.396
              36          -55.29           7.223
              37          -35.15           7.027
              38           30.56           8.234
              39           53.28           7.937
              40          -59.92           7.197
              41          -20.04           6.801
              42           13.68           8.485
              43           48.08           7.935
              44          -55.45            7.86
              45           5.816           7.365
              46            13.2           7.024
              47           66.17           8.316
              48          -48.48           7.908
              49          0.9864           6.653
              50          -5.799           10.04
              51            21.3           6.477
              52           -32.2           7.185
              53          -9.279           6.598
              54           11.42           7.518
              55           45.53           6.522
              56          -39.11           6.786
              57          -12.17           7.029
              58           6.756           6.849
              59           59.88           7.086
              60          -48.23           6.301
              61          -28.07           8.593
              62           13.63           6.341
              63           47.08           7.973
              64          -58.31           7.321
              65          -27.54            6.88
              66           9.455            10.3
              67           40.35           7.962
              68          -55.04             7.3
              69          -29.51           6.587
              70           3.102            8.97
              71           55.73           7.613
              72          -45.97           7.301
              73          -1.363            6.39
              74           32.01           7.861
              75           64.86           7.755
              76          -62.58           7.291
              77           2.329           6.672
              78           37.08           7.221
              79              75           8.463
              80          -33.58           7.823
              81          -5.647           6.416
              82           31.59           8.805
              83           44.99            6.42
              84          -58.46           7.435
              85          0.8736           6.497
              86           26.88           7.073
              87           43.36           6.556
              88          -49.16           6.798
              89          -4.148           7.164
              90           11.03           6.575
              91           44.26           7.062
              92          -62.64           6.418
              93          -6.166           8.499
              94           37.69           6.426
              95           74.28           8.245
              96          -44.65           7.274
              97          -29.85           6.896
              98          -11.76           9.453
              99           24.01           8.379
             100          -71.52            7.13
             101          -6.599           6.815
             102            17.1           8.253
             103           53.99           7.521
             104          -38.29           7.561
             105          -2.014           6.992
             106              24           7.719
             107           57.11           7.989
             108           -56.8           7.154
             109          0.7908            7.02
             110           31.75           7.756
             111           84.92           8.894
             112           -38.7           7.733
             113          -22.06           6.367
             114           18.94           8.217
             115           40.47           6.464
             116          -28.99           7.115
             117          -11.08           6.416
             118           11.91           6.811
             119           52.21            6.61
             120           -45.5           6.647
             121           1.757           6.967
             122           13.56           6.335
             123           54.09           7.453
             124          -49.92           6.315
             125          -13.96           10.27
             126           17.08           6.314
             127           102.5           9.086
APV               58              11               0               3
               0           47.09           28.11
               1          -19.06           23.24
               2          -13.95           20.46
               3           24.94           20.86
               4          -155.9           8.526
               5          -76.48           7.415
               6          -12.82           10.09
               7           38.43           8.172
               8          -74.84           6.938
               9          -32.67           7.024
              10           27.45           7.746
              11           56.31           7.977
              12          -73.18           7.614
              13          -9.426           7.142
              14            27.8           7.369
              15           61.24           7.927
              16          -52.67            7.53
              17          -49.49           6.464
              18           13.35           12.79
              19           42.84           6.702
              20          -74.99           7.201
              21           -50.4           6.611
              22          -3.198           8.013
              23           52.51           6.425
              24             -39           6.843
              25          -15.69           6.799
              26            8.58           7.004
              27           68.88           7.088
              28             -38           6.435
              29         -0.1745            7.89
              30           41.43           6.613
              31           72.61           7.478
              32          -70.29           7.447
              33           -41.7           7.312
              34           3.822           7.567
              35           45.24           7.789
              36          -69.78           7.021
              37           -47.7           6.941
              38           34.17             7.9
              39            59.2           7.911
              40          -59.13           7.109
              41          -20.17           6.781
              42           26.19           8.357
              43           56.62           8.094
              44          -53.53           7.746
              45          -5.025           7.505
              46           37.09           7.125
              47            63.9           8.344
              48          -52.66           7.776
              49          -35.64           6.485
              50          -9.972           10.54
              51           45.24           6.492
              52          -62.95           6.928
              53          -31.04           6.605
              54           21.29           7.706
              55           57.96           6.474
              56          -51.21           6.688
              57          -27.93            7.13
              58           23.76           6.817
              59           74.03            6.97
              60          -32.71           6.469
              61          -9.049           8.591
              62           24.76           6.457
              63           80.36           7.973
              64          -56.39           7.182
              65          -52.83           6.542
              66          -5.383           9.456
              67           64.96           7.933
              68          -59.09           7.134
              69          -29.64            7.08
              70           20.19            8.55
              71           72.67            7.61
              72          -64.19           6.991
              73          -22.29           6.456
              74           18.93           7.736
              75           69.08           7.921
              76          -54.55           7.044
              77           1.892           6.815
              78           52.77           7.138
              79           85.12           8.361
              80          -71.65           7.657
              81          -48.71           6.261
              82           4.347           8.925
              83           53.71           6.285
              84          -70.47           7.218
              85           -42.9            6.41
              86           8.231           7.194
              87           71.82           6.434
              88          -54.17           6.518
              89           -31.9           7.018
              90           17.95           6.656
              91           59.61           7.026
              92          -45.67           6.198
              93           6.401           8.764
              94           42.72           6.396
              95           85.72           8.072
              96          -74.21           7.122
              97          -39.41           6.766
              98           15.29            8.91
              99           48.54           8.363
             100          -81.34           6.941
             101          -28.74           6.801
             102           32.93           7.803
             103              70           7.571
             104          -68.24           7.281
             105          -3.327           7.334
             106           26.09           7.479
             107           63.62           7.907
             108          -68.84            6.76
             109           11.51           7.463
             110           54.42           7.813
             111           113.2           8.797
             112           -61.5           7.439
             113          -44.33           6.939
             114           10.62           8.242
             115           52.83           6.272
             116          -59.11           6.808
             117          -46.98           6.334
             118           24.41           6.907
             119           73.54           6.483
             120          -56.97           6.371
             121          -5.404           7.065
             122            51.5            6.46
             123           77.48           7.333
             124          -38.16           6.076
             125          -3.716           10.36
             126           47.26           6.375
             127           116.3           8.971
APV               58              11               0               4
               0           59.62           29.69
               1          -32.02           25.53
               2          -27.09           23.11
               3           14.45           22.64
               4          -137.3           9.472
               5          -60.03           8.019
               6          -15.65           11.26
               7           23.26            8.47
               8          -61.93           7.775
               9          -28.47           7.795
              10           4.052           8.408
              11           57.28           8.534
              12          -48.23            8.83
              13          -29.09           7.773
              14           12.17           8.164
              15           62.16           8.436
              16          -30.27           8.662
              17          -28.43           7.159
              18          -26.03           13.75
              19           40.04           7.497
              20          -65.33           8.134
              21          -11.21           7.224
              22          -24.57           8.781
              23            50.9           7.244
              24          -51.77            7.81
              25          -28.51           7.532
              26           19.35           7.736
              27           64.15           7.478
              28          -42.26           7.268
              29          -31.43           8.517
              30           12.24           7.515
              31           83.21           8.032
              32          -38.16           8.585
              33          -34.45           8.215
              34          -10.53           8.426
              35           35.32           8.277
              36           -57.3            7.95
              37          -43.76             7.6
              38            23.1           8.927
              39           63.89           8.152
              40          -31.21           8.117
              41          -16.62           7.542
              42           18.23           9.006
              43           63.04           8.446
              44          -37.11           9.028
              45          -7.139           8.486
              46           13.89           7.839
              47           88.55           9.079
              48          -41.53           8.781
              49          -41.05           7.086
              50          -11.65           11.36
              51           13.46           7.252
              52          -47.03           7.997
              53          -52.73           7.141
              54          -11.58           8.462
              55           58.64            7.18
              56          -35.71           7.613
              57          -11.11           7.766
              58           28.31           7.844
              59           68.57           7.704
              60          -42.53           7.154
              61          -33.41            9.43
              62           30.83           7.269
              63            82.5            8.45
              64          -40.59           8.307
              65          -54.39           7.411
              66           9.638           11.08
              67            36.5           8.806
              68          -47.42           7.969
              69          -15.28           7.257
              70          -2.273           9.659
              71           31.94           8.135
              72          -19.98            8.21
              73           -28.5           7.144
              74           14.52           8.603
              75           68.45           8.344
              76          -37.91           8.198
              77             -15           7.555
              78           11.07           7.831
              79           101.1           9.065
              80          -54.61           8.752
              81          -47.34           7.015
              82           2.817           9.634
              83           34.97           7.218
              84          -58.99           8.271
              85          -33.62           7.046
              86           1.972           7.886
              87           48.27           7.192
              88          -58.62           7.388
              89          -20.49           7.825
              90           34.32           7.339
              91           71.69           7.792
              92          -28.84           6.957
              93          -34.96           9.476
              94            43.1           7.148
              95           101.4            8.79
              96          -38.36           8.163
              97          -44.58           7.464
              98              15           10.43
              99            48.2           9.182
             100          -41.37           7.927
             101          -38.59           7.432
             102           2.533            8.87
             103           77.79           8.269
             104          -35.86           8.371
             105          -16.85            8.07
             106           19.29           8.247
             107           70.33           8.726
             108          -47.94           7.815
             109          -17.91           8.126
             110           36.63           8.629
             111           116.1           9.483
             112          -46.96           8.638
             113          -31.66           6.962
             114         -0.4155           9.109
             115            56.1           7.245
             116          -40.36            7.86
             117          -23.93           6.929
             118           14.06           7.586
             119           68.69           7.126
             120          -29.82           7.264
             121          -16.85           7.671
             122           35.41           7.191
             123           60.97           8.032
             124          -43.55           6.912
             125           -21.9           11.73
             126           35.01           7.527
             127             161           9.622
APV               58              11               0               5
               0           37.75           31.33
               1          -21.66           26.74
               2           7.557           24.72
               3           16.36           24.34
               4          -186.8           9.561
               5          -42.29           8.059
               6           6.292            11.8
               7           23.11            8.96
               8            -111           7.735
               9          -29.37           7.675
              10           62.39           8.912
              11           69.24            8.55
              12          -80.64            8.71
              13           2.838           7.856
              14           54.71           8.606
              15           48.43           8.791
              16          -75.19           8.351
              17          -56.69           7.174
              18           18.75           14.86
              19           33.49           7.623
              20          -90.18           8.068
              21          -40.34           7.151
              22           1.768           8.775
              23           62.45           7.403
              24          -102.4           7.576
              25          -15.97           7.477
              26           35.29           7.809
              27           52.15           7.648
              28          -86.45           7.041
              29          -1.985           8.282
              30           48.72           7.609
              31           66.11           8.179
              32          -58.74           8.458
              33          -50.82           8.131
              34           20.32           9.035
              35              59           8.637
              36          -106.5           7.851
              37          -21.84           7.588
              38           29.63           9.103
              39           83.91           8.644
              40          -101.8           8.104
              41          -3.777           7.504
              42           60.37           9.542
              43           65.75           8.737
              44          -95.61           8.666
              45           26.35           8.391
              46           61.78           8.118
              47           67.82           9.087
              48          -83.25           8.466
              49          -60.31           7.208
              50           12.92           11.43
              51           72.63           7.317
              52           -92.2           7.842
              53          -33.48            7.19
              54           22.19            8.52
              55           71.81           7.241
              56          -77.99           7.442
              57          -5.831           7.695
              58           47.58           7.865
              59            61.7            7.74
              60          -71.87               7
              61           27.59           9.296
              62           49.91           7.316
              63           89.01           8.607
              64          -89.72           8.152
              65          -44.84           7.459
              66           26.06           11.57
              67           60.63           9.015
              68          -105.1           7.807
              69          -27.04           7.123
              70           43.49           10.11
              71           56.85           8.523
              72          -87.07           8.042
              73          0.4613             7.2
              74              69           9.089
              75           84.24           8.763
              76          -57.23           8.094
              77           12.73           7.648
              78           63.06           8.227
              79           68.04           9.646
              80          -85.62           8.404
              81          -30.46           7.098
              82           21.03           9.667
              83           34.51           7.254
              84          -84.55           8.164
              85          -26.08           7.115
              86           8.638            7.72
              87           59.36           7.232
              88          -81.01           7.298
              89          -18.36           7.838
              90           48.39           7.323
              91           62.49           7.957
              92          -76.73           7.026
              93              14           9.458
              94           58.06           7.077
              95           97.31            9.42
              96          -99.77           7.906
              97          -48.85           7.437
              98           28.33           10.91
              99           59.73           9.376
             100          -99.75           7.787
             101          -21.04           7.379
             102           52.54           9.166
             103           58.76           8.421
             104          -79.86           8.295
             105           1.802           7.957
             106           57.84            8.76
             107           75.32           8.843
             108          -76.82           7.799
             109           16.47           8.078
             110           58.15           8.861
             111           98.91           9.581
             112          -91.98           8.223
             113          -35.56           6.932
             114           21.14           8.845
             115           50.77            7.24
             116          -113.3           7.681
             117             -38           7.004
             118            28.1           7.612
             119           62.23           7.302
             120          -86.94           7.112
             121          -9.061           7.608
             122           59.97           7.169
             123           57.44           8.198
             124           -54.1           6.987
             125           9.509           11.08
             126           76.15           7.721
             127           135.2           9.713
APV               58              11               0               6
               0           88.96           33.02
               1           8.881           27.21
               2          -3.569           24.61
               3          -12.16           23.87
               4            -144           9.739
               5          -37.67           8.183
               6          -17.77           10.69
               7           19.53           8.847
               8          -35.28           8.002
               9           7.966           7.825
              10          -1.963            8.35
              11           50.34           8.711
              12          -33.51           8.786
              13          -12.84           7.644
              14           1.975           8.045
              15           49.96           9.153
              16          -43.67           8.694
              17          -18.26           7.454
              18           -8.25           12.91
              19           18.21           7.477
              20          -46.09           8.326
              21          -23.49           7.292
              22          -4.071           8.494
              23           24.82           7.303
              24           -51.7           7.976
              25          -13.69           7.498
              26          -1.213            7.61
              27           30.07           7.627
              28          -31.94           7.428
              29          -11.21            8.17
              30           29.53           7.483
              31           66.36            14.3
              32          -42.96           8.439
              33          -18.54           8.384
              34           5.645           8.169
              35           19.86           8.336
              36          -17.94           8.196
              37          -29.87           7.556
              38           4.641           8.621
              39           47.02           8.631
              40          -44.35           8.268
              41          -19.35           7.544
              42           10.85           8.808
              43           52.84            8.81
              44           -24.7           8.958
              45           5.134           8.051
              46           16.72           7.945
              47           66.11           9.615
              48          -24.06           8.966
              49          -6.728           7.357
              50          -24.33           10.64
              51            29.3            7.19
              52          -24.58           8.174
              53          -15.99           7.378
              54          -3.721           8.099
              55           38.66           7.237
              56          -40.19           7.744
              57          -21.89           7.572
              58           25.62           7.732
              59           43.54           7.784
              60          -20.96           7.242
              61           -13.2           8.915
              62           7.466           7.111
              63           69.35           8.906
              64          -44.07           8.336
              65          -8.626           7.765
              66           7.662           10.35
              67           31.48           8.672
              68          -27.86           8.042
              69           -9.69           7.335
              70         -0.5499           9.297
              71           39.76           8.511
              72          -55.05           8.223
              73          -33.38           7.201
              74           7.991           8.503
              75            51.3           8.593
              76          -34.47           8.308
              77           4.948            7.59
              78           13.24           7.838
              79            80.1           9.538
              80          -28.07           8.875
              81          -43.28           7.265
              82          -23.02           8.958
