#Wed Apr 16 16:16:38 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           66.65           30.12
               1          -16.66           25.22
               2           18.82           22.38
               3          -20.44           22.92
               4          -158.3           9.246
               5          -71.32           7.368
               6           -1.03           10.02
               7           32.99           8.236
               8          -71.49            7.25
               9          -13.58           7.379
              10           24.92           7.678
              11           65.34           8.115
              12          -40.19           8.117
              13          -14.26           7.798
              14           48.54           7.471
              15           74.02           8.092
              16          -63.06           7.887
              17          -43.33           6.644
              18          0.5293            10.8
              19           16.84           6.791
              20          -78.03           7.533
              21          -24.94           6.749
              22           18.05           7.374
              23           43.53           6.688
              24          -69.02           7.134
              25          -9.853           7.114
              26           23.58           6.766
              27           46.91           7.157
              28          -61.62           6.675
              29             -17           8.337
              30            35.8           6.658
              31           73.76           7.555
              32          -60.81           8.038
              33          -36.09           7.127
              34           13.86           7.861
              35           41.01           7.745
              36          -72.74           7.564
              37          -32.25           6.864
              38           32.26           7.873
              39            66.5           7.945
              40          -44.01           7.902
              41          -11.61           7.207
              42           20.53           8.222
              43           51.18           8.002
              44          -70.31           7.431
              45           5.928           9.242
              46            35.5           7.182
              47            81.2           8.481
              48          -67.95           7.968
              49          -43.56           6.656
              50           6.391           9.137
              51           22.36           6.603
              52          -73.21           7.255
              53          -18.24           6.789
              54           9.328            7.17
              55           40.16           6.699
              56          -65.75           6.921
              57          -17.08           7.478
              58           17.93           6.767
              59           42.99           7.167
              60          -38.83           6.662
              61          -26.91             9.3
              62           42.36           6.544
              63           97.78            8.08
              64          -70.11           7.844
              65          -35.29           6.732
              66           20.94           9.434
              67           39.95           7.592
              68          -61.16           7.667
              69          -2.037           6.455
              70            22.5           8.383
              71           55.72           7.647
              72          -69.21           7.522
              73          -19.88           6.461
              74           41.69           7.726
              75           70.92           7.808
              76          -40.05           7.133
              77          -25.53           6.963
              78           43.44               7
              79           92.79           8.419
              80           -86.5            7.86
              81          -30.29           6.614
              82            15.6           7.993
              83           22.67           6.505
              84           -64.1           7.605
              85          -20.34           6.603
              86           25.93           6.929
              87           57.54           6.668
              88          -52.53           8.487
              89          -7.617           6.987
              90           15.06           6.543
              91           65.93           7.288
              92          -34.36           6.609
              93           14.62           7.747
              94           27.73           6.273
              95           106.7           8.189
              96          -55.68           7.685
              97             -43            6.57
              98           1.879           8.852
              99           27.93            8.17
             100          -67.29           7.601
             101          -9.486           6.612
             102           46.24           7.817
             103            61.1           7.468
             104          -72.32           7.597
             105           11.19           7.921
             106            19.7           7.322
             107           81.54           8.076
             108          -50.35           6.949
             109          -3.311           7.997
             110           40.55           7.428
             111           114.7           8.829
             112          -64.57           7.824
             113          -20.27           6.595
             114          -11.38           7.617
             115            21.8           6.506
