#Mon May  5 15:45:37 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0            65.9           30.22
               1           -19.3           25.26
               2           18.76           22.56
               3          -20.46            23.1
               4          -157.9           9.396
               5          -72.12           7.607
               6         -0.9074           10.42
               7           33.89           8.195
               8          -70.59           7.351
               9          -12.81           7.573
              10           25.21           7.903
              11           65.68           8.259
              12          -40.38           8.336
              13          -16.44           8.107
              14           48.86           7.771
              15           74.41           8.147
              16          -63.35           8.076
              17          -45.53           6.748
              18           0.784           11.57
              19           16.89           6.854
              20          -77.72           7.717
              21           -25.1           6.879
              22           18.12           7.658
              23           44.23           6.713
              24          -68.74           7.208
              25          -9.557           7.263
              26           23.81           6.954
              27           47.13           7.187
              28          -62.81           6.684
              29           -21.2           8.795
              30           36.21           6.713
              31           74.48           7.619
              32          -60.33           8.151
              33          -37.83            7.24
              34           14.12           8.188
              35           41.22           8.028
              36          -72.16           7.735
              37          -32.04           7.069
              38           32.72           8.142
              39           67.15           8.117
              40          -43.16           7.928
              41          -11.77           7.494
              42           20.69           8.441
              43           51.85           8.226
              44             -72           7.548
              45          0.9806           9.572
              46           35.34           7.408
              47           82.22           8.557
              48          -68.35           8.141
              49          -45.45           6.707
              50           5.852           9.679
              51           22.56             6.7
              52          -72.34           7.522
              53          -17.11           6.968
              54           9.775           7.362
              55            40.7           6.742
              56          -66.08           7.086
              57          -18.38           7.752
              58           18.33           6.885
              59           42.83           7.269
              60          -40.82           6.747
              61          -32.91           9.971
              62           42.68           6.615
              63           98.73           8.118
              64          -70.32           7.937
              65          -34.68           6.853
              66           21.12           10.06
              67           40.03           7.818
              68          -60.64           7.851
              69          -1.258           6.479
              70           22.67           8.722
              71           56.36           7.723
              72          -68.32           7.656
              73          -19.71           6.568
              74           42.21            7.97
              75           71.61           7.969
              76          -40.09           7.266
              77          -26.29           7.028
              78           43.24           7.176
              79           93.95           8.489
              80          -86.67           8.129
              81           -30.2           6.737
              82           15.82           8.375
              83           22.73           6.531
              84          -63.45           7.805
              85          -19.95           6.626
              86           26.15           7.087
              87           57.91           6.682
              88          -52.25           8.742
              89          -7.879           7.146
              90           15.04           6.577
              91           66.37           7.283
              92          -34.08           6.684
              93           14.73           8.098
              94            27.9           6.403
              95           108.2            8.31
              96           -55.4           7.873
              97          -43.17            6.59
              98           1.603           9.322
              99           28.24           8.348
             100          -66.75           7.758
             101          -9.139           6.633
             102           46.72           8.063
             103           61.53           7.647
             104          -72.48           7.799
             105           11.74           8.025
             106           19.55           7.591
             107           82.71            8.14
             108          -50.59           6.998
             109          -3.548           8.201
             110           40.69           7.711
             111           116.1           8.964
             112          -64.89           7.976
             113          -19.99           6.618
             114          -11.47           7.924
             115           22.22           6.508
             116          -57.99           7.492
             117          -24.23           6.515
             118           15.26           6.808
             119           53.93           6.743
             120          -59.55           7.017
             121          -29.47           6.992
             122           17.94           6.593
             123           40.19           7.468
             124          -38.69           6.579
             125          -16.16           9.327
             126           36.86           6.472
             127           152.2           8.926
APV               58              11               0               1
               0           49.41           32.16
               1         -0.4957           32.18
               2           1.573           25.72
               3          -19.47           25.93
               4            -147           9.688
               5          -44.95           7.886
               6           2.495           14.13
               7           45.27           9.585
               8          -63.76           7.754
               9          -29.32           7.775
              10            24.5           9.615
              11           37.41            9.22
              12          -46.62           8.682
              13          -14.83           7.869
              14           21.89            9.19
              15           47.74           9.423
              16          -57.12           9.047
              17          -30.65           7.064
              18          -2.342           16.34
              19           26.51           7.498
              20          -58.74           8.347
              21          -18.73           7.078
              22           19.89           9.473
              23           37.91           7.055
              24          -65.53           7.661
              25          -40.21            7.42
              26           27.86           7.926
              27           41.63           7.749
              28          -54.13           7.216
              29          -26.71           8.894
              30           38.72           7.429
              31           65.28           9.268
              32          -57.23           9.043
              33          -19.72           7.848
              34           6.547           9.942
              35           17.96           9.426
              36          -59.76           8.198
              37          -17.08           7.602
              38           36.13           10.29
              39           46.77               9
              40          -41.53           8.122
              41          -10.37           7.355
              42            43.9           10.68
              43           44.33           9.287
              44          -10.43           17.75
              45          -9.095            8.83
              46           39.04            8.54
              47           69.88           19.17
              48          -62.37           9.319
              49          -40.47           7.025
              50           3.858           13.14
              51           26.53           7.222
              52          -46.98           8.307
              53          -17.84           7.029
              54           7.843           8.776
              55           41.59           7.125
              56          -50.04           7.567
              57          -20.45           7.831
              58           21.27           7.697
              59           44.62           7.863
              60          -25.52           7.487
              61          -13.37           9.933
              62           18.75           7.176
              63           78.02           20.36
              64          -45.13           8.652
              65           -25.3           7.441
              66           19.25           13.18
              67            15.4           9.675
              68          -71.13           8.391
              69          -48.04            6.95
              70            36.2           11.59
              71           38.27           8.729
              72           -59.4           8.019
              73          -23.88           6.834
              74           42.66           9.824
              75           35.46           8.848
              76          -40.39            7.89
              77          -17.47           7.418
              78           17.26           8.773
              79           81.43           9.512
              80          -41.28           9.503
              81          -34.46           6.963
              82           8.133           10.91
              83           22.76           6.976
              84          -46.47           8.546
              85          -18.15           6.987
              86           15.94           8.194
              87           66.61           7.134
              88           -50.7           7.451
              89          -24.42           7.951
              90           36.41           7.403
              91           49.42           7.841
              92          -39.38           6.975
              93          -23.54           10.39
              94           18.13           6.997
              95           74.93           9.064
              96           -46.4           8.356
              97          -25.89           7.358
              98           25.24           12.23
              99           47.84           10.11
             100          -63.25           8.252
             101          -1.313           7.436
             102           17.67           10.02
             103           42.16            8.57
             104          -48.93           8.342
             105          -7.836           7.994
             106           27.72           9.364
             107           58.67           9.092
             108          -35.45           7.644
             109          -6.569           8.192
             110           42.56           9.928
             111           75.41            10.1
             112          -42.86           9.146
             113          -34.88           6.862
             114           29.04           9.833
             115           42.38           7.038
             116          -47.96            7.96
             117           -26.6           6.909
             118           24.72           8.007
             119           45.46           7.096
             120           -43.8           7.281
             121          -24.85            7.83
             122           45.63           7.175
             123           61.77           8.213
             124          -57.37           6.859
             125          -8.733           12.63
             126           39.82           7.074
             127           115.4           10.85
APV               58              11               0               2
               0           48.99           28.47
               1           -2.79           24.37
               2           11.84            22.3
               3           -17.8           22.01
               4          -142.4            8.75
               5          -53.03           7.568
               6          -3.383           11.73
               7           30.12           8.422
               8          -73.55           7.097
               9          -21.82           7.196
              10           19.04           8.285
              11           43.54            7.99
              12          -59.53           8.708
              13          -8.871           7.315
              14          -6.081           7.797
              15            34.2           7.986
              16           -41.8             8.1
