#Fri May  9 09:02:48 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0            65.5           30.28
               1          -19.02           25.61
               2           18.27           22.57
               3          -21.04           23.03
               4            -158           9.367
               5          -71.81           8.979
               6          -1.383           10.41
               7           33.84           8.264
               8          -70.05           7.505
               9          -12.02           9.028
              10           25.16           7.948
              11           65.73           8.305
              12          -40.48           8.394
              13          -16.14           8.457
              14           48.59           7.707
              15           73.91           8.263
              16          -63.14             8.2
              17          -45.22            6.77
              18         0.02933            11.6
              19           16.66           6.978
              20          -78.06           7.765
              21          -24.74           6.908
              22           18.06           7.666
              23           44.35           6.737
              24          -68.04            7.28
              25          -8.858           7.254
              26           23.41           6.987
              27           46.73           7.281
              28          -62.81           6.769
              29          -20.78           8.855
              30           35.95           6.804
              31           74.33           7.723
              32          -60.61           8.214
              33          -37.49           7.364
              34           13.58           8.205
              35           41.01           8.038
              36          -71.96           7.743
              37          -31.66           7.063
              38           32.51           8.102
              39           66.97           8.156
              40          -43.21           7.889
              41          -11.09           7.478
              42           20.42           8.376
              43           51.09            8.17
              44          -71.84           7.669
              45           1.916           10.22
              46           35.31           7.342
              47           81.96           8.584
              48          -67.98           8.312
              49          -45.32           6.657
              50           5.707           9.701
              51            22.1           6.804
              52          -71.92           7.544
              53          -16.87           6.992
              54           9.394           7.346
              55           40.41           6.809
              56          -65.59           7.144
              57          -17.82           7.782
              58           18.04           6.991
              59           42.61           7.351
              60          -40.64            6.76
              61          -32.76           9.918
              62           42.49           6.747
              63           98.77           8.152
              64           -70.4           8.029
              65          -34.61           8.816
              66           21.39           10.03
              67           39.89           7.841
              68          -60.47           7.841
              69          -1.203           8.438
              70           22.65           8.729
              71           56.32           7.732
              72          -68.14           7.676
              73          -19.69            7.95
              74           42.24           7.957
              75           71.53           7.961
              76          -40.08             7.3
              77          -26.05           7.121
              78            43.5           7.147
              79           93.67           8.551
              80          -86.63           8.155
              81          -30.21           6.763
              82           15.65           8.352
              83           22.48           6.594
              84          -63.62           7.771
              85             -20           6.668
              86           26.18           7.049
              87           57.56           6.639
              88           -52.1           8.737
              89          -7.817           7.148
              90           14.81           6.684
              91            66.5           7.342
              92          -34.03           6.731
              93           14.41           8.139
              94           27.89           6.486
              95           108.2           8.412
              96           -55.5           7.905
              97          -42.89           6.569
              98           1.613           9.255
              99           28.31           8.368
             100           -66.4           7.836
             101          -8.731           6.699
             102           46.88           8.111
             103           61.58            7.64
             104          -72.09           7.819
             105           11.84           10.89
             106           19.54           7.633
             107           82.91           8.152
             108          -50.48           7.044
             109          -3.565           8.115
             110           40.74           7.646
             111           116.1            9.03
             112           -64.6           8.031
             113          -20.03           6.724
             114          -11.85           7.999
             115           21.93           6.649
             116          -58.24           7.556
             117          -23.96           6.547
             118           15.16           6.834
             119           53.49           6.794
             120          -59.66           7.025
             121          -29.28           7.003
             122           17.69           6.591
             123           39.96           7.539
             124          -38.87           6.653
             125          -16.58           9.319
             126           37.02           6.518
             127           152.2           9.125
APV               58              11               0               1
               0           48.92            32.2
               1         -0.2893           32.17
               2           1.197           25.61
               3             -20           25.82
               4          -147.3           9.653
               5          -45.03           8.948
               6           2.622           13.94
               7           45.35           9.564
               8           -63.7           7.776
               9          -29.71           8.849
              10           24.71           9.488
              11           37.36           9.255
              12          -46.97           8.699
              13          -15.48           8.239
              14           22.07           9.115
              15           47.46           9.369
              16          -57.51           9.026
              17          -30.74           6.992
              18           -2.67           15.97
              19           26.52           7.465
              20          -58.56           8.395
              21          -19.16           7.095
              22           20.21           9.394
              23            38.2           7.027
              24          -65.52           7.747
              25          -41.04           7.361
              26           28.16           7.987
              27           41.89           7.847
              28          -54.76           7.276
              29          -27.59           8.948
              30           38.91           7.463
              31           65.12           9.271
              32          -57.57           9.103
              33          -20.16           7.926
              34           6.633           9.725
              35           18.36           9.386
              36          -60.09           8.183
              37          -17.55           7.587
