#Sun May 11 07:41:11 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           66.05           30.02
               1          -17.26           25.15
               2           18.17           22.53
               3          -20.77           22.92
               4          -157.3             9.3
               5          -71.34           7.527
               6          -1.248           10.33
               7           33.42           8.245
               8          -70.68           7.347
               9          -12.67           7.508
              10           24.35           7.795
              11           65.36           8.173
              12          -39.78           8.316
              13          -14.75           7.968
              14           48.31           7.585
              15           74.33           8.182
              16          -63.01           7.955
              17          -43.97           6.747
              18          0.8469           11.29
              19           16.37           6.824
              20          -77.95           7.687
              21          -25.06           6.896
              22           18.01           7.581
              23           43.59           6.752
              24          -68.49           7.052
              25          -9.478             7.2
              26           23.46           6.882
              27           46.93           7.243
              28           -61.9           6.744
              29          -18.07           8.673
              30           35.66            6.72
              31           73.83           7.726
              32          -60.41           8.116
              33           -36.2           7.208
              34           13.57           8.092
              35           40.88           7.868
              36          -72.28           7.674
              37          -31.57           7.009
              38           31.96           8.131
              39           66.43            8.05
              40          -43.46           7.911
              41          -10.95           7.335
              42           19.99           8.353
              43           51.12           8.123
              44          -70.34           7.472
              45           5.049           9.441
              46           35.17           7.267
              47           81.49           8.526
              48           -68.2           8.061
              49           -44.3           6.659
              50           6.234           9.363
              51           22.17           6.656
              52           -72.6           7.479
              53           -17.6           6.906
              54           9.249           7.274
              55           40.16           6.757
              56          -65.74           7.047
              57          -17.24           7.615
              58           17.75           6.798
              59           42.17           7.297
              60           -39.3           6.754
              61          -28.68           9.748
              62           42.23           6.662
              63            98.3           8.194
              64             -70           7.929
              65          -34.34           6.756
              66           20.66           9.875
              67            39.6           7.757
              68          -60.51           7.756
              69           -1.48           6.432
              70           21.95           8.615
              71           55.56           7.606
              72           -68.3           7.684
              73          -19.53           6.484
              74           41.24           7.856
              75            70.8           7.815
              76          -39.94           7.176
              77          -25.34           7.098
              78           42.56           7.167
              79           92.81           8.491
              80          -86.38           8.104
              81          -30.24           6.631
              82           15.49           8.229
              83           22.19           6.547
              84          -63.66           7.782
              85          -20.19           6.631
              86           25.66           7.024
              87           57.52           6.659
              88             -52           8.616
              89          -7.354           7.061
              90           14.35           6.525
              91           66.06           7.311
              92          -34.22           6.675
              93           14.89           7.971
              94           27.43           6.402
              95           107.1           8.291
              96          -55.09           7.926
              97          -42.77           6.581
              98           1.279           9.194
              99           27.66           8.256
             100          -66.58           7.624
             101          -8.853           6.696
             102           46.13           8.002
             103           61.22           7.612
             104          -72.14           7.745
             105           11.76           7.953
             106           18.94           7.455
             107           82.11           8.072
             108          -50.07            7.02
             109          -3.131           8.057
             110           40.19            7.57
             111           115.3           8.882
             112          -64.84            7.93
             113          -20.09           6.552
             114           -11.8           7.806
             115            21.7           6.532
             116          -58.59            7.49
             117          -23.99           6.463
             118           15.06           6.788
             119            53.4           6.685
             120          -59.44           6.964
             121          -28.87           6.906
             122           17.33           6.497
             123           39.89           7.439
             124          -38.87           6.564
             125          -15.88           9.195
             126           36.34           6.438
             127           150.8            8.93
APV               58              11               0               1
               0           49.68           31.98
               1         0.04687           31.73
               2            0.73           25.48
               3          -20.62           25.65
               4          -146.2           9.612
               5           -44.4           7.914
               6           1.516           13.77
               7           44.24           9.458
               8          -62.31           7.726
               9          -29.47           7.757
              10            23.9           9.313
              11           36.56           9.145
              12          -45.74           8.667
              13          -15.52           7.863
              14           20.93           8.995
              15           46.85           9.233
