#Mon May 12 11:57:16 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           68.29           30.36
               1          -17.08           25.58
               2           19.02           22.62
               3          -20.75           23.08
               4          -157.5           9.288
               5          -71.94           8.866
               6         -0.8171           10.41
               7            33.9           8.319
               8          -71.43           7.484
               9          -13.75           8.903
              10           25.31           7.894
              11           65.87           8.278
              12           -39.9           8.386
              13          -14.88           8.528
              14           48.71           7.674
              15           74.43           8.185
              16          -62.79           8.114
              17          -43.86           6.767
              18          0.6008           11.42
              19           16.96           6.953
              20          -77.85           7.761
              21           -25.8           6.889
              22           18.13            7.66
              23           44.44           6.829
              24          -69.27           7.262
              25          -10.78           7.349
              26           23.79           6.949
              27           46.84           7.221
              28             -62           6.748
              29          -18.24           8.817
              30           35.95           6.799
              31           74.28           7.772
              32          -60.23            8.23
              33          -36.27           7.305
              34           14.22           8.091
              35           41.38           7.957
              36          -72.65           7.766
              37          -32.99           7.142
              38           32.79           8.063
              39           67.43           8.212
              40          -43.98           7.943
              41          -11.88           7.441
              42           20.42           8.434
              43            51.6            8.21
              44          -70.99           7.616
              45           5.472           10.23
              46           35.56           7.331
              47           82.02            8.61
              48          -67.88            8.18
              49           -44.6           6.811
              50            6.02           9.574
              51            22.2           6.853
              52          -73.18           7.485
              53          -18.77           6.938
              54           9.604           7.378
              55           40.63            6.77
              56          -66.03            7.08
              57          -18.05           7.688
              58           17.77           6.947
              59           42.49           7.346
              60          -38.96           6.804
              61          -28.67           9.977
              62           42.62           6.612
              63           98.92           8.246
              64          -69.94           8.105
              65          -34.92             8.7
              66           20.95           9.939
              67           40.06           7.813
              68          -60.49           7.865
              69          -1.714            8.29
              70           22.19           8.712
              71           55.85           7.668
              72          -68.84           7.804
              73          -19.97           7.883
              74           41.42           7.889
              75           71.06           7.928
              76          -39.97           7.283
              77          -26.14           7.163
              78           42.81           7.195
              79           93.44            8.54
              80          -86.36           8.108
              81          -30.57           6.745
              82           15.25           8.279
              83            22.2           6.622
              84           -63.7           7.856
              85          -20.77           6.686
              86           25.28           7.123
              87           57.72             6.7
              88          -51.96           8.724
              89          -8.314           7.111
              90           14.07           6.611
              91            66.4           7.471
              92          -34.19            6.75
              93           14.38           8.093
              94           27.37            6.55
              95           107.7            8.38
              96           -55.1           7.968
              97          -43.15           6.716
              98           1.097           9.252
              99           27.99           8.365
             100          -66.78           7.824
             101          -9.175            6.76
             102           46.08           8.042
             103           61.41           7.678
             104          -72.79           7.819
             105           11.84           10.67
             106           19.02           7.516
             107           82.58           8.185
             108           -50.7            7.09
             109          -3.184           8.207
             110           40.42           7.692
             111           115.9           9.037
             112          -64.71           8.033
             113          -20.12           6.717
             114          -12.51           7.932
             115           21.94           6.569
             116          -58.54            7.55
             117          -24.46           6.515
             118           14.72           6.807
             119           53.51           6.753
             120           -59.6           6.866
             121          -29.48           7.069
             122           17.19           6.592
             123           39.93           7.505
             124          -39.07           6.607
             125          -16.66           9.311
             126           36.28           6.503
             127           152.2           9.134
APV               58              11               0               1
               0           51.22           32.38
               1           1.135            32.2
               2           1.492           25.77
               3          -20.77           25.92
               4          -146.4           9.677
               5          -43.81           9.007
               6           2.221            14.1
               7           43.98           9.581
               8          -62.66           7.828
               9          -29.05           8.914
              10           24.26           9.539
              11           35.43            9.28
              12          -46.09           8.747
              13          -15.15           8.262
              14           20.85           9.152
              15           45.22           9.447
              16          -56.55           8.982
              17          -30.02           7.038
              18          -2.004           16.25
              19            25.4           7.462
              20           -57.6           8.411
              21          -17.94           7.166
              22           20.99           9.431
              23           37.29           7.124
              24          -64.95           7.753
              25          -40.68            7.47
              26           28.29           8.037
              27           39.94           7.836
              28          -53.87           7.246
              29          -27.09           8.948
              30           38.31           7.528
              31           62.81           9.201
              32          -56.49           9.086
              33          -18.78           7.979
              34           6.189           9.808
              35           16.53           9.475
              36          -58.93           8.263
              37          -15.88            7.66
              38           36.39           10.29
