#Wed May 14 12:36:51 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           67.31           30.13
               1          -16.96           25.22
               2           18.01            22.6
               3           -20.7           22.99
               4          -157.5           9.327
               5          -71.62           7.474
               6          -1.422           10.08
               7           33.37           8.165
               8          -71.24           7.348
               9          -13.51           7.491
              10           24.74            7.75
              11           65.45           8.245
              12          -40.02           8.292
              13          -14.59           7.762
              14           48.26            7.58
              15           74.17           8.276
              16          -62.62           7.991
              17          -43.55           6.708
              18          0.3754           11.07
              19           16.64           6.796
              20          -78.19           7.706
              21          -25.61           6.857
              22            17.8           7.417
              23           43.93           6.716
              24          -69.08           7.168
              25          -10.56           7.204
              26           23.12           6.807
              27           46.94           7.209
              28          -61.63           6.759
              29          -17.79           8.472
              30           35.26           6.739
              31           73.96           7.664
              32          -60.31           8.097
              33          -36.24           7.171
              34           13.87           8.006
              35            41.2           7.857
              36          -72.79           7.622
              37          -32.44           6.912
              38           32.17           8.068
              39           66.82           8.021
              40          -43.56           7.925
              41          -11.48           7.244
              42           20.14           8.315
              43           51.44           8.142
              44          -70.62           7.546
              45           5.555           9.254
              46           35.41           7.264
              47           81.76            8.51
              48          -67.87           8.081
              49          -44.42           6.689
              50            5.66           9.377
              51           21.95           6.693
              52          -72.72           7.403
              53          -18.74            6.88
              54           9.253           7.246
              55           40.35           6.741
              56          -65.84           7.027
              57          -17.69           7.488
              58           17.42           6.816
              59           42.74           7.299
              60           -39.3           6.754
              61          -28.08           9.381
              62           42.29           6.614
              63           98.45           8.082
              64          -69.66           7.881
              65          -34.65           6.865
              66           20.89           9.686
              67           39.81           7.693
              68           -60.5           7.777
              69          -1.347           6.458
              70           22.12            8.58
              71            56.1           7.632
              72          -68.68           7.573
              73          -19.71           6.532
              74           41.86           7.821
              75            71.4           7.863
              76           -39.8           7.222
              77          -25.87           6.998
              78           42.92            7.04
              79           93.55            8.47
              80          -86.16           7.966
              81          -30.46           6.651
              82           15.61           8.196
              83           22.48           6.469
              84          -63.87           7.706
              85          -20.57            6.66
              86           25.52           6.977
              87           57.37           6.658
              88          -51.91           8.595
              89          -7.975           7.073
              90              14           6.606
              91           66.44           7.254
              92          -34.25           6.626
              93            14.6           7.987
              94           27.41           6.354
              95           107.4           8.222
              96          -55.21           7.792
              97          -43.09           6.587
              98            1.66           9.096
              99           28.16           8.231
             100          -66.63           7.643
             101          -8.933           6.654
             102           46.28           7.915
             103            61.6           7.603
             104          -72.19           7.763
             105           11.53           7.989
             106           19.32           7.467
             107            82.4           8.158
             108             -50           7.011
             109          -3.324           8.113
             110           40.33           7.501
             111           115.5           8.862
             112          -64.51           7.911
             113          -20.31            6.68
             114          -11.97           7.673
             115           21.75           6.512
             116           -58.7           7.354
             117          -24.35           6.444
             118           14.87           6.727
             119           53.63           6.689
             120          -59.56           6.922
             121          -29.06           6.869
             122           17.23           6.441
             123           39.94           7.451
             124          -39.05           6.586
             125          -16.28            9.07
             126           36.51           6.455
             127           151.8           8.971
APV               58              11               0               1
               0           50.06           32.07
               1          -0.441           31.39
               2           1.323           25.62
               3          -20.02           25.74
               4          -146.9           9.559
               5          -44.58           7.832
               6           2.353           13.51
               7           44.28           9.416
               8           -63.1           7.789
               9          -29.84           7.721
              10           24.56           9.271
              11            36.7           9.174
              12          -46.21           8.598
              13          -16.04             7.8
              14           21.16           8.945
              15           46.83           9.299
              16          -57.13           8.896
              17          -30.92           6.961
              18          -1.838           15.52
              19           26.19           7.338
              20          -58.53           8.255
              21          -18.97            6.98
              22           20.37           9.205
              23           37.62           7.002
              24           -65.1           7.659
              25           -41.1           7.326
              26           28.08           7.875
              27           41.56           7.724
              28          -54.53           7.155
              29          -27.81            8.63
              30            38.8           7.334
              31           64.66           9.139
              32          -57.28           8.875
              33          -19.77           7.702
              34           6.715            9.52
              35           17.47           9.197
              36          -59.36           8.079
              37          -17.22           7.525
              38           36.07           9.946
              39           46.89           8.794
              40          -41.43           8.021
              41          -10.97           7.344
              42           43.83           10.36
              43           43.55            9.04
              44           -10.6           16.52
              45           -10.4           8.731
              46           38.48           8.279
              47           69.33           17.82
              48          -62.38           9.095
              49          -40.77           6.893
              50           4.239           12.59
              51            25.6           7.152
              52          -47.26           8.058
              53          -18.16           7.022
              54           8.593           8.586
              55           40.86           7.164
              56          -50.55           7.419
              57          -21.65           7.692
              58           21.36           7.661
              59           43.87           7.868
              60          -25.88           7.314
              61          -14.35            9.69
              62            18.3           7.079
              63           77.41           18.95
              64           -45.3            8.43
              65          -24.24           7.325
              66           19.57           12.55
              67           14.98           9.368
              68          -70.41            8.22
              69          -46.69           6.847
              70           36.38            11.2
              71           37.73           8.575
              72          -59.09           8.043
              73           -23.1           6.772
              74            42.7           9.553
              75           34.94           8.657
              76          -39.49            7.83
              77          -16.77           7.386
              78           17.07           8.419
              79           80.59           9.444
              80          -41.49           9.167
              81           -33.5           6.964
              82           9.027           10.47
              83           22.23           6.909
              84          -45.91           8.408
              85          -17.45           6.954
              86           16.57           8.073
              87           65.66           7.067
              88          -50.02           7.378
              89          -23.53           7.753
              90           36.59           7.354
              91           48.56           7.828
              92             -39           6.971
              93          -22.32           9.889
              94           18.48           6.939
              95           74.83           9.032
              96             -46           8.295
              97          -24.75            7.28
              98           24.85           11.66
              99           47.01           9.858
             100           -62.8           8.003
             101         -0.5918           7.308
             102           17.85           9.763
             103           41.74           8.464
             104           -48.2           8.269
             105          -7.025           7.987
             106           27.59           9.155
             107           57.78           8.921
             108          -34.39            7.54
             109          -5.793           8.202
             110           42.23           9.579
             111           74.71           9.976
             112          -42.25           8.863
             113          -34.21           6.887
             114           29.77           9.524
             115           42.33           6.954
             116          -47.62           7.865
             117          -25.65           6.914
             118           24.96           7.708
             119           44.87           7.146
             120           -43.4           7.177
             121          -24.06           7.668
             122           45.64           7.101
             123           61.62           8.184
             124          -56.44           6.799
             125          -7.429           12.01
             126           39.97           7.012
             127           114.9           10.73
APV               58              11               0               2
               0            48.5           28.49
               1          -2.844           24.19
               2           13.44           22.25
               3          -16.89           21.87
               4          -143.6           8.693
               5           -53.3           7.633
               6          -2.933           11.25
               7           30.24           8.222
               8          -73.95           7.158
               9          -21.57           7.111
              10           19.54           8.019
              11           44.16           7.946
              12          -59.63           8.728
              13          -8.199            7.11
              14          -5.091           7.659
              15           34.31           7.849
              16          -42.69           7.994
              17          -24.35           6.624
              18          -15.71           13.04
              19           22.31           6.726
              20          -62.51           7.471
              21          -18.71           6.656
              22           19.81           8.117
              23           39.24           6.575
              24          -55.42           6.966
              25          -6.646           6.973
              26           1.432           7.047
              27           29.44           7.044
              28           -35.7           6.969
              29           5.995           8.027
              30           21.66           6.608
              31           77.73           7.584
              32           -10.6           7.912
              33          -28.26           7.591
              34           11.31           10.56
              35           17.68           7.564
              36          -54.96           7.332
              37          -35.66           7.118
              38            31.1           8.452
              39           53.89           8.087
              40          -59.97            7.36
              41          -20.31           6.844
              42           13.51           8.805
              43           48.27           7.923
              44          -55.98           8.028
              45           5.573           7.575
              46            12.9           7.178
              47           66.81           8.553
              48          -47.42           8.072
              49           1.293           6.707
              50          -6.062            10.5
              51            21.3           6.582
              52          -30.96           7.348
              53          -9.157            6.66
              54           11.65           7.793
              55           46.03           6.629
              56          -38.72            6.78
              57          -12.62           7.267
              58           6.725           6.865
              59           60.68           7.031
              60          -48.62           6.457
              61          -28.35            8.97
              62           13.26           6.477
              63              47           7.999
              64          -57.93           7.471
              65          -27.76           6.992
              66           9.071           10.75
              67           39.93           8.217
              68          -54.73           7.379
              69          -29.67           6.696
              70           2.577           9.334
              71           55.99           7.659
              72          -46.15            7.43
              73          -1.877           6.542
              74           31.37           8.154
              75           65.05            7.89
              76           -63.8           7.379
              77           1.728           6.708
              78           36.32           7.334
              79           75.03           8.557
              80          -32.74           8.075
              81          -5.562           6.525
              82           31.37           9.181
              83           45.08           6.478
              84          -57.91           7.516
              85           1.057           6.551
              86           26.83           7.294
              87           43.33           6.582
              88          -49.17           6.803
              89          -4.603           7.305
              90           10.55           6.641
              91           44.16           7.211
              92          -63.57           6.449
              93          -6.157           8.885
              94           37.19           6.413
              95           74.74           8.331
              96          -43.97           7.411
              97           -29.8           7.064
              98          -12.21           9.814
              99           23.58           8.609
             100          -71.72           7.251
             101          -6.678           6.906
             102           16.54           8.442
             103            53.7           7.771
             104           -38.7           7.765
             105          -1.919           7.037
             106           23.37           7.898
             107           57.42           8.126
             108          -57.18           7.289
             109           0.445           7.134
             110            31.5            7.99
             111           85.24           8.986
             112          -37.89           7.866
             113          -22.13           6.382
             114           18.87           8.458
             115           40.75           6.457
             116          -28.23           7.291
             117          -11.25           6.472
             118           11.45           6.926
             119           52.52            6.61
             120          -45.75            6.73
             121           1.721           7.162
             122           13.12           6.495
             123           54.05           7.494
             124          -50.42           6.274
             125          -14.56           10.76
             126           16.23           6.269
             127           103.3           9.102
APV               58              11               0               3
               0              46           28.29
               1          -19.77           23.39
               2          -13.16           20.69
               3           25.51            21.1
               4          -155.9           8.624
               5          -76.11           7.471
               6           -11.6           10.33
               7            39.2           8.231
               8          -74.78           7.043
               9          -32.28           7.176
              10           28.12           7.856
              11           56.15           8.162
              12          -73.67            7.75
              13          -9.405           7.277
              14           28.42           7.489
              15           60.69           8.045
              16          -52.02           7.743
              17          -49.17           6.575
              18           14.26           13.54
              19           43.15           6.749
              20          -74.45           7.347
              21          -49.87           6.687
              22          -2.557           8.344
              23           53.34           6.531
              24          -38.56           6.944
              25          -15.31           6.968
              26           9.128           7.162
              27           69.42           7.069
              28          -37.52           6.523
              29          0.2423           8.078
              30           42.21           6.736
              31           72.16           7.514
              32          -70.03           7.591
              33          -41.53           7.405
              34           4.863           7.541
              35           45.87           7.965
              36          -69.31           7.219
              37           -47.5           7.019
              38           35.76           8.094
              39           59.81            7.97
              40          -58.79             7.2
              41          -19.95           6.878
              42           26.89           8.553
              43           56.57            8.21
              44          -53.53           7.878
              45          -4.807           7.662
              46           37.71           7.146
              47           63.23           8.384
              48           -51.9           7.985
              49          -35.24           6.589
