#Fri May 16 09:22:26 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           65.33           29.96
               1          -19.87           25.39
               2           17.39           22.61
               3          -21.91           22.93
               4          -158.7           9.314
               5          -72.92           8.958
               6           -2.91           10.23
               7           31.46           8.243
               8          -68.88           7.343
               9          -7.955           8.745
              10           23.85           7.726
              11           63.86           8.156
              12          -38.69           8.265
              13          -13.47            8.31
              14           47.19           7.557
              15           73.14           8.243
              16          -64.07           7.924
              17          -47.33           6.677
              18         -0.4401            11.3
              19           15.22           6.874
              20          -78.09           7.616
              21          -24.38           6.826
              22           16.93           7.595
              23           41.95           6.725
              24          -66.42           7.141
              25          -3.827           7.273
              26           23.08           6.877
              27           45.93           7.207
              28          -61.97           6.697
              29          -19.06           8.654
              30           35.42           6.722
              31            73.1           7.693
              32          -61.82           8.043
              33          -39.51            7.17
              34           11.63           8.025
              35           38.75           7.932
              36          -71.65           7.559
              37          -30.27           7.053
              38           30.73           7.994
              39            64.8           8.066
              40          -41.64            7.91
              41          -6.769           7.453
              42            19.8           8.352
              43           50.05           8.178
              44          -71.34           7.577
              45          0.0724           9.894
              46           33.65           7.277
              47            80.3           8.532
              48          -68.84           8.071
              49          -46.92           6.745
              50            4.59           9.489
              51           20.12            6.64
              52          -71.16           7.365
              53          -13.46           6.935
              54           8.859           7.274
              55           38.69           6.817
              56          -64.02           7.032
              57          -13.58            7.65
              58           17.46           6.831
              59           41.73           7.322
              60          -41.89           6.734
              61          -35.13            9.64
              62           41.14           6.558
              63           97.09           8.172
              64          -71.51           7.888
              65          -34.23           8.746
              66           21.51           9.871
              67           39.42            7.81
              68          -59.56           7.762
              69          0.2499           8.292
              70           23.04           8.642
              71           55.39           7.667
              72          -67.34           7.608
              73          -18.48           7.814
              74           42.33            7.92
              75           70.21           7.946
              76          -39.61           7.237
              77           -25.3           7.097
              78           43.26            7.17
              79           92.42           8.508
              80          -86.58           7.987
              81          -28.81           6.708
              82           16.51           8.254
              83            22.3           6.576
              84           -62.9           7.646
              85          -17.62           6.686
              86           27.29           7.046
              87           56.79           6.662
              88           -52.1           8.648
              89          -6.295           7.037
              90           15.29           6.579
              91           65.51           7.381
              92           -33.8           6.695
              93           16.06           8.015
              94           28.01           6.387
              95           106.9           8.392
              96          -54.81           7.829
              97          -41.27           6.623
              98           2.071           9.171
              99           27.82           8.257
             100          -65.47           7.745
             101          -7.171           6.646
             102           47.52           7.988
             103           60.63           7.675
             104          -71.36           7.672
             105           12.28           10.66
             106           19.78           7.493
             107           81.26            8.09
             108          -49.73           6.957
             109           -2.35           8.097
