#Thu May 22 13:00:42 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           66.54           30.05
               1          -17.76            25.1
               2           17.94           22.54
               3          -21.17           22.88
               4          -158.2           9.246
               5          -71.79           7.425
               6          -1.453            10.1
               7           33.19           8.177
               8          -70.78           7.331
               9          -12.72           7.531
              10           24.83           7.683
              11           65.32           8.039
              12          -40.04           8.275
              13          -14.76           7.823
              14           48.17           7.541
              15              74           8.136
              16          -62.55           7.873
              17          -44.25           6.691
              18           1.247           11.02
              19           16.83           6.832
              20           -77.7           7.585
              21          -25.16             6.8
              22           18.43           7.505
              23           43.45           6.692
              24          -68.36           7.119
              25          -9.141           7.161
              26           23.97           6.787
              27           46.73           7.128
              28          -62.04           6.671
              29          -18.29            8.48
              30           35.47           6.713
              31           73.76           7.645
              32          -60.56           8.109
              33          -36.85            7.12
              34           13.73           7.895
              35           40.86           7.753
              36          -72.44           7.547
              37          -32.13           6.918
              38           32.18           7.854
              39           66.25           8.019
              40          -43.89           7.845
              41          -11.37           7.269
              42           20.15           8.208
              43           51.37           8.026
              44          -70.74           7.466
              45           3.954           9.314
              46           35.05           7.214
              47           81.17           8.536
              48          -67.97           8.014
              49          -44.75           6.643
              50           6.533           9.273
              51           21.95           6.641
              52          -72.52           7.261
              53          -17.44           6.951
              54           9.686           7.138
              55           40.15           6.712
              56          -65.58           6.936
              57          -16.98           7.555
              58            18.2           6.841
              59           42.72            7.29
              60          -39.88           6.591
              61          -29.48           9.533
              62           42.62           6.549
              63           97.95           8.079
              64          -70.19           7.827
              65          -34.75            6.83
              66           20.82           9.539
              67           39.54           7.753
              68          -60.51           7.781
              69            -1.6           6.417
              70           22.24           8.461
              71           55.35           7.609
              72          -68.48           7.591
              73          -19.41           6.424
              74           41.11            7.77
              75           70.84           7.855
              76          -39.58           7.089
              77          -25.68           6.987
              78           42.68           7.092
              79           92.72           8.488
              80           -86.1           7.948
              81          -29.85            6.74
              82           15.81           8.124
              83           22.63           6.494
              84          -63.92           7.708
              85           -19.7           6.632
              86           26.04           6.992
              87           57.07           6.679
              88          -52.19           8.536
              89          -6.981           7.019
              90           14.68           6.556
              91           65.96           7.245
              92          -34.16           6.643
              93           15.35           7.854
              94           27.76           6.309
              95             107           8.238
              96          -55.05           7.753
              97          -42.72           6.578
              98           1.415           8.953
              99           27.48            8.16
             100          -66.58           7.661
             101          -8.838           6.674
             102            46.4           7.934
             103           60.97           7.503
             104          -71.99           7.657
             105           11.56           7.937
             106           19.07            7.39
             107           81.91           8.089
             108          -49.85            6.93
             109          -2.869           8.028
             110           39.96           7.515
             111           114.9           8.887
             112          -64.79           7.754
             113          -19.96           6.673
             114          -11.39           7.783
             115           22.02            6.55
             116           -58.3           7.334
             117          -23.88            6.37
             118           15.17           6.718
             119           53.68           6.747
             120          -59.57           7.019
             121          -28.43           6.877
             122           17.42           6.503
             123           39.81           7.424
             124          -38.65           6.569
             125          -15.31           8.953
             126           36.21           6.338
             127           150.5           8.982
APV               58              11               0               1
               0           50.53           31.94
               1         -0.6339           31.49
               2           0.292           25.46
               3          -21.13           25.67
               4          -146.7            9.54
               5          -44.18           7.833
               6           1.287           13.59
               7            43.4           9.397
               8          -62.37            7.85
               9          -29.57           7.618
              10            23.7           9.358
              11           36.29           9.098
              12           -45.5            8.55
              13          -15.42           7.689
              14           20.82           8.928
              15           46.67           9.196
              16          -56.44            8.87
              17          -30.59           6.907
              18          -1.436           15.52
              19              26           7.343
              20          -58.03           8.267
              21          -18.62           7.005
              22           20.35           9.246
              23           36.92           6.915
              24          -64.43           7.666
              25          -40.64           7.315
              26              28           7.914
              27           41.52           7.777
              28          -53.73           7.113
              29          -26.82           8.566
              30           38.27           7.281
              31            64.2           9.108
              32          -56.54           8.839
              33          -18.99            7.74
              34           5.642            9.55
              35           17.04           9.187
              36           -58.8           8.045
              37          -17.28           7.445
              38           34.93           9.864
              39           45.45           8.696
              40          -40.84           8.109
              41          -11.47           7.279
              42           42.94           10.26
              43           43.34           9.019
              44          -10.58           16.64
              45          -10.54           8.642
              46           37.62           8.266
              47           68.97           17.97
              48          -61.71           9.109
              49          -40.59            6.96
              50           4.213            12.7
              51           25.18            7.12
              52          -47.02           8.138
              53          -17.97           6.924
              54           8.441           8.598
              55           41.11           7.019
              56          -49.55           7.436
              57          -20.87           7.648
              58           21.16           7.681
              59           44.04           7.827
              60          -25.28           7.342
              61          -13.36           9.533
              62           17.87           7.058
              63           76.93           19.08
              64          -44.57           8.437
              65          -24.38           7.522
              66           18.88           12.54
              67            14.9           9.392
              68          -70.14           8.156
              69          -46.56           6.779
              70           35.59           11.08
              71           37.32           8.564
              72          -58.46           7.932
              73           -23.4           6.812
              74           41.86            9.43
              75           34.31           8.645
              76          -39.08           7.753
              77          -16.78           7.328
              78           16.73            8.49
              79           80.15           9.288
              80          -41.05            9.18
              81          -33.21           7.067
              82           9.399           10.43
              83           22.03           6.852
              84          -45.83            8.41
              85          -17.15            6.96
              86            16.6           7.997
              87           65.49           7.002
              88          -49.37           7.349
              89          -22.68           7.801
              90           36.81           7.317
              91            48.7           7.873
              92          -38.37           6.987
              93          -21.37           9.942
              94           18.28           6.814
              95           74.47           9.016
              96          -45.47           8.286
              97          -24.36           7.385
              98           24.27           11.66
              99           46.49           9.819
             100          -62.53           8.033
             101          -1.025           7.294
             102           16.96           9.678
             103           41.38           8.362
             104          -47.71           8.203
             105          -7.172           7.998
             106            26.9           9.139
             107           57.15           8.937
             108          -34.04           7.513
             109          -5.851           8.154
             110           41.72           9.649
             111           74.03           9.912
             112          -42.18           8.894
             113          -33.66           6.784
             114           30.06           9.565
             115            42.2           6.953
             116          -47.16           7.874
             117          -25.49           6.799
             118           24.85           7.703
             119           44.55           7.074
             120          -42.84           7.129
             121          -23.69           7.689
             122           45.43           7.136
             123           61.48            8.12
             124          -55.71            6.73
             125          -6.798           12.07
             126           39.49           6.974
             127           114.4            10.8
APV               58              11               0               2
               0            49.1           28.35
               1          -2.222           24.13
               2            12.6           22.01
               3          -17.14           21.74
               4          -143.1           8.661
               5          -52.68           7.482
               6          -3.694           11.14
               7           29.74           8.237
               8          -73.59           7.068
               9          -21.38           6.965
              10            18.8           7.942
              11            43.6           7.861
              12          -59.05           8.609
              13          -7.558           7.022
              14          -5.168           7.559
              15           34.15           7.868
              16          -42.58           7.977
              17          -24.18           6.599
              18          -15.47           12.96
              19           21.83           6.755
              20          -62.54           7.445
              21          -18.66           6.564
              22           19.56           8.063
              23           38.88           6.491
              24          -55.39           6.951
              25          -6.377           6.845
              26           1.047           7.096
              27           28.84           7.028
              28          -35.62           6.883
              29           6.575           7.831
              30           21.26           6.616
              31           77.16           7.508
              32          -10.67           7.942
              33          -27.92           7.611
              34           11.34           10.67
              35            17.3             7.5
              36          -54.87           7.275
              37          -35.16           7.076
              38           30.31            8.35
              39           53.43           8.079
              40          -59.47           7.263
              41          -19.84           6.811
              42           12.79            8.69
              43            48.1           7.978
              44          -55.32           7.948
              45           6.051           7.485
              46           12.33           7.151
              47           66.13           8.412
              48          -47.32           8.163
              49           1.818           6.664
              50          -5.691            10.5
              51           20.94           6.508
              52          -31.06           7.242
              53          -8.956            6.62
              54           11.38           7.753
              55           45.66           6.544
              56          -38.34           6.831
              57          -12.29           7.112
              58           6.026           6.909
              59           60.21           7.051
              60          -48.07           6.347
              61          -27.92           8.846
              62           13.11           6.455
              63           46.79           7.988
              64          -57.73           7.398
              65          -27.04           6.966
              66           8.939           10.64
              67           39.68           8.132
              68          -54.32           7.368
              69          -29.14           6.612
              70           2.574           9.223
              71           55.47           7.652
              72          -45.88           7.337
              73          -1.227           6.457
              74           30.93           8.066
              75           64.16           7.869
              76          -63.26           7.417
              77            2.28           6.736
              78           36.12           7.335
              79           74.52           8.555
              80          -32.46           8.112
              81           -5.22           6.493
              82           31.94           9.038
              83           45.07           6.558
              84          -57.77           7.479
              85          0.9643           6.593
              86           26.86           7.206
              87           42.87           6.494
              88          -48.95           6.812
              89          -4.501            7.23
              90           10.59           6.684
              91           44.01           7.163
              92          -63.13           6.439
              93          -5.826           8.794
              94           37.14           6.396
              95           74.58           8.277
              96          -44.08           7.368
              97          -29.31           6.982
              98          -12.57           9.649
              99           23.24           8.516
             100           -70.8           7.125
             101          -6.604            6.86
             102           16.11           8.348
             103           53.58           7.551
             104          -38.35           7.693
             105           -2.26           6.981
             106           22.85           7.813
             107           56.63           8.038
             108          -56.73           7.225
             109          0.4443           7.115
             110           30.66           7.888
             111           84.73           8.888
             112          -37.91           7.797
             113          -21.84           6.469
             114           19.21           8.405
             115           40.42           6.489
             116          -28.41           7.193
             117          -10.96           6.412
             118           11.48           6.863
             119           52.19           6.645
             120          -45.19           6.707
             121           1.656           7.157
             122           12.95           6.373
             123           53.91           7.499
             124          -49.97           6.242
             125          -13.85           10.62
             126           16.19           6.415
             127           103.2           8.968
APV               58              11               0               3
               0            46.1           28.16
               1          -19.72           23.36
               2          -13.79           20.66
               3           25.39           21.01
               4          -155.7           8.588
               5          -76.48           7.392
               6          -12.01           10.22
               7           38.82           8.143
               8          -74.49           7.002
               9          -32.92            7.06
              10            27.7           7.699
              11           55.88           7.969
              12          -73.41            7.68
              13          -9.729           7.077
              14           27.98           7.447
              15           60.77           7.968
              16          -52.02            7.66
              17          -49.02           6.504
              18            14.7           13.27
              19           43.23           6.712
              20          -74.84            7.27
              21          -49.89           6.702
              22          -2.882           8.259
              23           53.06           6.498
              24          -38.81           6.914
              25          -15.95           6.896
              26           8.604           7.203
              27           69.08           7.078
              28          -37.77           6.468
              29         -0.1164           7.988
              30            41.8            6.76
              31           72.34           7.505
              32          -69.76           7.555
