#Wed Jun 18 16:00:12 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           61.09           30.27
               1          -21.03           25.55
               2           25.33           22.64
               3          -12.53           23.02
               4          -153.4           9.545
               5          -73.09           8.872
               6          0.1417           10.42
               7           35.83             8.6
               8          -73.22           7.825
               9          -15.06           9.006
              10           25.61           8.047
              11           68.48           8.508
              12          -41.51           8.863
              13          -18.75           8.519
              14           50.02           7.812
              15           76.88           8.543
              16          -61.46            8.49
              17          -46.54           7.167
              18           3.403           11.43
              19           17.06           7.063
              20          -81.09            8.05
              21           -27.6           7.158
              22           19.21           7.779
              23           45.83           7.063
              24          -71.07           7.556
              25          -12.09           7.499
              26           23.98            7.25
              27            48.9           7.607
              28          -65.84           7.169
              29          -21.42           8.752
              30           38.22           7.026
              31           78.03           8.128
              32          -60.01           8.526
              33          -39.31           7.626
              34           14.65           8.231
              35           43.22           8.174
              36          -74.71           8.193
              37          -35.51           7.312
              38           33.47           8.305
              39           69.14           8.338
              40          -45.21           8.283
              41          -14.94           7.614
              42           20.56           8.692
              43           52.94           8.501
              44           -74.6           7.868
              45           1.607           10.21
              46           35.93           7.602
              47           85.27           8.838
              48          -67.69           8.549
              49          -48.01           7.074
              50           8.175           9.712
              51           23.59           6.949
              52          -74.57           7.839
              53          -19.83           7.219
              54           9.936           7.629
              55           41.25           7.191
              56          -68.87           7.465
              57          -20.68           7.918
              58           18.36            7.12
              59           44.73           7.731
              60          -40.73           7.155
              61          -33.22           9.836
              62            45.2           6.917
              63           102.3            8.51
              64          -71.67           8.394
              65          -37.46           8.717
              66            21.4           9.932
              67           40.38           8.045
              68          -62.51           8.174
              69          -2.078           8.282
              70           20.81           8.885
              71           57.89           8.069
              72          -71.17           8.037
              73          -21.93            7.98
              74           42.15           8.123
              75           74.23           8.217
              76          -40.59           7.617
              77          -29.16           7.364
              78            43.7           7.437
              79           97.41           8.826
              80          -88.32           8.384
              81          -32.07           7.019
              82           15.82           8.476
              83           22.69           6.798
              84          -65.71           8.173
              85           -21.1           6.957
              86           26.46           7.333
              87           59.85           7.002
              88          -53.15           9.132
              89          -8.299           7.388
              90              14           6.899
              91           70.17           7.639
              92          -34.45           7.059
              93           15.16           8.288
              94           28.37           6.769
              95           113.1           8.672
              96          -54.61           8.248
              97          -45.69           6.937
              98          0.2639           9.427
              99           27.68           8.575
             100          -68.02           8.217
             101          -10.42           7.035
             102           47.59           8.306
             103           63.39           7.922
             104          -75.14           8.131
             105              12           10.55
             106           18.18           7.766
             107           85.58           8.417
             108          -52.06           7.308
             109          -4.278           8.498
             110           40.73           7.874
             111           121.3           9.345
             112          -65.86            8.39
             113          -20.22           6.934
