#Thu Jun 19 15:10:19 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0            61.6           30.23
               1          -21.34           25.38
               2            24.4           22.72
               3          -11.03           23.11
               4          -149.3           9.745
               5          -72.64           7.892
               6         -0.8523           10.63
               7           35.78           8.591
               8          -72.82           7.947
               9          -14.68           7.951
              10           25.13           8.179
              11           69.16           8.604
              12          -40.91           8.898
              13          -18.24           8.315
              14           49.52           8.017
              15           78.79           8.644
              16          -59.97           8.642
              17          -47.51            7.25
              18           2.019           11.59
              19           16.03           7.176
              20          -80.97           8.169
              21          -28.31           7.294
              22           18.19           7.935
              23           45.11           7.097
              24          -71.38           7.741
              25          -11.76           7.635
              26           22.82            7.24
              27           49.05            7.61
              28          -66.36           7.237
              29          -21.33           9.007
              30           37.55           7.147
              31           79.29           8.025
              32          -59.09           8.658
              33          -39.42            7.72
              34           14.09           8.431
              35           42.76           8.235
              36          -74.28           8.236
              37          -35.61           7.506
              38           33.06           8.327
              39           69.57           8.441
              40          -44.23             8.5
              41          -14.22           7.774
              42           19.49           8.756
              43           53.53           8.482
              44           -75.6           8.026
              45           2.364           9.835
              46           35.36           7.641
              47           87.04           8.909
              48          -67.89           8.682
              49          -49.44           7.123
              50           6.448           9.909
              51           22.76           7.039
              52           -74.6           8.018
              53          -19.76           7.354
              54           8.524           7.679
              55           41.44           7.173
              56          -69.23           7.576
              57          -20.29           8.031
              58           16.74           7.275
              59            45.1           7.664
              60          -40.58           7.219
              61          -33.72           9.986
              62            44.4           6.959
              63           104.5           8.529
              64          -70.41           8.485
              65          -38.03           7.211
              66           21.75           10.18
              67           40.78           8.104
              68          -61.73           8.343
              69          -2.029           6.886
              70           20.93           8.984
              71           58.21           8.019
              72          -71.65           8.191
              73           -22.5           6.926
              74           42.77           8.206
              75           75.37           8.336
              76          -40.67           7.683
              77          -30.88           7.459
              78           43.87           7.459
              79           99.76           8.913
              80          -87.64           8.625
              81          -32.93           7.097
              82           15.33           8.589
              83              22           6.893
              84          -65.72           8.267
              85          -21.41           7.109
              86              26           7.353
              87           60.04           7.018
              88          -53.92           9.201
              89          -9.384           7.474
              90              13           7.003
              91           71.48           7.646
              92          -35.14           7.172
              93           14.24           8.428
              94           28.19            6.73
              95           115.5           8.606
              96          -53.79            8.44
              97          -46.77           7.103
              98         0.02447           9.557
              99           27.85           8.661
             100          -67.75            8.34
             101          -11.39           7.143
             102            48.3           8.363
             103           64.14           7.959
             104          -76.46           8.322
             105           11.25           8.581
             106           18.14           7.889
             107            87.4           8.467
             108          -52.72            7.43
             109          -5.268           8.554
             110           40.67           7.948
             111           124.7           9.209
             112          -65.34           8.453
             113          -21.06           7.031
             114          -14.31           8.186
             115           21.64           6.877
             116          -58.77           7.946
             117          -26.83           6.879
             118           14.74           7.153
             119           57.01           7.119
             120          -63.42           7.454
             121          -31.89           7.333
             122           16.88           6.867
             123           42.31           8.019
             124          -40.51           7.014
             125          -18.32           9.561
             126           37.22           6.854
             127           163.2           9.402
APV               58              11               0               1
               0           41.39           32.22
               1          -4.277           27.83
               2           4.099           26.09
               3           -10.3           25.94
               4          -135.3           10.18
               5          -43.05           8.316
               6           1.896           14.02
               7           47.44           9.796
               8          -61.99            8.34
