#Mon Jul 28 13:20:26 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           62.29           30.45
               1          -19.65           25.64
               2           25.51            22.6
               3          -11.51           23.17
               4          -148.8           9.899
               5          -71.85           8.972
               6         -0.8601           11.04
               7           35.51           8.736
               8          -73.33           7.971
               9          -15.34           9.125
              10           24.53           8.344
              11           69.06           8.688
              12          -41.09           8.919
              13          -16.93           8.812
              14            49.2           8.114
              15           78.54            8.69
              16          -58.75           8.734
              17          -46.01           7.319
              18           1.271           12.07
              19           15.43           7.198
              20           -80.8           8.284
              21          -27.53           7.327
              22           17.44           8.069
              23           44.81           7.238
              24          -71.24           7.809
              25          -12.11            7.77
              26           22.47           7.359
              27           48.77           7.744
              28          -65.81           7.307
              29          -19.47           9.321
              30           37.31            7.18
              31           79.49           8.214
              32          -57.92           8.812
              33          -37.89           7.828
              34           13.73           8.612
              35            42.6           8.416
              36           -74.6           8.202
              37          -35.57           7.612
              38           32.43           8.716
              39           69.66           8.602
              40          -44.85           8.545
              41          -14.39           7.877
              42              19           9.052
              43            53.4           8.603
              44          -74.85           8.271
              45           4.663            10.4
              46           34.98           7.755
              47           87.37           9.061
              48          -66.75           8.793
              49          -47.63           7.267
              50           6.181           10.19
              51           22.34           7.184
              52           -74.7           7.965
              53          -20.09           7.414
              54           8.221           7.822
              55           41.27           7.205
              56          -69.36            7.62
              57          -19.96           8.162
              58           16.29           7.272
              59            44.7           7.811
              60          -39.05           7.331
              61          -30.19           10.33
              62           44.21           6.998
              63           104.5           8.635
              64          -69.59           8.637
              65          -37.67           8.843
              66           21.52           10.66
              67           40.38           8.267
              68          -62.06           8.389
              69          -2.165           8.382
              70            20.2           9.305
              71           57.74           8.154
              72          -72.41           8.258
              73          -23.01           8.151
              74           41.98           8.451
              75           75.39           8.387
              76          -40.77           7.782
              77           -30.6           7.636
              78           43.52            7.61
              79           99.57           9.143
              80          -87.28           8.689
              81          -32.91           7.179
              82           14.83           8.848
              83           21.72           6.929
              84          -65.48           8.376
              85           -21.6            7.06
              86           25.74           7.432
              87           59.93           7.119
              88          -53.82           9.339
              89          -9.504           7.522
              90           12.25           6.982
              91           71.11           7.785
              92          -35.34           7.145
              93           14.33            8.63
              94           27.59           6.766
              95           115.8           8.883
              96          -53.57           8.467
              97          -47.14           7.089
              98         -0.6405           9.839
              99           27.31           8.864
             100          -68.28           8.381
             101          -11.57           7.182
             102            47.8           8.553
             103           63.98           8.042
             104          -75.94            8.37
             105           11.25           10.65
             106           17.39           8.041
             107           87.59           8.654
             108          -53.33            7.61
             109          -5.566            8.64
             110           40.51           8.127
             111           124.8           9.337
             112          -64.99            8.59
             113          -20.96           7.079
             114          -14.22            8.44
             115           21.36           6.944
             116          -58.84           8.036
             117          -27.11           6.948
             118           14.09           7.177
             119           56.17            7.12
             120          -63.84             7.5
             121          -31.95            7.45
             122           16.19               7
             123           41.94           8.032
             124          -40.42           7.131
             125          -18.72           10.01
             126            36.3            6.77
             127           163.2           9.564
APV               58              11               0               1
               0           38.88           32.59
               1          -3.533           28.09
               2           7.073           26.28
               3          -9.858           26.21
               4            -137           10.35
               5          -42.09           9.359
               6           3.468            14.8
               7           46.58           10.13
               8          -63.71           8.421
               9          -31.11           9.339
              10           24.75           10.18
              11            36.3           9.863
              12          -46.21           9.455
              13          -17.55           8.906
              14           20.05           9.867
              15           47.36           9.969
              16           -53.7            9.61
              17          -32.29           7.516
              18          -2.675           17.84
              19              24           7.938
              20          -58.97           9.099
              21          -19.77           7.647
              22           21.08           10.33
              23           37.28           7.516
              24          -66.85           8.335
              25          -44.14            8.19
              26           28.96           8.564
              27           41.75            8.43
              28          -56.91           7.721
              29          -31.56           9.866
              30           38.96           7.993
              31           65.69           9.919
              32          -55.19           9.737
              33          -19.87           8.618
              34           5.437           10.67
              35           14.75           10.16
              36           -59.8           8.735
              37          -17.35             8.4
              38           36.86           10.91
              39           45.65           9.581
              40          -41.35           8.802
              41          -12.31           8.027
              42           44.82           11.27
              43           43.89           9.847
              44          -8.978            19.2
              45          -13.27           9.799
              46           38.78           8.967
              47           72.06           20.41
              48          -60.93           9.967
              49          -42.65           7.526
              50           4.407           14.45
              51           24.15           7.727
              52          -46.05            8.94
              53          -20.13           7.683
              54           7.732           9.504
              55           42.28           7.658
              56          -50.97           8.218
              57          -23.85           8.652
              58           20.98           8.338
              59           44.43           8.546
              60          -25.61           7.729
              61          -16.97           10.99
              62           16.48           7.658
              63           80.76            21.7
              64          -43.32           9.235
              65          -24.14           9.262
              66           19.82           14.12
              67           12.35           10.34
              68          -71.76           8.958
              69          -49.85           8.592
              70           37.95           12.26
              71           38.05           9.264
              72          -61.06           8.737
              73          -25.03            8.34
              74           43.51           10.49
              75            33.5            9.56
              76          -39.64           8.594
              77          -19.61           8.149
              78            15.5           9.252
              79           84.64           10.11
              80          -39.52           10.14
              81          -35.34           7.525
              82           9.701           11.82
              83            21.4           7.494
              84          -45.04           9.239
              85          -17.76           7.603
              86           17.26           8.969
              87           69.46           7.638
              88          -52.85           8.219
              89          -25.82           8.718
              90           38.63           7.956
              91           49.77           8.476
              92          -39.83           7.614
              93          -24.12           11.29
              94           17.22            7.54
              95           78.11           9.752
              96          -44.44           9.077
              97          -25.16           8.109
              98           27.28           13.01
              99           46.92            10.7
             100          -64.35           8.669
             101          0.2431           8.119
             102           17.04           10.67
             103           41.85           9.137
             104          -49.86           9.068
             105          -8.317            10.3
             106           27.53           9.947
             107            59.4           9.651
             108          -34.14            8.31
             109          -6.762           8.994
             110           42.23           10.45
             111           78.88           10.79
             112           -41.1           9.885
             113          -36.97           7.433
             114           31.68           10.63
             115           41.96           7.479
             116          -46.98           8.549
             117          -27.41           7.502
             118           26.28           8.522
             119           46.12           7.723
             120          -45.49           7.936
             121          -26.79           8.543
             122           47.85           7.673
             123              62           8.802
             124          -58.87           7.354
             125           -8.74           13.81
             126           40.58           7.469
             127           123.4           11.65
APV               58              11               0               2
               0           39.68           28.77
               1          -2.511           24.49
               2           19.16           22.47
               3          -6.911           22.08
               4          -134.4           9.183
               5          -51.01           8.981
               6          -2.055           12.21
               7           31.36           8.821
               8          -75.56           7.654
               9          -21.85           8.582
              10           18.04           8.601
              11           45.57           8.381
              12          -62.17           9.371
