#Fri Jan 31 14:34:14 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           67.84           30.54
               1          -24.47           25.93
               2          -17.27           23.03
               3          -27.75           23.75
               4          -125.2           9.534
               5          -45.65           8.146
               6          -21.38           11.64
               7           34.45           8.589
               8          -69.92             7.4
               9          -19.19           7.861
              10           21.74           8.348
              11           53.68           8.291
              12          -52.79           8.151
              13          -3.379           7.822
              14           23.38           7.991
              15           75.32           8.355
              16           1.996           7.999
              17          -36.25           6.704
              18           -12.3           12.53
              19            7.99           6.968
              20          -39.85           7.852
              21          -20.66           6.954
              22           8.872           8.141
              23           58.73            6.74
              24          -61.62           7.171
              25          -22.84           7.139
              26           6.932           7.249
              27           55.21           7.212
              28          -53.77           6.781
              29          -31.57           8.546
              30           25.11             6.8
              31           81.52           7.896
              32          -38.36            8.12
              33          -31.35           7.392
              34            19.9           8.402
              35           43.91           8.298
              36          -54.59           7.733
              37          -23.57           6.955
              38           2.449           8.596
              39           50.15           8.188
              40           -50.7           7.667
              41          -11.17           7.096
              42           22.82           9.186
              43           67.41            8.27
              44          -54.68           7.772
              45          -20.49           8.658
              46           8.502           7.304
              47            85.5           8.657
              48          -28.18           8.009
              49          -23.94           6.811
              50           10.56           10.45
              51           27.19            6.81
              52          -54.83           7.439
              53          -31.64            6.96
              54           10.93           7.817
              55           42.58           6.719
              56          -60.95           6.956
              57          -10.35           7.775
              58           10.64           7.108
              59           49.86           7.247
              60          -47.47            6.61
              61          -29.05           9.429
              62           8.419           6.684
              63           85.27           8.204
              64          -33.17            8.09
              65          -11.68           7.845
              66            5.21            10.8
              67           30.38            8.38
              68           -55.3           7.749
              69          -16.61           7.235
              70           12.76           9.454
              71           62.68           7.872
              72          -53.56            7.59
              73          -23.99           6.929
              74           11.13           8.121
              75           52.29           8.039
              76          -47.23           7.322
              77          -14.84           6.923
              78           19.13           7.403
              79           95.45           8.633
              80          -30.16           8.022
              81           -31.3           6.692
              82          -12.52            9.02
              83           44.06           6.752
              84          -62.67           7.654
              85          -22.13           6.675
              86           10.55           7.372
              87           63.51           6.611
              88          -56.46           6.881
              89           -8.26           7.297
              90           5.141           6.846
              91           67.83           7.383
              92          -37.43            6.66
              93          -11.63           8.717
              94           20.07           6.586
              95           101.7           8.409
              96          -40.49           7.806
              97          -31.61            6.77
              98           8.958           10.26
              99           37.23           8.961
             100          -58.13           7.465
             101          -20.33           6.614
             102          -11.17           8.408
             103           60.19           7.897
             104          -61.13           7.774
             105           3.171           8.912
             106           12.99           7.781
             107           69.01           8.161
             108          -21.44           7.191
             109          -10.28           7.672
             110            20.7           8.164
             111           85.91           9.007
             112          -52.32           7.708
             113          -50.94            6.57
             114            7.95            8.49
             115           31.26           6.776
             116          -63.32           7.364
             117          -5.456           6.628
             118           11.84           7.126
             119           51.89           6.718
             120          -58.17           6.856
             121          -21.82           7.155
             122           39.07           6.672
             123            61.1           7.583
             124          -25.53           6.569
             125          -13.27           10.26
             126            20.7            6.49
             127           139.3           9.131
APV               58              11               0               1
               0           69.23           30.55
               1          -27.44           26.79
               2           15.54           24.27
               3           2.993           24.52
               4          -161.3           9.512
               5          -62.67           8.247
               6          -13.02            11.3
               7           44.69           9.115
               8          -64.63           7.951
               9          -33.99           8.175
              10            15.7           8.276
              11           64.59           9.042
              12          -61.73           8.698
              13          -21.19           7.768
              14           21.58           8.023
              15           55.59           8.943
              16           -29.2           8.353
              17          -40.59           7.194
              18          -12.47           13.88
              19           8.866           7.155
              20          -62.85           8.121
              21          -32.39           7.337
              22           14.37           8.767
              23           45.64           6.979
              24          -69.71           7.499
              25          -33.76           7.597
              26           25.92           7.645
              27            44.7           7.674
              28          -46.67           7.275
              29          -21.09           8.625
              30           26.44           7.208
              31           74.96           8.235
              32           -51.7           8.503
              33          -45.14           7.777
              34           13.22           8.279
              35           47.35           8.525
              36          -66.36           8.062
              37          -34.55           7.408
              38           35.29           8.641
              39           74.31           8.815
              40          -66.22           8.129
              41          -28.28           7.304
              42           37.78           9.101
              43           74.27           9.005
              44          -53.41            8.29
              45           3.996           9.126
              46            16.7           7.667
              47           77.71             9.4
              48          -80.07            8.23
              49          -18.88           7.255
              50           2.061           11.34
              51            52.9           7.238
              52          -82.49           7.788
              53          -30.07           7.375
              54           28.99           8.421
              55           56.57            7.09
              56          -61.11           7.389
              57          -17.62           7.795
              58           34.84           7.446
              59            55.2           7.775
              60           -50.6           7.032
              61          -15.52           9.439
              62           32.55           7.039
              63           92.27           8.767
              64          -58.55           8.181
              65          -24.69           8.047
              66           12.93           10.83
              67           65.88           8.753
              68          -76.93           8.029
              69          -41.46           7.467
              70           34.59           9.817
              71           58.35           8.441
              72          -77.55           7.946
              73           -18.8           7.398
              74           41.66           8.466
              75              58           8.584
              76          -44.95           7.575
              77          -7.469           7.931
              78           50.67           7.827
              79           93.46           9.447
              80             -36           8.483
              81          -52.43           7.092
              82          -10.47           9.607
              83           32.91           6.939
              84          -59.41           8.215
              85          -39.92           7.115
              86           33.07           7.806
              87           51.39           6.923
