#Mon Feb  3 16:37:25 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           69.47           30.68
               1          -25.16           25.74
               2          -18.15           22.96
               3          -28.25           23.63
               4          -125.1           9.513
               5          -46.71           8.075
               6          -21.49            11.7
               7           34.05           8.567
               8          -70.01           7.277
               9          -19.89           7.829
              10           21.43           8.447
              11           54.17           8.355
              12          -52.82            8.14
              13          -3.818           7.794
              14           23.19           7.981
              15           75.78           8.444
              16             2.6           8.045
              17          -36.54           6.788
              18          -12.43           12.74
              19           7.803             6.9
              20          -39.55           7.784
              21          -20.71           6.885
              22           8.615           8.157
              23           58.44           6.696
              24          -61.69           7.024
              25          -23.24           7.213
              26           6.426           7.158
              27           55.29            7.22
              28          -54.25            6.75
              29          -31.41            8.58
              30           24.99            6.83
              31           81.76           7.783
              32          -37.79           8.106
              33          -31.68           7.331
              34           18.95           8.338
              35           43.43            8.32
              36           -54.5           7.684
              37          -24.34           6.899
              38             1.8           8.632
              39           49.84           8.041
              40           -50.7           7.731
              41          -11.18           7.098
              42           22.57           9.083
              43           67.55           8.298
              44          -54.77           7.792
              45          -21.14           8.692
              46           7.948           7.403
              47           85.98           8.697
              48           -27.5           8.048
              49          -24.73           6.778
              50           10.46           10.47
              51           27.38           6.815
              52          -54.59           7.404
              53          -32.07           6.968
              54           10.67           7.887
              55           42.98           6.758
              56          -61.03           6.969
              57          -10.73           7.741
              58            10.3           7.084
              59           49.93           7.237
              60          -47.92           6.559
              61           -29.8           9.357
              62           8.182           6.616
              63           85.73           8.268
              64          -32.83           8.084
              65          -11.99           7.951
              66            5.28           10.85
              67           30.61           8.455
              68          -54.58           7.699
              69          -16.44           7.265
              70           12.99           9.489
              71            62.7           7.906
              72          -53.66            7.54
              73           -24.1           7.033
              74           11.32           8.197
              75            52.3           8.078
              76          -46.91           7.322
              77          -14.66           6.921
              78           18.85           7.317
              79           95.84           8.669
              80          -29.16           8.038
              81          -31.09           6.624
              82          -12.58           9.065
              83           44.23           6.692
              84          -62.68            7.73
              85          -22.17           6.686
              86            10.5           7.454
              87            63.8            6.66
              88          -56.45           6.861
              89          -8.215           7.389
              90           5.129           6.755
              91           68.79           7.336
              92          -37.28           6.598
              93          -11.81           8.799
              94           20.14           6.503
              95           102.5           8.395
              96          -39.85           7.552
              97           -31.8           6.764
              98           9.061           10.23
              99           37.01           8.959
             100          -58.12           7.523
             101          -20.39           6.642
             102           -11.3           8.312
             103           60.28           7.789
             104          -61.09           7.765
             105            2.72           9.071
             106           12.94           7.805
             107           69.58           8.238
             108          -21.26           7.241
             109          -10.59           7.627
             110           20.82           8.119
             111           86.27           9.025
             112           -51.9            7.71
             113          -50.92           6.482
             114           7.834           8.491
             115           31.91           6.681
             116          -62.89            7.22
             117          -5.574           6.694
             118           11.67           7.068
             119            52.1           6.781
             120          -58.29            6.78
             121          -21.89           7.242
             122           39.18           6.708
             123           61.71           7.629
             124           -25.4           6.545
             125          -13.08            10.4
             126           21.04           6.557
             127           139.8           9.116
APV               58              11               0               1
               0           70.83           30.77
               1           -28.4           26.83
               2           15.28           24.22
               3           2.607           24.36
               4            -161           9.536
               5          -63.41           8.369
               6          -13.27           11.27
               7           44.72           9.094
               8          -64.32           7.808
               9          -34.59           8.282
              10           15.49           8.198
              11           65.07            8.91
              12          -62.35           8.714
              13          -22.09           7.792
              14           21.43           8.061
              15           56.56           8.936
              16          -28.72           8.333
              17          -41.53           7.131
              18           -12.9              14
              19           9.408           7.252
              20          -62.84           8.065
              21           -33.1           7.287
              22            14.2           8.751
              23            46.2           7.025
              24           -70.3           7.556
              25          -34.44            7.56
              26           25.93           7.731
              27           45.92           7.609
              28          -47.11           7.083
              29          -21.43           8.659
              30           26.22           7.202
              31           76.26           8.185
              32          -50.52           8.461
              33           -45.7           7.804
              34           12.76           8.282
              35           46.98           8.565
              36          -66.15            8.02
              37          -35.24           7.323
              38           35.27           8.644
              39           74.54           8.763
              40           -66.3           8.071
              41          -28.96           7.356
              42           37.77           9.051
              43           74.87           9.021
              44          -54.43           8.262
              45           3.451           9.171
              46           16.66           7.597
              47           78.62           9.322
              48          -79.22            8.32
              49          -19.63           7.215
              50           1.844           11.44
              51           53.25           7.209
              52          -82.66            7.71
              53          -30.72           7.368
              54           28.63             8.4
              55           57.32           7.236
              56          -61.56           7.325
              57          -18.17            7.73
              58            34.7           7.531
              59           56.15           7.727
              60           -51.1           7.087
              61          -16.18           9.459
              62           32.16           7.026
              63           93.47           8.811
              64          -57.97           8.351
              65          -25.34           8.111
              66           13.08            10.8
              67           66.37           8.788
              68          -76.72           7.986
              69          -42.43           7.627
              70           34.55            9.76
              71           59.05           8.455
              72          -77.81            7.92
              73          -19.68           7.497
              74           41.71           8.485
              75           58.95           8.652
              76          -45.46           7.647
              77          -7.714           7.912
              78           50.64            7.86
              79            94.5           9.406
              80          -35.52           8.473
              81          -52.59           6.989
              82          -10.55           9.625
              83           33.09           6.854
              84          -59.37           8.088
              85          -40.54           7.068
              86            32.9           7.783
              87           52.03           6.902
              88          -67.49           7.234
              89          -38.61           7.689
              90           24.13           7.158
              91           69.03           7.845
              92           -50.5           6.925
              93          -17.99           9.347
              94           49.36           6.956
              95           122.6           8.869
              96          -62.91           7.958
              97          -36.37           7.199
              98           8.545           10.32
              99            50.1            9.45
             100           -58.8           7.953
             101          -28.42           7.296
             102           28.01           8.791
             103           65.21            8.34
             104          -76.59            8.15
             105          -11.92           9.638
             106           27.03           8.193
             107            63.3           8.773
             108          -51.96           7.395
             109          -18.32            8.78
             110           31.86            8.45
             111           133.8           9.931
             112          -46.96           8.199
             113          -31.82           6.999
             114           18.58           8.974
             115           43.39           6.954
             116          -68.09           7.707
             117          -39.07           6.995
             118           9.595           7.355
             119           70.33           7.028
             120          -61.72           7.115
             121          -8.283           7.739
             122           36.13           6.946
             123           66.45            8.02
             124          -37.41           6.881
             125         -0.5745           10.89
             126           39.85           6.821
             127           105.8           9.797
APV               58              11               0               2
               0            26.7           28.42
               1          -5.489           24.34
               2           38.85           22.25
               3          -19.19           21.97
               4          -156.8           9.179
               5          -48.57            8.39
               6           18.37           12.24
               7           20.55           9.199
               8          -55.64           7.711
               9           8.959           8.373
              10            37.2           8.796
              11           37.85           8.766
              12          -24.88           9.579
              13          -14.65           7.873
              14           20.39           8.487
              15            27.7           8.658
              16          -61.24           8.359
              17          -13.92           7.182
              18            17.5           13.76
              19         -0.6517           7.082
              20          -74.35           7.994
              21          -30.37           7.179
              22           13.51           8.873
              23           22.98           6.935
              24          -43.09           7.651
              25          -16.39           7.497
              26           41.76           7.733
              27           37.04           7.554
              28          -25.91           7.598
              29          -6.491           8.688
              30           21.41           7.221
              31           48.05           8.073
              32          -72.67           8.345
              33          -14.04           8.241
              34            29.6           11.53
              35           7.361           8.327
              36          -82.77           7.947
              37          -24.81           7.641
              38           43.36             9.1
              39           22.69           8.931
              40           -40.1           8.071
              41         -0.3125           7.375
              42           20.63           9.678
              43           16.61           8.761
              44          -32.98           8.838
              45            1.68           8.592
              46           25.09           7.957
              47           35.56           9.015
              48          -45.26           8.543
              49          -24.03           7.002
              50           20.09           11.23
              51           8.632           7.052
              52          -62.02           7.875
              53            9.88           7.262
              54           13.62           8.441
              55           43.56            7.04
              56          -34.07           7.468
              57          -31.63           7.771
              58           20.26           7.567
