#Fri Feb  7 12:10:04 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           69.74           30.52
               1          -23.66           25.76
               2          -17.36           22.77
               3          -27.38           23.62
               4          -125.9           9.228
               5          -45.78               8
               6          -20.33              11
               7           34.97           8.495
               8          -71.78           7.212
               9          -21.83           7.727
              10           22.48           8.119
              11           54.83           8.223
              12          -53.75            8.07
              13          -3.703           7.626
              14           23.53            7.83
              15           76.21           8.428
              16           2.893           7.788
              17           -34.5           6.708
              18          -11.44           11.84
              19           8.587           6.734
              20          -40.08           7.495
              21          -21.27           6.943
              22           9.418           7.793
              23           59.29           6.649
              24          -63.05           6.974
              25          -25.57           7.305
              26           6.471           7.002
              27           55.71           7.182
              28          -54.16           6.642
              29           -29.7           8.594
              30           25.27           6.572
              31           81.89           7.822
              32           -37.4           7.858
              33          -30.42           7.411
              34           20.47           8.073
              35           44.64           8.123
              36          -55.49           7.508
              37          -25.25           6.902
              38           2.927             8.3
              39            50.8           8.111
              40          -52.18            7.65
              41          -13.17           7.119
              42           23.15           8.822
              43           67.95           8.349
              44          -54.75           7.894
              45          -17.44           8.534
              46           9.392            7.27
              47           86.07           8.655
              48          -27.64           7.653
              49          -23.27           6.848
              50           11.31           9.978
              51           28.27            6.66
              52           -55.9           7.096
              53          -34.05           6.982
              54           11.02           7.551
              55           43.42           6.638
              56          -61.85           6.865
              57           -11.4           7.774
              58           10.45           6.865
              59           50.48           7.188
              60          -46.96           6.544
              61          -24.71           9.601
              62           8.725           6.408
              63           85.87            8.17
              64          -32.73           7.727
              65          -12.84           7.565
              66           5.114           10.22
              67           30.93           8.306
              68          -56.07           7.444
              69           -17.5           7.057
              70           12.63           9.101
              71           62.72           7.875
              72          -54.59           7.495
              73          -24.68           6.881
              74           10.94           7.894
              75           52.64           8.041
              76          -47.26            7.27
              77          -14.92           6.776
              78            19.1           7.315
              79           96.09           8.694
              80          -29.76             7.7
              81          -31.99           6.571
              82          -12.75           8.629
              83           44.13           6.628
              84          -63.56            7.37
              85          -23.53            6.62
              86           10.06           7.121
              87           63.93           6.673
              88          -57.02           6.765
              89          -8.199           7.215
              90           5.125           6.648
              91           68.77           7.414
              92          -37.59            6.51
              93          -11.91           8.535
              94           20.29           6.319
              95           102.2           8.359
              96          -40.64           7.408
              97          -32.88           6.786
              98           9.053           9.705
              99           36.99           8.829
             100           -59.1           7.288
             101          -21.75           6.607
             102          -11.68           8.144
             103           60.67           7.816
             104          -61.98           7.644
             105           2.942           8.729
             106           13.02           7.795
             107           69.54           8.268
             108          -21.98           7.177
             109          -10.67           7.587
             110           20.81           7.983
             111            86.5           9.166
             112          -52.67           7.446
             113          -51.36           6.422
             114           7.565           8.092
             115           31.76           6.575
             116          -63.73           7.037
             117          -6.439           6.668
             118           11.38           6.876
             119           52.31           6.712
             120          -58.88           6.685
             121          -22.08            7.14
             122            39.2           6.514
             123            61.7           7.646
             124          -25.94           6.504
             125          -12.98           9.815
             126           21.27           6.374
             127           139.5           9.191
APV               58              11               0               1
               0           72.42           30.58
               1          -26.28           26.73
               2           12.54           24.07
               3         -0.2619           24.45
               4          -159.3           9.235
               5          -60.91           8.254
               6          -15.68           11.05
               7           42.33           9.161
               8          -62.65           7.739
               9          -32.77           8.094
              10           12.85           8.273
              11           63.32           8.852
